"","year","soc_2010_minor","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"559",2012,"23-1000",1207686.79,1206097.12,1182629.24,23467.88,840758.700000001,365338.42,0.302909619749361,1909.10185185185,1923,46.888166449935,48,122.652712071811,124
"560",2013,"23-1000",1214760.52,1214760.52,1190101.99,24658.53,819166.560000001,395593.96,0.325655924346306,1794.41573033708,1750,46.8735632183908,47,122.963202722459,124
"561",2014,"23-1000",2430813.61,2411332.36,2361926.83,49405.53,1638350.68,772981.679999999,0.320562064700197,1701.26506024096,1490,46.8080939947781,48,123.178084339232,124
"562",2015,"23-1000",1220870.27,1212755.67,1197113.81,15641.86,783136.39,429619.28,0.354250481467549,1896.2972972973,1846,46.2525773195876,47,122.897100287315,124
"563",2016,"23-1000",1244272.22,1234304.78,1216196.54,18108.24,796463.73,437841.05,0.354726852795628,1811.58139534884,1923,46.019801980198,46,123.207873966104,124
"564",2017,"23-1000",1191726.3,1191726.3,1179211.35,12514.95,777680.680000001,414045.62,0.347433483678257,1820.63043478261,1538,46.8022598870056,46,122.206644352818,124
"565",2018,"23-1000",1320321.6,1311184.45,1295996.57,15187.88,845111.71,466072.74,0.35545932534511,1941.60674157303,1624.5,46.8446866485014,47,122.868512092254,124
"566",2019,"23-1000",1236528.23,1231895.16,1215851.4,16043.76,771899.1,459996.06,0.373405201137408,1996.71287128713,1730.5,47.2940340909091,47,122.51248566477,124
"567",2020,"23-1000",1274937.8299,1269462.2385,1253647.647,15814.5915,750640.9753,518821.2632,0.408693734610838,1979.6,1923,47.4009287925697,48,123.366133013889,124
"568",2021,"23-1000",1252779.6958,1250278.9449,1240912.7614,9366.1835,729573.0129,520705.932,0.416471807450654,1992.97674418605,2163.5,46.9728434504792,46,122.911621148024,124
"569",2022,"23-1000",1249779.77,1242579.72,1228681.5,13898.22,745327.57,497252.15,0.400177261866144,2204.55813953488,2307.5,46.8484848484849,45,123.637121624679,124
"570",2023,"23-1000",1205735.68,1184218.56,1181355.77,2862.79,690202.88,494015.68,0.417165966390529,2265.4625,2402,46.9652014652015,45,123.327953110277,124
"571",2024,"23-1000",1178918.12,1177967.31,1166851.64,11115.67,721346.980000001,456620.33,0.387634127130404,2265.4625,2402,47.6449814126394,45.5,123.630463378479,124
"572",2025,"23-1000",1254960.34,1237041.71,1219527.02,17514.69,695688.42,541353.29,0.437619269927447,2265.4625,2402,47.4095063985375,47,123.712224852952,124
"573",2000,"23-2000",550684.14,546591.67,530921.15,15670.52,58838.88,487752.79,0.892353134470564,587.153846153846,510,39.2490272373541,39,91.8923891211149,91
"574",2001,"23-2000",560611.47,556037.88,543058.39,12979.49,59563.39,496474.49,0.892878898826101,598.406593406593,549.5,40.1261904761905,40,92.3462208366092,91
"575",2002,"23-2000",602303.89,599478.47,572490.95,26987.52,69204.57,530273.9,0.884558706503672,643.385416666667,612.5,39.6990950226244,40,90.9154755132407,91
"576",2003,"23-2000",519863.37,519863.37,509697.63,10165.74,84757.59,435105.78,0.83696179632737,680.219512195122,696,39.1989528795811,39.5,91.1136652886316,91
"577",2004,"23-2000",563554.67,563554.67,540863.49,22691.18,112229.13,451325.54,0.800854937463299,734.559523809524,716,40.4031007751938,41,95.087963817246,92
"578",2005,"23-2000",596475.71,589576.53,571387.83,18188.7,110179.16,479397.37,0.813121529786812,700.805194805195,682.5,40.5804020100502,40,94.353007386505,91
"579",2006,"23-2000",584569.03,576627.53,562675.04,13952.49,89766.98,486860.55,0.844324151502097,744,624.5,39.7616580310881,41,91.9500120987979,91
"580",2007,"23-2000",652740.55,648642.91,630942.94,17699.97,100164.41,548478.5,0.845578501736803,817.181818181818,808,41.0373134328358,41,93.0549212508929,91
"581",2008,"23-2000",649883.48,638722.2,617382.41,21339.79,84019.74,554702.46,0.868456521473655,854.563636363636,778.5,41.7354368932039,43,92.7782496052275,91
"582",2009,"23-2000",619788.53,612284.3,566724.69,45559.61,119724.07,492560.230000001,0.804463269758836,836.777777777778,808,41.8609112709832,43,95.6024356659153,92
"583",2010,"23-2000",623518,612387.07,585635.74,26751.33,105822.17,506564.9,0.827197249608814,882.536231884058,737,41.8155339805825,44,95.3747020654762,92
"584",2011,"23-2000",636624.65,634044.04,588048.25,45995.79,109325.75,524718.29,0.827573885877076,848.06779661017,750,42.2912371134021,42,97.1264529668948,92
"585",2012,"23-2000",637489.61,637489.61,597265.05,40224.56,108126.01,529363.6,0.830387808202866,885.984615384615,805.5,42.70737913486,43,95.6264334410094,92
"586",2013,"23-2000",659236.390000001,653814.35,632710.78,21103.57,124250.47,529563.88,0.809960625673022,855.396825396825,784.5,42.2319201995012,43,95.7448078189166,92
"587",2014,"23-2000",1303683.55,1292148.68,1244906.96,47241.72,155135.17,1137013.51,0.879940155183999,898.68253968254,759.5,44.0857142857143,46,93.5918067338814,92
"588",2015,"23-2000",569922.37,565475.19,546751.36,18723.83,88089.41,477385.78,0.844220557227277,991.021739130435,872.5,43.8123167155425,44,95.5434088098542,92
"589",2016,"23-2000",560173.65,552776.58,535572.67,17203.91,78613.41,474163.17,0.857784477772195,1069.01923076923,826,43.8406779661017,43,95.6705126689701,92
"590",2017,"23-2000",585812.89,585812.89,570233.13,15579.76,83943.35,501869.54,0.85670620870087,938.701754385965,961,43.014367816092,43,97.1148631263473,92
"591",2018,"23-2000",626922.61,617073.16,587370.43,29702.73,108418.58,508654.58,0.824301902873235,1056.1,975.5,44.3353658536585,43,96.7754861838425,92
"592",2019,"23-2000",623069.71,619287.33,594159.79,25127.54,89704.27,529583.06,0.855149192217448,1023.06666666667,942.5,44.09375,45,97.5555241054261,92
"593",2020,"23-2000",682770.5651,679900.687,653801.3421,26099.3449,150837.8246,529062.8624,0.778147268440692,1157.04255319149,1000,43.8239202657807,42.5,98.0246424051634,111
"594",2021,"23-2000",664386.4395,654900.3883,628190.5939,26709.7944,123074.0013,531826.387,0.812072181512249,1147.86046511628,1069.5,45.3049180327869,49,94.9156025634013,92
"595",2022,"23-2000",660480.43,660480.43,644248.87,16231.56,115754.36,544726.07,0.824742180476112,1326.55102040816,1086,44.0839160839161,46,98.9383844272266,111
"596",2023,"23-2000",659550.26,648014.74,638595.57,9419.17,157857.98,490156.76,0.756397547376777,1363.15217391304,1250,43.9849056603774,42,99.0619632818847,111
"597",2024,"23-2000",600377.25,591028.92,554528.42,36500.5,120431.2,470597.72,0.796234674946194,1363.15217391304,1250,43.4354243542435,42,96.6964228417114,92
"598",2025,"23-2000",682676.22,676589.41,661048.37,15541.04,167272.68,509316.73,0.75277076831575,1363.15217391304,1250,43.1138790035587,41,99.3210733227408,111
"599",2000,"25-1000",1069063.85,1049020.47,1035963.19,13057.28,578873.35,470147.12,0.448177260068147,799.50406504065,654,43.531746031746,44,117.567063043107,123
"600",2001,"25-1000",1106686.81,1101099.93,1077236.52,23863.41,591788.55,509311.38,0.462547827062344,929.662162162162,865,42.323706377858,44,118.224000023322,123
"601",2002,"25-1000",1129413.51,1121795.83,1111638.58,10157.25,646610.269999999,475185.56,0.423593623092716,887.973568281938,808,42.6233766233766,43,118.316172364449,123
"602",2003,"25-1000",1256873.96,1247313.82,1232456.46,14857.36,678727.910000001,568585.91,0.455848320513277,822.174129353234,731,42.646408839779,43,116.921439698311,123
"603",2004,"25-1000",1228536.61,1219551.01,1186847.27,32703.74,666670.66,552880.35,0.453347457766445,870.554545454545,769,42.9102416570771,41,117.161534063261,123
"604",2005,"25-1000",1202543.62,1195132.97,1164233.59,30899.38,673353.34,521779.63,0.436587093735687,893.837837837838,754.5,43.4554913294798,43,117.177411639811,123
"605",2006,"25-1000",1243193.31,1226284.81,1195057.9,31226.91,677424.87,548859.94,0.447579498273325,850.817518248175,769,43.9180722891566,44,118.37299608237,123
"606",2007,"25-1000",1355497.43,1342430.46,1327519.39,14911.07,742668.93,599761.53,0.446772885353034,882.476744186047,696,43.7898789878988,45,118.331040357949,123
"607",2008,"25-1000",1300141.61,1281717.81,1262320.28,19397.53,733198.19,548519.62,0.427956618625749,993.471590909091,865,44.1740139211137,43.5,118.66445744403,123
"608",2009,"25-1000",1370415.56,1359554.21,1312437.45,47116.76,750639.940000001,608914.27,0.447877889326678,1048.30588235294,865,43.768253968254,44,117.961235425839,123
"609",2010,"25-1000",1412826.03,1408676.55,1373932.06,34744.49,779367.46,629309.09,0.446737819267312,1121.94736842105,1000,44.3201284796574,44,118.444400739119,123
"610",2011,"25-1000",1488083.2,1475102.69,1437885.41,37217.28,807624.09,667478.6,0.452496361456706,1080.41420118343,909,44.715644820296,45,118.973065441295,123
"611",2012,"25-1000",1378423.2,1367944.46,1325485.02,42459.44,716671.13,651273.330000001,0.476096324846405,1077.4064516129,971,44.1322404371585,43,117.977478149953,123
"612",2013,"25-1000",1386826.5,1382589.61,1333833.29,48756.32,709809.07,672780.540000001,0.486608994551898,1065.20422535211,849,44.5087145969499,44,118.337189695791,123
"613",2014,"25-1000",2835693.91,2827087.54,2758076.41,69011.13,1444004.67,1383082.87,0.48922534248798,1180.81818181818,1154,45.2022346368715,46,118.326554115123,123
"614",2015,"25-1000",1387812.14,1369370.19,1347102.65,22267.54,749969.24,619400.95,0.452325422682087,1114.58955223881,1028.5,45.0046565774156,44,118.446793295536,123
"615",2016,"25-1000",1559428.17,1541754.88,1520038.16,21716.72,765604.950000001,776149.93,0.50341979783453,1114.10344827586,924,43.4366197183099,42,118.712402784806,123
"616",2017,"25-1000",1538247.82,1524873.89,1501912.88,22961.01,791753.94,733119.95,0.480774151100456,1204.10344827586,1007.5,43.8686987104338,43,117.960212591744,123
"617",2018,"25-1000",1499143.49,1488618.25,1442568.48,46049.77,772437.27,716180.98,0.481104527638298,1347.95454545455,1304,44.63875,43,118.856992200653,123
"618",2019,"25-1000",1475690.93,1451596.86,1417915.31,33681.55,771943.58,679653.28,0.468210767554292,1339.10067114094,1124.5,45.4420103092784,45,118.980033009991,123
"619",2020,"25-1000",1269472.5371,1251011.3557,1221166.5953,29844.7604,627948.8722,623062.4835,0.498047024642208,1168.85217391304,932.5,48.2049180327869,47,119.5555161503,123
"620",2021,"25-1000",1215381.5724,1211044.5711,1185066.8033,25977.7678,582210.1508,628834.4203,0.519249609226872,1410.88888888889,1369.5,48.3554817275747,48,121.038816415863,124
"621",2022,"25-1000",1154269.99,1142136.27,1123259.36,18876.91,577575.98,564560.29,0.494302041559367,1441.05555555556,1481,48.375,48,120.591642344043,124
"622",2023,"25-1000",1021921.38,1017478.66,1009479.53,7999.13,504440.2,513038.46,0.504225277805826,1753.33802816901,1793,49.0619469026549,49,121.658475431809,124
"623",2024,"25-1000",1055765.28,1055354.67,1055354.67,0,524603.28,530751.39,0.502912816977443,1753.33802816901,1793,48.7489361702128,49,120.702371421733,124
"624",2025,"25-1000",1207442.94,1194328.74,1163370.96,30957.78,586813.74,607515,0.508666483233083,1753.33802816901,1793,49.7411067193676,50,120.387222993562,124
"625",2000,"25-2000",4644970.27999999,4595758.91999999,4572432.33999999,23326.58,937300.19,3658458.73,0.79605105352219,697.05859375,654,42.0567408079891,43,111.65487660741,111
"626",2001,"25-2000",4723974.08999999,4689615.75,4641727.55999999,47888.19,1059493.93,3630121.81999999,0.774076601052015,704.106175514626,673,41.9101092131056,43,111.604864778101,111
"627",2002,"25-2000",4962499.47000001,4909579.5,4837119.79,72459.71,1075946.75,3833632.75,0.780847473800964,721.435106382979,692,41.7452907452907,43,111.139514288342,111
"628",2003,"25-2000",4784287.33,4717342.37,4635240.34,82102.03,1053096.94,3664245.43000001,0.776760544942173,735.570974576271,700,41.9470975121533,42,110.89778583105,111
"629",2004,"25-2000",5109262.33000001,5064633.15,5005162.79,59470.36,1163206.38,3901426.77000001,0.770327613955613,751.812972972973,709.5,42.4055752937961,43,111.194556101265,111
"630",2005,"25-2000",5165460.02999999,5108391.72,5057721.65,50670.07,1032706.3,4075685.42,0.797841207839089,792.515447154472,769,42.0820526893524,42,111.772709070948,111
"631",2006,"25-2000",5062012.34999999,5009810.10999998,4954910.75999998,54899.35,1084858.2,3924951.91,0.783453229527695,795.493442622951,769,42.4183289968199,42,111.623858601699,111
"632",2007,"25-2000",5383629.29,5335478.06,5253765.44,81712.62,1190128.83,4145349.23,0.776940544667894,816.44385026738,769,42.058531198233,41,111.771860937987,111
"633",2008,"25-2000",5358955.36,5320256.78,5233707.27,86549.51,1216500.41,4103756.36999999,0.771345545844123,858.061338289963,850,42.7389972144847,42,112.223470416779,111
"634",2009,"25-2000",5652406.76999997,5593131.30999997,5471403.79999997,121727.51,1196218.48,4396912.82999999,0.786127231116267,879.653448275862,850,42.4091394975949,41,112.076719305559,111
"635",2010,"25-2000",5426404.4,5396228.31,5240899.5,155328.81,1169234.94,4226993.37,0.783323671121691,911.292682926829,840.5,42.5417588495575,43,111.797171956573,111
"636",2011,"25-2000",5380545.90999999,5341153.67999999,5190708.77999999,150444.9,1093934.33,4247219.35,0.795187632571546,925.081355932203,865,42.7363407116839,42,112.137101660778,111
"637",2012,"25-2000",5302435.57,5242079.12,5083679.7,158399.42,1112069.14,4130009.97999999,0.787857238598871,907.257679180887,855,42.9057908383751,43,112.426181232457,111
"638",2013,"25-2000",5464225.1,5413730.22000001,5255879.65000001,157850.57,1171866.46,4241863.76000001,0.783538075896217,946.152397260274,880,42.8884168790711,42,112.134945972613,111
"639",2014,"25-2000",10839272.19,10731476.68,10471814.96,259661.72,2364375.24,8367101.44,0.77967848130291,972.291280148423,913,42.4926943308007,41,112.865606411587,111
"640",2015,"25-2000",5739322.72000002,5669490.04000002,5583370.23000002,86119.81,1172378.77,4497111.27,0.79321265903485,944.898799313894,883.5,43.0435270991295,42,112.336048737463,111
"641",2016,"25-2000",5742166.68,5676509.1,5587197.58,89311.52,1199271.71,4477237.39,0.788730769408966,954.378478664193,923,43.3811094452774,42,112.744822634038,111
"642",2017,"25-2000",5849478.13000001,5771038.70000001,5657273.47000001,113765.23,1259293.13,4511745.57,0.781790905335637,977.710669077758,900,43.2873425314937,42,112.256872541853,111
"643",2018,"25-2000",6129273.38,6071835.26000001,5968710.15000001,103125.11,1332549.36,4739285.90000001,0.780535982460104,1024.02873563218,961.5,43.0074850299401,42,112.534462937652,111
"644",2019,"25-2000",5983402.75,5914725.55,5818623.5,96102.05,1241088.21,4673637.34,0.790169772120703,1029.58410351201,946,42.9578368469294,42,113.085149817307,111
"645",2020,"25-2000",5868107.7057,5812618.0236,5637855.3178,174762.7058,1263018.5988,4549599.4248,0.78271088971063,1066.10303030303,1000,43.2576773738087,42,113.661515155785,111
"646",2021,"25-2000",5571417.77499999,5523767.33009999,5352252.02709999,171515.303,1209672.8075,4314094.5226,0.781005836196561,1122.67462039046,1096.5,42.7777777777778,42,114.188899524699,111
"647",2022,"25-2000",5652389.29,5581030.54,5521181.22,59849.32,1229553.4,4351477.14000001,0.779690616063176,1152.99259259259,1000,43.4789594491201,42,113.901196935575,111
"648",2023,"25-2000",6025577.25999999,5986349.10999999,5913300.11999999,73048.99,1317504.83,4668844.27999999,0.779915135955043,1209.32195121951,1129.5,43.4518095238095,42,112.594210715853,111
"649",2024,"25-2000",5735517.42000001,5677824.29000001,5617305.52000001,60518.77,1283226.89,4394597.4,0.773993201540233,1209.32195121951,1129.5,43.7114203847728,43,113.097897760059,111
"650",2025,"25-2000",5520280.82,5467337.15,5432049.33,35287.82,1112431.14,4354906.01,0.79653145407358,1209.32195121951,1129.5,44.1546218487395,43,113.223769659056,111
"651",2000,"25-3000",876675.810000001,867186.120000001,846000.330000001,21185.79,334001.32,533184.8,0.614844711767296,569.208333333333,500,39.8356807511737,38,98.1245233491513,111
"652",2001,"25-3000",1004786.23,984014.95,949495.32,34519.63,416342.36,567672.59,0.576894273811592,597.583850931677,498,39.7985915492958,38,99.0118137026273,111
"653",2002,"25-3000",998542.409999999,986125.169999999,949441.439999999,36683.73,412157.46,573967.71,0.582043464117238,515.919117647059,390,40.3070652173913,41,98.2494696591105,111
"654",2003,"25-3000",674267.740000001,671451.200000001,665959.820000001,5491.38,212439.65,459011.55,0.683611184252854,528.319587628866,534.5,39.9248434237996,40,96.364725090967,92
"655",2004,"25-3000",629486.26,619690.58,609740.43,9950.15,197924.81,421765.77,0.68060703778973,595.9,490,41.1278825995807,40,97.8456818885321,111
"656",2005,"25-3000",771285.55,756045.56,727065.08,28980.48,258366.23,497679.33,0.658266321939646,518.513513513514,476,40.7064393939394,40,95.9200139869879,92
"657",2006,"25-3000",750632.84,743139.77,721163.54,21976.23,222057.84,521081.93,0.701189669878656,663.869565217391,576,40.9491193737769,41,98.1839013675719,111
"658",2007,"25-3000",779042.49,773823.13,764388.93,9434.2,294099.82,479723.31,0.61993922306251,680.714285714286,500,40.9417475728155,40,98.8629802135793,111
"659",2008,"25-3000",871211.03,853565.24,826620.43,26944.81,289155.49,564409.749999999,0.661237974029964,714.428571428571,646.5,42.4471403812825,42,100.308049423381,111
"660",2009,"25-3000",866090.02,852328.8,808221.1,44107.7,269510.37,582818.43,0.683795302939429,661.311475409836,612.5,41.2717391304348,41,99.6067618036609,111
"661",2010,"25-3000",872204.09,864482.62,832728.22,31754.4,313163.04,551319.58,0.637745128988249,657.119047619048,490,41.3406193078324,41,98.8659209134823,111
"662",2011,"25-3000",942330.72,931268.43,868737.75,62530.68,360822.68,570445.75,0.612547071954324,741.021739130435,503,42.6908462867012,44,99.1825061115839,111
"663",2012,"25-3000",818938.65,809551.62,779524.85,30026.77,291244.44,518307.18,0.640239815714284,625.973333333333,455,41.4354527938343,39,97.7193380083657,111
"664",2013,"25-3000",780110.06,758076.16,712567.32,45508.84,265623.8,492452.36,0.649608028829188,747.533333333333,487,41.2674897119342,39,101.65476637598,111
"665",2014,"25-3000",1815187.23,1786777.65,1676059.8,110717.85,709675.05,1077102.6,0.602818487235947,745.522388059701,444.5,41.4154411764706,39,99.7861138010094,111
"666",2015,"25-3000",1023379.28,996027.42,946239.2,49788.22,348094.13,647933.29,0.650517522901127,736.680555555556,461.5,42.0171526586621,41,99.6786271807658,111
"667",2016,"25-3000",958762.249999999,946981.29,922729.42,24251.87,319948.7,627032.59,0.662138308983908,746,529,40.7995951417004,39,101.85882405343,111
"668",2017,"25-3000",1011815.72,989249.45,959745.66,29503.79,332937.79,656311.66,0.663444048414684,794.328358208955,585,42.0666666666667,41,101.362844801177,111
"669",2018,"25-3000",1037896.49,1024301.94,994943.270000001,29358.67,406961.86,617340.08,0.602693459703884,876.206349206349,600,42.9047619047619,41,100.783006991083,111
"670",2019,"25-3000",1115676.17,1095399.66,1083368.01,12031.65,405466.06,689933.6,0.629846461701476,733.214285714286,570.5,42.4991243432574,43,100.619483495184,111
"671",2020,"25-3000",1016154.4171,995533.5392,937679.457,57854.0822,368917.5473,626615.9919,0.629427304281021,775.012658227848,500,41.4558823529412,39,101.420937451426,111
"672",2021,"25-3000",881867.2974,869570.3029,834387.292400001,35183.0105,298936.4782,570633.8247,0.65622506058101,988.71186440678,903.5,41.7828162291169,39,102.132129641061,111
"673",2022,"25-3000",996934.429999999,992508.829999999,973951.689999999,18557.14,378202.28,614306.55,0.618943158420062,763.132075471698,517.5,42.9789227166276,41,101.56479150921,111
"674",2023,"25-3000",1145318.93,1126136.72,1092666.17,33470.55,416020.23,710116.49,0.630577511050346,894.347222222222,735,43.5670731707317,42,101.789099728495,111
"675",2024,"25-3000",1237883.52,1222427.37,1210546.63,11880.74,435686.01,786741.36,0.643589451044441,894.347222222222,735,43.8245614035088,40,102.769760047176,111
"676",2025,"25-3000",1196269.05,1169716.73,1113494.38,56222.35,391216.03,778500.7,0.66554634984147,894.347222222222,735,43.3175257731959,42,102.269566837776,111
"677",2000,"25-4000",315755.45,310251.21,309812.96,438.25,53636.29,256614.92,0.827119803980781,522.931818181818,525,44.6211180124224,46,108.895871735682,111
"678",2001,"25-4000",229783.71,229783.71,229783.71,0,35854.87,193928.84,0.843962524584532,650,652,45.6684210526316,49,110.747029456527,123
"679",2002,"25-4000",211812.82,211563.45,210900.74,662.71,54075.77,157487.68,0.744399280688607,646.825,577,44.683908045977,47,108.459089932595,111
"680",2003,"25-4000",291158.49,290782.09,275937.34,14844.75,68246.3,222535.79,0.765300882182943,571.296296296296,480.5,43.5538461538462,46,106.86697860243,111
"681",2004,"25-4000",284639.82,281923.77,277387.88,4535.89,48742.87,233180.9,0.827106206759366,727.104166666667,567,45.7121212121212,49,109.587129989075,123
"682",2005,"25-4000",297608.49,292750.05,287965.46,4784.59,71655.87,221094.18,0.755231912001381,670.878048780488,577,46.6142857142857,50,110.265494677115,123
"683",2006,"25-4000",311101.87,307444.86,302203.45,5241.41,63958.11,243486.75,0.791968842803227,685.245283018868,620,47.1545893719807,50,109.158450331549,111
"684",2007,"25-4000",324046.11,317658.4,313388.13,4270.27,62720.97,254937.43,0.80255214406419,786.093023255814,742,46.5865384615385,50,108.342270879662,111
"685",2008,"25-4000",280787.17,278894.82,273687.13,5207.69,51269.16,227625.66,0.816170268060195,665.148936170213,634.5,46.2944162436548,49,107.90999911723,111
"686",2009,"25-4000",290976.68,289270.47,279667.66,9602.81,67388.23,221882.24,0.767040756009419,824.181818181818,573,45.654028436019,47.5,105.776844210887,111
"687",2010,"25-4000",294970.59,288987.65,279417.93,9569.72,63017.09,225970.56,0.781938466920645,816.322580645161,513,46.497512437811,52,108.521902198935,111
"688",2011,"25-4000",286234.25,284157.44,265046.42,19111.02,53854.34,230303.1,0.810477107338805,633.066666666667,654,45.9424083769633,49,106.061951888362,111
"689",2012,"25-4000",317725.98,312408.84,306723.63,5685.21,55496.32,256912.52,0.822359956267563,762.65,644,45.9289617486339,50,107.716069045934,111
"690",2013,"25-4000",270586.69,265128.52,264017.17,1111.35,50974.23,214154.29,0.807737658702278,859.40625,644,48.5542168674699,50.5,109.248390629571,123
"691",2014,"25-4000",599472.07,599472.07,585361.21,14110.86,87313.99,512158.08,0.854348527029791,841.962962962963,884.5,45.0860215053763,44,109.055430138722,123
"692",2015,"25-4000",250500.19,247448.02,242784.21,4663.81,43078.54,204369.48,0.825908730245649,901.714285714286,744,47.0182926829268,47,106.493823349243,111
"693",2016,"25-4000",278184.19,276213.63,270967.06,5246.57,55111.17,221102.46,0.800476283520115,984.592592592593,1031.5,49.3836477987421,51,109.413367834165,123
"694",2017,"25-4000",286405.99,284573.38,284573.38,0,61616.69,222956.69,0.78347697173924,1115.70588235294,1173,48.685534591195,49,110.432536135319,123
"695",2018,"25-4000",340225.68,335592.33,317680.91,17911.42,94213.61,241378.72,0.719261730445389,967.111111111111,695,45.0425531914894,46.5,107.278259518029,111
"696",2019,"25-4000",283317.86,272052.52,272052.52,0,51368.89,220683.63,0.811180245637864,872.363636363636,432.5,45.2075471698113,44.5,108.465097143743,111
"697",2020,"25-4000",297247.9592,297247.9592,292170.7324,5077.2268,54360.8637,242887.0955,0.817119472085513,756.071428571429,466,47.5,44,108.77918071708,111
"698",2021,"25-4000",331332.0157,329307.5186,325753.0172,3554.5014,57203.7829,272103.7357,0.826290686762352,940.472222222222,807,46.512987012987,44.5,110.147656185947,111
"699",2022,"25-4000",336943.86,333535.8,329081.8,4454,81168.27,252367.53,0.756643005038739,995.371428571429,764,46.5570469798658,43,110.847310723467,123
"700",2023,"25-4000",255990.39,244558.16,242071.61,2486.55,71274.64,173283.52,0.708557506320787,1274,1254.5,45.4271844660194,44,115.181569488419,123
"701",2024,"25-4000",285641.31,285641.31,283106.59,2534.72,63045.7,222595.61,0.779283675740039,1274,1254.5,44.0393700787402,39,109.0092382996,111
"702",2025,"25-4000",295851.28,295851.28,290923.65,4927.63,47366.91,248484.37,0.839896214070799,1274,1254.5,44.650406504065,42,107.443784018781,111
"703",2000,"25-9000",826813.96,819910.99,804873.96,15037.03,88285.24,731625.75,0.892323385005487,260.923076923077,251,40.9900497512438,42,84.9628602856024,81
"704",2001,"25-9000",875002.21,866384.29,860803.47,5580.82,88587.76,777796.53,0.897750038842463,309.386904761905,300,39.6471408647141,41,82.1960860347549,81
"705",2002,"25-9000",891748.349999999,882377.699999999,862300.909999999,20076.79,90418.31,791959.389999999,0.897528790675467,309.077348066298,305.5,41.231593038822,42,84.2618591109002,81
"706",2003,"25-9000",1058556.05,1044646.82,1016098.24,28548.58,104360,940286.819999999,0.900100208030117,377.026315789474,315,40.8585365853659,43,85.0642040819116,81
"707",2004,"25-9000",1074688.77,1051386.44,1030180.32,21206.12,114576.28,936810.160000001,0.891023627810912,367.53,352,41.479091995221,43,86.6579630606611,81
"708",2005,"25-9000",1047085.13,1025045.61,1012513.87,12531.74,128887.63,896157.979999999,0.874261565785351,380.717948717949,348.5,42.4777911164466,44,87.6351299529005,81
"709",2006,"25-9000",1094110.08,1077619.57,1043486.98,34132.59,88887.22,988732.349999999,0.917515213648171,381.69696969697,343,42.0921985815603,43,86.2632737172733,81
"710",2007,"25-9000",1068301.58,1063154.63,1046588.58,16566.05,96422.72,966731.909999999,0.909305083871008,450.837606837607,385,42.2633495145631,44,87.9024802252897,81
"711",2008,"25-9000",1185541.97,1177275.76,1144153.69,33122.07,100496.57,1076779.19,0.914636338048785,472.827586206897,382,42.2597402597403,43,88.3296990842654,81
"712",2009,"25-9000",1216844.71,1211029.18,1167891.28,43137.9,113549.03,1097480.15,0.906237577198594,503.19014084507,408.5,42.5089887640449,44,89.5275815567052,81
"713",2010,"25-9000",1226523.36,1214864.68,1159882.22,54982.46,102227.24,1112637.44,0.91585298207863,477.2109375,406,43.7395604395604,46,90.1822450711137,81
"714",2011,"25-9000",1206107.2,1192068.24,1147612.42,44455.82,121878.21,1070190.03,0.897759032654037,584.59842519685,418.5,42.6837708830549,45,90.9654042456495,81
"715",2012,"25-9000",1154148.16,1150962.3,1090652.37,60309.93,130341.12,1020621.18,0.88675465738539,529.587719298246,380.5,43.0628078817734,44,91.5881352499557,81
"716",2013,"25-9000",1241755.73,1232626.16,1175165.94,57460.22,179600.65,1053025.51,0.854294306069246,528.022058823529,397.5,43.2356459330144,44,91.862731633085,91
"717",2014,"25-9000",2614236.39,2596124.62,2504269.12,91855.5,379564,2216560.62,0.853795924480697,548.659420289855,431.5,43.3963344788087,44,93.0277844019677,91
"718",2015,"25-9000",1180449.96,1167343.29,1153953.85,13389.44,118576.71,1048766.58,0.898421731622752,611.544,450,43.9879679144385,45,91.517241444888,81
"719",2016,"25-9000",1152009.29,1131178.18,1108727.48,22450.7,124874.06,1006304.12,0.889607082060229,497.824742268041,464,43.0822510822511,45,91.9196275249935,91
"720",2017,"25-9000",1288441.6,1273983.21,1255478.13,18505.08,179831.81,1094151.4,0.858842872819336,598.864,475.5,42.9057873485868,45,91.5742628272157,91
"721",2018,"25-9000",1315048.13,1300667.65,1267186.52,33481.13,180957.61,1119710.04,0.860873290728804,590.837837837838,471.5,43.2753824756606,45,92.6255094066497,91
"722",2019,"25-9000",1366020.55,1351429.54,1327894.27,23535.27,182072.93,1169356.61,0.865273827002479,669.891304347826,534,43.4792207792208,44,94.9465337053385,92
"723",2020,"25-9000",1587853.037,1560062.984,1450916.7006,109146.2834,294528.1718,1265534.8122,0.811207512247467,634.380530973451,500,41.0024844720497,39,95.5275241234749,92
"724",2021,"25-9000",1526184.3995,1512085.85,1478519.5724,33566.2776,305953.0764,1206132.7736,0.79766157034007,684.759615384615,516,41.7403598971722,40,96.8923072986231,92
"725",2022,"25-9000",1591846,1574510.64,1529928.26,44582.38,329858.92,1244651.72,0.790500672640739,743.088495575221,660,40.4132791327913,38,95.9471865239348,92
"726",2023,"25-9000",1856396.72,1844034.64,1810128.14,33906.5,420775.66,1423258.98,0.771817919862937,808.079136690647,670,40.8569636135508,39,97.0792972576698,92
