"","soc_2010_broad","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"23","11-9120",23,23,2003,2025,2014,20755.7095956522,20755.7095956522,20725.9204652174,29.7891304347826,10034.9450652174,10720.7645304348,0.457420083674941,1585.79855072464,1311.54347826087,44.9709171133404,42.3695652173913,115.240591234905,114.652173913043
"24","11-9140",26,26,2000,2025,2012.5,723939.917392308,719171.203338462,698292.469530769,20878.7338076923,361812.875207692,357358.328130769,0.497026297204077,999.108420236136,856,47.8746997716554,48.1923076923077,92.7358754103729,88.2692307692308
"25","11-9150",26,26,2000,2025,2012.5,449476.321157692,446392.896626923,433118.8962,13274.0004269231,152355.065861538,294037.830765385,0.672521917866437,1085.1282188811,970.365384615385,44.874895066142,45.7884615384615,104.839138821663,111
"26","11-9160",15,15,2011,2025,2018,9818.8359,9546.81256666667,9410.41523333333,136.397333333333,4726.89857333333,4819.91399333333,0.547732110997763,1233.87111111111,1182.1,44.1411111111111,42.2,108.556495507674,105.8
"27","11-9190",26,26,2000,2025,2012.5,5255409.39663077,5226367.85880769,5098815.79762692,127552.061180769,3340644.69488462,1885723.16392308,0.361534858078916,1422.06957530041,1308.82692307692,45.5879016034421,45.9230769230769,97.834868947973,105.846153846154
"28","13-1010",26,26,2000,2025,2012.5,51912.3631461538,51683.9108384615,48838.2185153846,2845.69232307692,28258.3174615385,23425.5933769231,0.448989958442712,1318.60897435897,1143.46153846154,42.1112071603212,38.4230769230769,97.6102348302241,100.384615384615
"29","13-1020",26,26,2000,2025,2012.5,527515.844853846,524259.161076923,503141.65025,21117.5108269231,247031.117607692,277228.043469231,0.526753378140806,996.758067483209,910.730769230769,43.8907941533956,44.5961538461538,92.4177524109692,87.8846153846154
"30","13-1030",26,26,2000,2025,2012.5,360213.729042308,358253.081869231,347508.638834615,10744.4430346154,133646.773084615,224606.308784615,0.62527617035881,1007.18186746736,893.865384615385,42.5589793157318,42.0576923076923,95.0557984007843,95.3076923076923
"31","13-1040",26,26,2000,2025,2012.5,247055.398326923,244961.431907692,240221.877096154,4739.55481153846,122224.413761538,122737.018146154,0.494194641650271,1280.4715737463,1150.13461538462,44.9023381489569,45.0192307692308,101.092169831437,108.038461538462
"32","13-1050",23,23,2003,2025,2014,136473.613308696,135774.62243913,131064.003256522,4710.6191826087,116453.426969565,19321.1954695652,0.140883620631372,1196.39088642322,973.760869565217,45.0185546094134,45.5,91.2462674270427,86.0434782608696
"33","13-1070",26,26,2000,2025,2012.5,795244.415357692,789945.944788461,762845.242853846,27100.7019346154,219110.764653846,570835.180134615,0.720394472299965,1098.86061846356,941.384615384615,41.8847117543314,40.4615384615385,100.344872884515,110.269230769231
"34","13-1080",23,23,2003,2025,2014,109963.041808696,109680.763817391,106024.311234783,3656.4525826087,66325.436273913,43355.3275434783,0.394006642218899,1212.06792986425,1011.86956521739,42.5460945279602,41.8260869565217,95.9202066221454,96.0652173913043
"35","13-1110",26,26,2000,2025,2012.5,852417.123396154,843183.896711538,811481.941430769,31701.9552807692,480527.574957692,362656.321753846,0.428282173382639,1480.28615375073,1381.38461538462,45.3418502957686,45.7115384615385,108.550018859792,111
"36","13-1120",23,23,2003,2025,2014,129887.883947826,127992.421686957,120189.573682609,7802.84800434783,30903.8788086957,97088.5428782609,0.765804528018105,891.258735467431,783.717391304348,39.2470726847146,35.3695652173913,100.35871796361,106.934782608696
"37","13-1130",15,15,2011,2025,2018,94920.4783333333,94344.66028,90050.7221066667,4293.93817333333,25375.9269266667,68968.7333533333,0.726277668867933,1198.23818903319,830.366666666667,42.2994364658819,41.2333333333333,109.660431338886,111.8
"38","13-1140",15,15,2011,2025,2018,75885.7829933333,75599.2800666667,72962.2314,2637.04866666667,16580.5401266667,59018.73994,0.77323873092943,1393.05924963925,1213,45.0434969555213,45.4333333333333,99.8830057166505,104.566666666667
"39","13-1150",15,15,2011,2025,2018,161759.378253333,160363.86128,155991.300513333,4372.56076666667,68100.1183466667,92263.7429333333,0.565384060076646,1249.34418689698,935.666666666667,43.695706850097,43.1,98.1910280027532,102
"40","13-1160",26,26,2000,2025,2012.5,284758.884230769,282083.150707692,270040.235046154,12042.9156615385,114331.359030769,167751.791676923,0.570284871965762,1191.57615434604,1015.57692307692,39.4246253287573,36.3846153846154,107.349777758214,111
"41","13-1190",26,26,2000,2025,2012.5,348938.961423077,346307.676534615,333942.335207692,12365.3413269231,109037.341192308,237270.335342308,0.678137069865818,1096.93405234211,929.75,42.7376764492649,42.8846153846154,98.0292969265304,102.25
"42","13-2010",26,26,2000,2025,2012.5,1881265.23758077,1870244.93449615,1819347.83494231,50897.0995538462,735096.024211538,1135148.91028462,0.605131102926868,1179.96583331055,1066.67307692308,43.1963376340242,42.4807692307692,107.476187072968,111
"43","13-2020",23,23,2003,2025,2014,100769.773317391,100155.625491304,97654.0329391304,2501.59255217391,66867.7531565217,33287.8723347826,0.338391259799579,1079.379256251,790.652173913043,47.9536673991012,48.3478260869565,97.4844148453412,101.521739130435
"44","13-2030",23,23,2003,2025,2014,55898.7650173913,55841.8245826087,54566.3080608696,1275.51652173913,23983.9803956522,31857.8441869565,0.567043002761913,1507.07315715685,1379.5,44.4153901890938,44.2173913043478,108.237006821585,111.521739130435
"45","13-2040",23,23,2003,2025,2014,31059.4529869565,30900.4529869565,30171.5382,728.914786956522,14101.5868,16798.8661869565,0.551168324659997,901.478467908903,804.282608695652,38.2462650942825,35.1521739130435,102.488286192796,105.652173913043
"46","13-2050",26,26,2000,2025,2012.5,733830.369780769,728766.115853846,715471.158846154,13294.9570076923,440737.470280769,288028.645573077,0.422673846105126,1391.56329486528,1224.11538461538,42.6116644192432,41.2307692307692,105.852717274406,110.269230769231
"47","13-2060",23,23,2003,2025,2014,13537.7509695652,13206.5418391304,13035.6440130435,170.897826086957,5635.36631304348,7571.17552608696,0.563342038995182,1509.47826086957,1535.60869565217,44.483628931455,42.2391304347826,108.409613086721,108.630434782609
"48","13-2070",26,26,2000,2025,2012.5,463715.424480769,460316.308511538,444336.447876923,15979.8606346154,210313.186711538,250003.1218,0.548753019063831,1173.11588861692,1006.73076923077,41.9174321283685,41.1538461538462,97.6256627348734,105
"49","13-2080",23,23,2003,2025,2014,243390.593269565,240734.198669565,233366.281682609,7367.91698695652,87841.4489391304,152892.749730435,0.629907596633602,959.097671162264,766.891304347826,47.4763924406497,48.5217391304348,97.1705770721922,101.260869565217
"50","13-2090",23,23,2003,2025,2014,77386.3555086956,76734.8821130435,73312.3082565217,3422.57385652174,31140.4528173913,45594.4292956522,0.586954519436252,1199.74682539683,1057.52173913043,42.989457585291,42.1739130434783,101.613733787596,105.108695652174
"51","15-1110",15,15,2011,2025,2018,29952.7182266667,29759.5562266667,29273.4902266667,486.066,20949.3359133333,8810.22031333333,0.278983675872072,1893.73333333333,1530.26666666667,39.0075960735171,35.6666666666667,116.550786492197,119.333333333333
"52","15-1120",26,26,2000,2025,2012.5,872154.680357692,866990.623180769,842204.813726923,24785.8094538462,596956.958823077,270033.664357692,0.316415608590003,1427.8826768824,1323.05769230769,41.583599897071,40.3653846153846,105.465984516791,111
"53","15-1130",26,26,2000,2025,2012.5,2072062.96707692,2063154.11195769,1999383.28400385,63770.8279538462,1595699.68405385,467454.427903846,0.230103329512057,1531.54110391047,1484.67307692308,39.8919780769313,37.8846153846154,107.823332050386,111
"54","15-1140",23,23,2003,2025,2014,414533.534278261,413340.691086957,403985.705726087,9354.98536086956,321056.881886957,92283.8092,0.228329717597808,1448.81919993343,1316.23913043478,41.7917301062348,41.1521739130435,101.867167715743,110.173913043478
"55","15-1150",23,23,2003,2025,2014,560026.620456522,556871.628804348,533835.856782609,23035.7720217391,400978.282656522,155893.346147826,0.28314189073571,1127.50393169021,1027.10869565217,40.1668526485829,38.7173913043478,96.1929951150031,97.0434782608696
"56","15-1190",15,15,2011,2025,2018,778540.825426667,773353.098506666,750332.731786666,23020.36672,582750.75726,190602.341246667,0.241951462514034,1421.75889943849,1220.53333333333,42.2379606885777,41.0333333333333,101.504011170339,111
"57","15-2010",26,26,2000,2025,2012.5,26910.8665576923,26779.2830961538,26732.93425,46.3488461538462,17892.47935,8886.80374615385,0.328635573902417,2082.13846153846,1945.86538461538,39.0684049758211,36.5576923076923,113.718685197572,112.384615384615
"58","15-2030",26,26,2000,2025,2012.5,148210.613846154,147765.943869231,142174.4268,5591.51706923077,74070.3902730769,73695.5535961538,0.495453931303069,1381.41160203613,1269.07692307692,42.8202634524875,42.7884615384615,106.117787554828,111
"59","15-2090",26,26,2000,2025,2012.5,131022.362330769,129855.884638462,126864.116023077,2991.76861538462,70746.6705115385,59109.2141269231,0.439440641312742,1339.29212214068,1098.13461538462,40.4768056694452,37.5576923076923,113.947169772879,117.692307692308
"60","17-1010",26,26,2000,2025,2012.5,230026.666065385,228578.536246154,221174.631988462,7403.90425769231,168959.625492308,59618.9107538462,0.257389425569463,1368.96205767531,1266.88461538462,44.9068826177309,44.4423076923077,112.777864637228,111.461538461538
"61","17-1020",26,26,2000,2025,2012.5,40013.4617846154,39628.1279384615,38217.7327384615,1410.3952,33601.6830846154,6026.44485384615,0.143889182179156,1075.36675824176,894.807692307692,43.2752589919576,41.3846153846154,104.836113062283,110.269230769231
"62","17-2010",26,26,2000,2025,2012.5,136079.915176923,135125.820984615,133376.414146154,1749.40683846154,117417.303819231,17708.5171653846,0.125022785266676,1707.14162020999,1560.51923076923,44.3878908650191,43.5576923076923,111.669036720706,111
"63","17-2030",26,26,2000,2025,2012.5,17237.9471038462,17053.4236538462,16687.3267307692,366.096923076923,14126.3770538462,2927.0466,0.151592474916205,1438.94871794872,1403.55769230769,39.0576625297779,36.0769230769231,108.519857563163,108.692307692308
"64","17-2040",26,26,2000,2025,2012.5,79313.0855,79030.0805,76587.3980615385,2442.68243846154,65778.4740884615,13251.6064115385,0.167794490986638,1708.11193528694,1609.21153846154,42.770208104839,41.75,112.244067202397,111.461538461538
"65","17-2050",26,26,2000,2025,2012.5,391356.342546154,389253.894538462,381244.153076923,8009.74146153846,334097.128819231,55156.7657192308,0.137121215331546,1489.94354465597,1355.98076923077,42.91395425445,41.6153846153846,109.917815354884,111
"66","17-2060",23,23,2003,2025,2014,86593.879026087,86137.3612,82341.1224869565,3796.23871304348,73478.4293956522,12658.9318043478,0.152332303455329,1749.11889209824,1605.86956521739,41.6693104236758,39.6739130434783,108.7451653871,111
"67","17-2070",26,26,2000,2025,2012.5,383311.7035,380772.820238462,370629.889023077,10142.9312153846,348547.599638462,32225.2206,0.0841617146857717,1635.49776460874,1550.71153846154,43.3125972424849,42.6923076923077,109.630468946886,111
"68","17-2080",23,23,2003,2025,2014,41955.3755869565,41934.5464565217,41275.485726087,659.060730434783,32074.2077130435,9860.33874347826,0.246183360282079,1513.96787439614,1408.39130434783,43.8669756728628,42.1521739130435,110.462666461501,111.369565217391
"69","17-2110",26,26,2000,2025,2012.5,218180.116434615,216499.927203846,210926.429126923,5573.49807692308,170128.462534615,46371.4646692308,0.215434477782664,1374.92284262212,1266.34615384615,42.7711374883332,42.6730769230769,105.080079711855,111
"70","17-2120",26,26,2000,2025,2012.5,12508.4653769231,12278.2684538462,12028.2784538462,249.99,11809.0649923077,469.203461538462,0.0369852255337343,1493.38461538462,1361.40384615385,45.3184077674462,42.0384615384615,102.416605116207,105.096153846154
"71","17-2130",26,26,2000,2025,2012.5,40636.9488038461,40437.6718807692,39482.5988038462,955.073076923077,33351.5314615385,7086.14041923077,0.161218467417241,1583.34981684982,1353.23076923077,42.460766903367,40.9038461538462,108.015714037292,111.230769230769
"72","17-2140",26,26,2000,2025,2012.5,355922.067473077,355045.239011538,347641.695342308,7403.54366923077,330721.391203846,24323.8478076923,0.068493579345529,1523.80425442175,1428.13461538462,42.3295345297519,41.5192307692308,108.224594343619,111
"73","17-2170",26,26,2000,2025,2012.5,36055.3299153846,35740.2860692308,34995.3076807692,744.978388461538,31425.6713461538,4314.61472307692,0.124406682298116,1840.5021978022,1673.25,43.1685247973838,42.0384615384615,109.106689015829,111
"74","17-2190",26,26,2000,2025,2012.5,463420.964723077,460640.532838461,450557.055257692,10083.4775807692,396850.305276923,63790.2275615385,0.132096993086328,1560.61513854766,1415.82692307692,43.5849277391374,43.1730769230769,109.494588301919,111
"75","17-3010",26,26,2000,2025,2012.5,166243.958388462,165456.989892308,157548.308457692,7908.68143461538,128190.893311538,37266.0965807692,0.222809970868618,1064.07174506892,985.365384615385,41.2604392988308,40.5576923076923,91.471894558127,90.25
"76","17-3020",26,26,2000,2025,2012.5,484469.082034615,479797.580715385,461630.255326923,18167.3253884615,388284.336653846,91513.2440615385,0.187139399657255,1033.40005864238,964.269230769231,42.7617414525004,43.2884615384615,87.4392222441636,82.5384615384615
"77","17-3030",26,26,2000,2025,2012.5,80421.5802461538,79399.0763884615,74247.2238923077,5151.85249615385,71815.8203653846,7583.25602307692,0.102471720296388,945.404594588418,773.730769230769,40.92854679362,39.6730769230769,81.7460954179246,78.9230769230769
"78","19-1010",26,26,2000,2025,2012.5,39975.75345,39617.9342192308,37369.4110769231,2248.52314230769,25513.1147576923,14104.8194615385,0.363867355001454,1172.53353174603,1044.53846153846,42.6200911251859,40.9038461538462,108.644716281762,111.346153846154
"79","19-1020",26,26,2000,2025,2012.5,115215.151153846,114456.94855,111143.776134615,3313.17241538462,61119.30325,53337.6453,0.470024968269504,1113.51665925909,948.923076923077,41.5836912675867,38.9038461538462,117.064815192516,120.230769230769
"80","19-1030",26,26,2000,2025,2012.5,29557.9917846154,29428.0429384615,29014.4552461538,413.587692307692,21849.8568653846,7578.18607307692,0.262611463443632,1185.5731990232,1078.82692307692,44.2805410261228,43.5961538461538,108.963009762511,110.634615384615
"81","19-1040",26,26,2000,2025,2012.5,145411.498988462,145080.525911538,142189.772446154,2890.75346538462,69222.7382115385,75857.7877,0.521474512654793,1359.89452243332,1007.76923076923,41.1145086208232,38.6346153846154,120.183309544524,123.576923076923
"82","19-2010",26,26,2000,2025,2012.5,22096.6522884615,22096.6522884615,21207.7880576923,888.864230769231,17693.0698807692,4403.58240769231,0.166218912182515,1586.99102564103,1393.13461538462,47.1564474866511,45.3461538461538,120.497596372688,122.134615384615
"83","19-2020",26,26,2000,2025,2012.5,8856.68389615385,8856.68389615385,8780.37351153846,76.3103846153846,6856.87969230769,1999.80420384615,0.201791109530037,1461.94102564103,1476.69230769231,43.453070113647,41.2307692307692,113.265570852401,113.769230769231
"84","19-2030",26,26,2000,2025,2012.5,117676.541607692,117338.88665,114240.017411538,3098.86923846154,76239.2797423077,41099.6069076923,0.360047856719325,1509.95892685746,1320.21153846154,42.198504041385,39.7692307692308,114.399207581676,113.076923076923
"85","19-2040",26,26,2000,2025,2012.5,99129.1733653846,98759.3415730769,96811.5075538462,1947.83401923077,68747.3658115385,30011.9757615385,0.308247195933441,1413.56677291725,1311.57692307692,44.0720950137301,42.3269230769231,115.129525385538,115.384615384615
"86","19-2090",23,23,2003,2025,2014,251402.743543478,249102.698634783,243917.761834783,5184.9368,145591.901521739,103510.797113043,0.39736031945059,1593.18569939515,1434.10869565217,41.5023516200952,38.7608695652174,119.910615644755,123.521739130435
"87","19-3010",23,23,2003,2025,2014,31146.0225869565,31139.0460652174,30898.5030217391,240.543043478261,21080.2042130435,10058.8418521739,0.308041430103355,1992.4149068323,1789.36956521739,42.5054182762105,42.4782608695652,119.99801396508,122.847826086957
"88","19-3030",26,26,2000,2025,2012.5,221667.777446154,220534.436676923,218650.967446154,1883.46923076923,61597.4418038462,158936.994873077,0.720303323636268,1213.56911400641,1018.82692307692,47.1805432131476,47.5384615384615,122.332638445803,123.326923076923
