"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"15",21,3,3,2000,2002,2001,12,12,1,12,6.5,743156.497141667,736772.104197222,714375.519258333,22396.5849388889,336048.913527778,400723.190669444,0.544756361020758,799.561892770409,682.98625,43.0377354638191,42.7222222222222,98.0177358556966,108.361111111111
"16",22,3,3,2000,2002,2001,12,12,1,12,6.5,8302536.94483333,8260540.16214722,8051739.56266944,208800.599477778,5669588.87185555,2590951.29029167,0.313599163720149,1119.20019129268,976.356388888889,44.062027904615,43.1388888888889,94.1856377074649,91.3611111111111
"17",23,3,3,2000,2002,2001,12,12,1,12,6.5,1724626.94577778,1711179.28110556,1667160.53549722,44018.7456083333,713409.821722222,997769.459383333,0.582499145696955,861.489414699833,758.240138888889,40.8724303225178,39.1111111111111,104.197012940339,111
"18",24,3,3,2000,2002,2001,12,12,1,12,6.5,108092.241477778,107492.499902778,104937.573925,2554.92597777778,29924.7776472222,77567.7222555556,0.716029659810801,857.512078723389,724.651666666667,39.3920217939493,36.8055555555556,94.941913874925,93.9861111111111
"19",25,3,3,2000,2002,2001,12,12,1,12,6.5,899634.539108333,889979.473683333,864941.594205556,25037.8794777778,438626.415322222,451353.058361111,0.507138231334091,978.261652777932,841.955555555556,42.2677103792464,41.4861111111111,99.4722600627657,111
"20",26,3,3,2000,2002,2001,12,12,1,12,6.5,514960.105544444,510187.503108333,492850.982213889,17336.5208944444,301077.439694444,209110.063413889,0.407760278996072,1143.90522522973,1024.08263888889,45.0167449727202,44.3333333333333,106.679506014933,111
"21",27,3,3,2000,2002,2001,12,12,1,12,6.5,674229.116822222,669561.718902778,646004.698177778,23557.020725,195539.25845,474022.460452778,0.70814845243173,817.6955160789,707.255694444444,40.6815922643123,39.3333333333333,97.1414087673763,104.402777777778
"22",28,3,3,2000,2002,2001,12,12,1,12,6.5,12236.0049944444,12236.0049944444,11677.9790305556,558.025963888889,9980.89087777778,2255.11411666667,0.168495361478636,775.603425925926,685.1975,44.1613157675658,40.3472222222222,88.3805249495033,81.4722222222222
"23",29,3,3,2000,2002,2001,12,12,1,12,6.5,235659.846286111,234002.088805556,226982.524352778,7019.56445277778,105060.223008333,128941.865797222,0.550815769902112,663.612687086922,556.238055555556,41.1748548246605,40.2916666666667,87.4729029300543,81
"24",33,3,3,2000,2002,2001,12,12,1,12,6.5,266931.700327778,265421.193972222,256304.835083333,9116.35888888889,121428.8489,143992.345072222,0.544726646502903,747.99581981768,678.347083333333,43.0606499513732,43.4861111111111,89.0891020594909,81.6944444444444
"25",34,3,3,2000,2002,2001,12,12,1,12,6.5,38309.9692333333,37820.4102222222,36036.6423138889,1783.76790833333,19607.2068111111,18213.2034111111,0.483896979747853,1100.49897685185,911.788611111111,42.4171448892604,38.5694444444444,100.077391801555,103.680555555556
"26",35,3,3,2000,2002,2001,12,12,1,12,6.5,71648.3364111111,71079.3948888889,69438.6713472222,1640.72354166667,66087.4973805555,4991.89750833333,0.0664991889812941,785.50313004588,699.983055555556,46.288641988471,46.6527777777778,84.1324649195087,80.3611111111111
"27",36,3,3,2000,2002,2001,12,12,1,12,6.5,258240.064452778,255039.498288889,248308.147213889,6731.351075,153612.677655556,101426.820633333,0.397353035974483,894.336896909922,819.721388888889,44.54447953778,44.5277777777778,96.7686038721261,99.6388888888889
"28",37,3,3,2000,2002,2001,12,12,1,12,6.5,516153.165222222,511370.2468,496644.829497222,14725.4173027778,67386.4149444444,443983.831855556,0.868177726129044,626.261869239984,578.405555555556,42.2393157943349,42.1944444444444,87.481140416235,81
"29",40,17,17,2003,2019,2011,12,12,1,12,6.5,71162.2094593137,70828.7198009804,67801.8010818627,3026.91871911765,30779.0453294118,40049.6744715686,0.569396562907831,1258.37936386449,1044.65987745098,40.4971777016719,37.8406862745098,104.956023842892,110.860294117647
"30",43,3,3,2000,2002,2001,12,12,1,12,6.5,215931.251988889,214830.004352778,211066.714486111,3763.28986666667,166622.515013889,48207.4893388889,0.223723656239434,1053.03799697458,954.475833333333,42.5369749337249,41.5,111.010674445874,111
"31",44,3,3,2000,2002,2001,12,12,1,12,6.5,87784.2904277778,86670.9467416667,84800.8350916667,1870.11165,79184.6289111111,7486.31783055556,0.0872807893549716,1333.91054752847,1201.76875,42.716333882426,41.5555555555556,110.294836686019,111
"32",45,3,3,2000,2002,2001,12,12,1,12,6.5,27346.0756555556,27167.6050388889,26876.3059388889,291.2991,24340.2229861111,2827.38205277778,0.0989897989404349,1230.6876957672,1074.58111111111,43.1268929474522,40.9027777777778,106.739314512272,108.555555555556
"33",46,3,3,2000,2002,2001,11,11,1,12,6.22222222222222,3454.7686037037,3454.7686037037,3454.7686037037,0,3454.7686037037,0,0,1267.71101851852,1271.3612962963,45.7471009700176,42.8888888888889,107.723643506807,104.759259259259
"34",47,3,3,2000,2002,2001,12,12,1,12,6.5,19507.2034916667,19246.0752,19053.3936972222,192.681502777778,17711.8852416667,1534.18995833333,0.0846215611122662,1461.03432407407,1303.70444444444,41.5562081051664,40.7083333333333,107.543967638586,109.166666666667
