"","soc_2010_minor","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"80","47-2100",26,26,2000,2025,2012.5,2676994.07443461,2648943.95722692,2396530.39487692,252413.56235,2558633.47394615,90310.4832807692,0.0341120395854002,875.419788588538,765.538461538462,40.147785799295,39.2307692307692,72.7118451190238,73
"81","47-2200",26,26,2000,2025,2012.5,226439.976638462,225256.003215385,200339.522607692,24916.4806076923,217731.730238462,7524.27297692308,0.0339060339306854,900.126191919843,814.75,40.4306546381294,40,75.6581935645666,73
"82","47-3000",26,26,2000,2025,2012.5,96232.1903769231,94638.9398576923,78055.3771153846,16583.5627423077,89852.5276884615,4786.41216923077,0.0518913042777669,588.128895463511,484.269230769231,32.8541087845018,28.2307692307692,66.8170847001884,73.2692307692308
"83","47-4000",26,26,2000,2025,2012.5,411202.174784615,406418.158192308,371672.34555,34745.8126423077,385520.177938462,20897.9802538462,0.0524059684279229,918.953533224237,808.711538461538,42.7585989640329,42.25,77.2058450769007,73.1538461538462
"84","47-5000",26,26,2000,2025,2012.5,208630.671488462,207070.768023077,187144.272203846,19926.4958192308,201981.627107692,5089.14091538462,0.025192964541409,1134.55359132346,994.326923076923,38.7000296582186,36.7884615384615,73.8408110268936,73
"85","49-1000",26,26,2000,2025,2012.5,301495.2969,299168.269357692,291649.553369231,7518.71598846154,275540.184484615,23628.0848730769,0.0771335446207483,1136.52896304314,1101.96153846154,45.8256558847319,47.1346153846154,82.5702274940076,78.3846153846154
"86","49-2000",26,26,2000,2025,2012.5,687123.128707692,681098.193934615,645990.463496154,35107.7304384615,615165.696334615,65932.4976,0.0960370749497979,936.559084222658,861.384615384615,40.9602959421349,39.8653846153846,85.8672324908217,81
"87","49-3000",26,26,2000,2025,2012.5,2021327.67099231,2007046.27499231,1910245.63175385,96800.6432384615,1974413.14368846,32633.1313038462,0.0164649782189922,872.77850268369,770.75,40.467231674011,40.0576923076923,75.8221263399687,73
"88","49-9000",26,26,2000,2025,2012.5,2328249.34181539,2311206.71389231,2198030.34000385,113176.373888462,2219275.52043846,91931.1934538462,0.0400901859836649,927.55560596936,823.326923076923,42.6456352228395,42.8076923076923,78.0536697163938,73.6153846153846
"89","51-1000",26,26,2000,2025,2012.5,886027.004719231,882113.365873077,852692.176130769,29421.1897423077,702322.3168,179791.049073077,0.203255681303359,996.710907978393,847.865384615385,44.502581797305,45.2884615384615,81.0466140735862,75.3076923076923
"90","51-2000",26,26,2000,2025,2012.5,1452590.74266154,1436741.49380769,1297464.954,139276.539807692,871037.275103846,565704.218703846,0.390210023427784,654.246566519852,577.442307692308,41.0729032417454,40.6153846153846,73.1435355249685,73
"91","51-3000",26,26,2000,2025,2012.5,750441.304846154,742020.000919231,693670.381523077,48349.6193961538,447723.537469231,294296.46345,0.396114188801964,562.223450450485,507.653846153846,40.1131212932128,38.5769230769231,67.9418714535442,73
"92","51-4000",26,26,2000,2025,2012.5,804386.473884615,799386.435353846,749587.127838462,49799.3075153846,724166.558642308,75219.8767115385,0.0927046405240449,828.083410766222,750.346153846154,42.7439662986526,43.3846153846154,75.0273907425857,73
"93","51-4100",26,26,2000,2025,2012.5,1137069.70819231,1126823.35442308,1041257.01429231,85566.3401307692,1001637.23054231,125186.123880769,0.110490025614126,806.924480386471,719.846153846154,41.1161914032108,41.0384615384615,72.9000632033286,73
"94","51-5100",26,26,2000,2025,2012.5,296589.999084615,294214.639061539,274265.910873077,19948.7281884615,220366.530588462,73848.1084730769,0.250056406230669,723.220727829366,626.903846153846,42.806113613645,43.0192307692308,78.5244612554113,73.9230769230769
"95","51-6000",26,26,2000,2025,2012.5,747463.853134615,737891.918103846,675141.845534615,62750.0725692308,262089.291407692,475802.626696154,0.642656860582185,469.69156646168,418.557692307692,45.3040963422408,45.7884615384615,66.0534655605883,73
"96","51-7000",26,26,2000,2025,2012.5,202244.837261538,200182.643553846,184614.685715385,15567.9578384615,177202.460230769,22980.1833230769,0.114470141382335,661.099356535932,539.230769230769,42.3810030794017,42.5384615384615,71.3596878826881,73
"97","51-8000",26,26,2000,2025,2012.5,269381.954911538,268090.675757692,261641.02395,6449.65180769231,253088.996376923,15001.6793807692,0.0544606916076786,1046.35097182322,908.942307692308,44.9546371281183,46.1153846153846,82.230084845284,78.8461538461538
"98","51-9000",26,26,2000,2025,2012.5,1301682.62258077,1288508.62075385,1202342.51011154,86166.1106423077,838639.334734615,449869.286019231,0.348180676113896,791.015038379285,695.461538461538,42.5628501676567,42.7307692307692,78.944609907545,75.4615384615385
"99","51-9100",26,26,2000,2025,2012.5,1976291.01925769,1953548.71250769,1787853.12117692,165695.591330769,1327262.10736154,626286.605146154,0.320855768995148,669.867137171742,557.576923076923,40.5677760636749,39.8461538461538,71.4343852483408,73
"100","53-1000",26,26,2000,2025,2012.5,234143.582607692,232895.994469231,224863.323530769,8032.67093846154,179228.128957692,53667.8655115385,0.229625688894975,934.53040297716,750.288461538462,42.3315532493557,42.0769230769231,82.5898659942133,79.9230769230769
"101","53-2000",26,26,2000,2025,2012.5,302527.407746154,299714.898611538,291217.443757692,8497.45485384615,193080.69715,106634.201461538,0.354494738647047,1315.15886037591,1092.46153846154,44.3244188320635,44.7307692307692,98.9211798326401,108.076923076923
"102","53-3000",26,26,2000,2025,2012.5,4938747.00381154,4882742.97208077,4582758.12981154,299984.842269231,4269167.03097692,613575.941103846,0.125489814759232,728.830249995129,628.596153846154,45.0923235218986,45.5384615384615,75.9798915679824,73
"103","53-4000",26,26,2000,2025,2012.5,111522.355630769,110831.626784615,107217.679092308,3613.94769230769,105161.884557692,5669.74222692308,0.0524007790228829,1268.18818005311,1157.34615384615,43.5424278528212,44.25,81.7979379088488,77.6153846153846
"104","53-5000",26,26,2000,2025,2012.5,70141.1513615385,69035.2274846154,62781.1489076923,6254.07857692308,65854.7700961538,3180.45738846154,0.04927557134814,1206.77592983939,945.057692307692,42.6491904597787,41.5576923076923,81.9558172468095,77.1153846153846
"105","53-6000",26,26,2000,2025,2012.5,299774.127219231,294102.981419231,272665.861273077,21437.1201461538,246968.435569231,47134.54585,0.159021325728106,647.227262038082,498.173076923077,38.6915169603231,36.3653846153846,78.0246992163377,74.5384615384615
"106","53-7000",26,26,2000,2025,2012.5,4206915.15161923,4148956.32074615,3676576.69941538,472379.621330769,3252717.11214615,896239.2086,0.214648733329535,569.295644603877,493.5,38.090809923829,35.9230769230769,70.9327388860735,73
"107","53-7100",26,26,2000,2025,2012.5,67906.1675307692,67060.5181192308,61113.3210538461,5947.19706538462,58367.5937192308,8692.9244,0.125505319363755,743.692061593377,543.519230769231,42.3347270033664,41.4423076923077,73.4470685304283,73.3076923076923
