"","year","occ","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,4,12,12,1,12,6.5,22798.360725,22398.442175,22398.442175,0,18329.3333166667,4069.10885833333,0.19310691127424,969.349305555556,878.687083333333,49.3973026973027,49.25,91.9713961464056,83.2916666666667
"2",2000,5,12,12,1,12,6.5,673428.182216667,668145.775341667,661044.18475,7101.59059166667,318849.967175,349295.808166667,0.522230776418475,899.184186563435,824.218333333333,46.2404036022605,46.875,99.9681137987398,111
"3",2000,6,12,12,1,12,6.5,63000.1825083333,62779.6373,62779.6373,0,45480.8975416667,17298.7397583333,0.27420387438041,887.000411841631,723.566666666667,46.0251849633582,46.9166666666667,95.6379407010481,89.1666666666667
"4",2000,7,12,12,1,12,6.5,805586.76555,802970.415491667,790815.394425,12155.0210666667,399859.310583333,403111.104908333,0.502171088820438,1052.46378727134,955.010833333333,40.7145236266864,40,101.146392494678,111
"5",2000,8,12,12,1,12,6.5,230391.086966667,230134.623591667,227504.448775,2630.17481666667,87783.991425,142350.632166667,0.618330238943575,980.32072027836,914.195416666667,42.0667906411026,41.9583333333333,100.023814499768,111
"6",2000,9,12,12,1,12,6.5,128388.913658333,127071.048083333,124053.418608333,3017.629475,75141.9717583333,51929.076325,0.404381405000259,1001.13187637403,888.96875,43.4406251017762,43.5416666666667,96.1311156548952,96.4583333333333
"7",2000,13,12,12,1,12,6.5,776439.697041667,772749.739141667,756708.77755,16040.9615916667,480409.458441667,292340.2807,0.377866073853525,1155.44247057643,1053.905,40.0844305092572,39.0833333333333,102.327582857081,111
"8",2000,14,12,12,1,12,6.5,869105.206191667,861527.603575,855108.934883334,6418.66869166667,285038.677575,576488.926,0.669181582388577,944.604709837293,909.977916666667,45.2337943923973,45.9583333333333,109.840393784365,121.5
"9",2000,15,12,12,1,12,6.5,777352.826208333,772455.294375,759876.709008333,12578.5853666667,174495.620608333,597959.673766667,0.77456269186277,809.46130346286,695.111666666667,43.7545631027073,44.1666666666667,98.4768394698281,103.875
"10",2000,17,12,12,1,12,6.5,1511284.20470833,1497019.2726,1464055.79393333,32963.4786666667,795829.575183333,701189.697416667,0.469364539114478,643.058135643583,520.170416666667,39.6535916225377,38.75,82.9885633285349,81
"11",2000,18,12,12,1,12,6.5,570384.610041667,567646.677666667,560990.999575,6655.67809166667,278145.135675,289501.541991667,0.509275055567848,679.454841785731,555.248333333333,47.583946093896,46.5833333333333,88.3082504560647,81
"12",2000,19,12,12,1,12,6.5,59397.9916166667,59210.7139416667,59107.6085916667,103.10535,48385.68135,10825.0325916667,0.186220610659895,787.130808441558,638.47375,46.6907883322059,45.1666666666667,97.4229171960483,93.3333333333333
"13",2000,21,12,12,1,12,6.5,718205.074066667,713074.9799,695782.842025,17292.137875,340319.172766667,372755.807133333,0.523776572183092,786.868072407464,665.709583333333,42.5103537377228,42.2083333333333,98.3417045134217,107.833333333333
"14",2000,22,12,12,1,12,6.5,8109009.53973333,8070951.48319167,7939142.1074,131809.375791667,5542351.58691666,2528599.896275,0.313200908928362,1081.07129826824,940.65875,43.7907231711373,42.9166666666667,93.8806156559977,91.1666666666667
"15",2000,23,12,12,1,12,6.5,1662534.28705,1647571.41465,1619059.24248333,28512.1721666667,712241.282633333,935330.132016666,0.567605057078194,847.417768317479,745.187916666667,40.82026242461,39.0416666666667,104.415828878889,111
"16",2000,24,12,12,1,12,6.5,109329.992675,108441.880433333,105416.818283333,3025.06215,30335.871575,78106.0088583333,0.711971853905065,828.513189148084,737.129583333333,39.769955734229,36.9166666666667,94.3120793941928,94.875
"17",2000,25,12,12,1,12,6.5,878219.501133333,869006.902341667,845817.201666667,23189.700675,422306.271608333,446700.630733333,0.514129056801315,942.969422251405,824.225,41.9744383343662,41.375,99.6897194445529,111
"18",2000,26,12,12,1,12,6.5,449809.320575,445414.028891667,430778.808091667,14635.2208,276054.096475,169359.932416667,0.380160220475484,1123.58621166623,989.507916666667,45.3446158233579,44.7083333333333,105.892214683255,111
"19",2000,27,12,12,1,12,6.5,651536.106983333,646971.590458333,632581.308033333,14390.282425,216155.169483333,430816.420975,0.664744275165522,814.695465576007,714.131666666667,39.9735635267334,38.9166666666667,97.740180385187,107.041666666667
"20",2000,28,12,12,1,12,6.5,12264.2511333333,12264.2511333333,11590.27265,673.978483333333,10402.6306416667,1861.62049166667,0.14665555906932,781.492291666667,672.943333333333,38.2610900673401,37.5416666666667,87.3190267160204,75
"21",2000,29,12,12,1,12,6.5,230131.480133333,228765.647033333,225207.991916667,3557.65511666667,110779.506733333,117986.1403,0.516398968367474,628.643603891951,523.16125,40.8503779796906,39.4166666666667,88.4126523069075,81
"22",2000,33,12,12,1,12,6.5,288749.447425,287492.922416667,280088.339341667,7404.583075,131328.215616667,156164.7068,0.544468685903948,728.960592210589,659.725,42.9713554686817,43.3333333333333,88.8718492448116,81
"23",2000,34,12,12,1,12,6.5,41865.473175,41383.6246166667,38917.2861916667,2466.338425,21939.081025,19444.5435916667,0.473258772977353,1141.28775,942.185833333333,42.3638593204231,38.0833333333333,100.260317366164,105.625
"24",2000,35,12,12,1,12,6.5,74604.108075,74570.9694916667,72987.3906,1583.57889166667,67614.5553833333,6956.41410833333,0.0786580114414248,787.433991402116,710.414583333333,45.1743084784452,45.7916666666667,82.8601184623803,78.6666666666667
