"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"37",650,9,9,2011,2019,2015,12,12,1,12,6.5,133784.605973148,132710.326832407,128509.576960185,4200.74987222222,58064.2852740741,74646.0415583333,0.560368198012058,1151.08407591934,972.503888888889,44.5427727165097,43.662037037037,97.991525960809,99.462962962963
"38",700,17,17,2003,2019,2011,12,12,1,12,6.5,86398.3079911765,85882.9335661765,82897.7135965686,2985.21996960784,53255.317970098,32627.6155960784,0.387864748461958,1118.69179188046,915.996862745098,43.1628563251522,41.0955882352941,95.823295567132,94.9387254901961
"39",710,20,20,2000,2019,2009.5,12,12,1,12,6.5,738446.4285325,731496.93542125,705160.6777225,26336.25769875,426651.432782083,304845.502639167,0.416623390423095,1368.0681512227,1252.0898125,46.2023539410773,45.5854166666667,107.843256083471,111
"40",725,17,17,2003,2019,2011,12,12,1,12,6.5,99965.0900269608,99171.6370284314,94545.0242843137,4626.61274411765,21609.4911995098,77562.1458289216,0.790402766951036,906.01087692972,766.484411764706,39.9042371493313,35.8137254901961,100.479428240439,107.360294117647
"41",726,9,9,2011,2019,2015,12,12,1,12,6.5,91358.3977842593,90747.201262037,86065.8900046296,4681.31125740741,25793.8088907407,64953.3923712963,0.715187508150068,1176.84829532012,1001.84990740741,42.2414505529145,40.6666666666667,109.114560777817,111.333333333333
"42",735,20,20,2000,2019,2009.5,12,12,1,12,6.5,212988.813225,211264.531837083,202881.5568425,8382.97499458333,90603.0652166667,120661.466620417,0.564239828459658,1190.72305449967,1007.07310416667,39.896361829132,37.34375,107.787293628498,111
"43",740,20,20,2000,2019,2009.5,12,12,1,12,6.5,292517.470457083,290346.254443333,279032.016126667,11314.2383166667,84238.066855,206108.187588333,0.686358269728316,1000.86178938959,867.1113125,43.2791952144209,42.8833333333333,97.0858981904536,99.575
"44",800,20,20,2000,2019,2009.5,12,12,1,12,6.5,1812405.34888958,1801837.703475,1749615.2386325,52222.4648425,708240.971597917,1093596.73187708,0.606498534376372,1098.74050901364,966.903958333333,43.3954507430189,42.1479166666667,106.229439500688,111
"45",810,17,17,2003,2019,2011,12,12,1,12,6.5,102652.730102941,102033.181382353,100196.269673529,1836.91170882353,65855.4427455882,36177.7386367647,0.36006416576386,1106.45936673743,937.410710784314,48.6349821147765,48.0294117647059,97.6943075879553,101.588235294118
"46",820,17,17,2003,2019,2011,12,12,1,12,6.5,55716.7704254902,55449.2084156863,53690.6778166667,1758.53059901961,23125.4381681373,32323.770247549,0.581308076336803,1302.52864081425,1124.84943627451,44.823881592957,44.3235294117647,107.802842135265,111.772058823529
"47",830,17,17,2003,2019,2011,12,12,1,12,6.5,28644.6848857843,28525.8985098039,27748.8379583333,777.060551470588,12878.1651348039,15647.733375,0.547839932279161,1081.97890318627,975.142843137255,39.2496104804986,35.3014705882353,102.967607276428,105.024509803922
"48",840,17,17,2003,2019,2011,12,12,1,12,6.5,172268.010636274,171291.12737598,167536.428522549,3754.69885343137,107371.179028922,63919.9483470588,0.35973083705094,1485.57114262261,1324.38524509804,40.6909131580348,37.8014705882353,110.375350573298,111.205882352941
"49",850,17,17,2003,2019,2011,12,12,1,12,6.5,433275.088256863,431253.977704412,422671.001522059,8582.97618235294,292710.988132843,138542.989571569,0.318117370398686,1450.03488339963,1247.42401960784,44.3279832715964,42.3970588235294,107.6705435463,111
"50",860,20,20,2000,2019,2009.5,12,12,1,12,6.5,106618.4382775,106135.410817917,103949.325874167,2186.08494375,35899.1752925,70236.2355254167,0.66467785232525,1097.16985294553,942.1918125,42.7240814482947,41.825,98.0265426668829,103.50625
