"","soc_2010","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"54","13-2082",23,23,2003,2025,2014,168064.381356522,166024.3944,159537.5035,6486.8909,57480.2297956522,108544.164604348,0.649012946218889,807.585275455576,614.847826086957,48.172075230996,49,97.0891740573335,99.195652173913
"55","13-2099",23,23,2003,2025,2014,77386.3555086956,76734.8821130435,73312.3082565217,3422.57385652174,31140.4528173913,45594.4292956522,0.586954519436252,1199.74682539683,1057.52173913043,42.989457585291,42.1739130434783,101.613733787596,105.108695652174
"56","15-1111",15,15,2011,2025,2018,29952.7182266667,29759.5562266667,29273.4902266667,486.066,20949.3359133333,8810.22031333333,0.278983675872072,1893.73333333333,1530.26666666667,39.0075960735171,35.6666666666667,116.550786492197,119.333333333333
"57","15-1121",26,26,2000,2025,2012.5,798104.785453846,793416.329046154,771383.073961538,22033.2550846154,534647.551534615,258768.777511538,0.339171476861426,1413.42477176752,1297.94230769231,41.641514266907,40.3846153846154,105.757175980535,111
"58","15-1122",15,15,2011,2025,2018,128353.151166667,127528.7765,122757.68226,4771.09424,108002.972633333,19525.8038666667,0.163615874680521,1701.43767195767,1656.2,42.3507360481318,41.1666666666667,104.650737831662,109.1
"59","15-1131",26,26,2000,2025,2012.5,534031.02185,530103.007119231,509763.044461538,20339.9626576923,410458.926315385,119644.080803846,0.222585663006926,1403.61511752422,1314.48076923077,41.4375686801448,40.4615384615385,105.117893511188,111
"60","15-1134",23,23,2003,2025,2014,265121.534517391,264333.035821739,253712.759713043,10620.2761086957,183121.423347826,81211.612473913,0.327840341133658,1251.21413764182,1150.5,37.9353500701605,35.5434782608696,102.277708933714,111
"61","15-113X",23,23,2003,2025,2014,1473523.27313043,1468681.25660435,1430205.77194348,38475.4846608696,1156715.95496522,311965.30163913,0.213280090645313,1703.37148813138,1672.17391304348,40.1308144088709,37.8913043478261,111.133937760657,111
"62","15-1141",23,23,2003,2025,2014,114616.481165217,114384.849673913,112175.254847826,2209.59482608696,73295.9409434783,41088.9087304348,0.368055314112588,1399.90669099301,1218.17391304348,42.6895937919719,42.2391304347826,106.283223364303,110.173913043478
"63","15-1142",23,23,2003,2025,2014,223936.514047826,223004.142782609,216888.165726087,6115.97705652174,178572.57333913,44431.5694434783,0.200690520033426,1374.82618909071,1269.52173913043,41.1717928976197,40.1304347826087,99.7236160774192,107.239130434783
"64","15-1143",15,15,2011,2025,2018,116503.493233333,116459.271233333,114880.837233333,1578.434,106088.830326667,10370.4409066667,0.0870235837796269,1925.91211159211,1876.13333333333,43.4643121036469,42.6666666666667,102.477043845199,107.833333333333
"65","15-1150",23,23,2003,2025,2014,560026.620456522,556871.628804348,533835.856782609,23035.7720217391,400978.282656522,155893.346147826,0.28314189073571,1127.50393169021,1027.10869565217,40.1668526485829,38.7173913043478,96.1929951150031,97.0434782608696
"66","15-1199",15,15,2011,2025,2018,778540.825426667,773353.098506666,750332.731786666,23020.36672,582750.75726,190602.341246667,0.241951462514034,1421.75889943849,1220.53333333333,42.2379606885777,41.0333333333333,101.504011170339,111
"67","15-2011",26,26,2000,2025,2012.5,26910.8665576923,26779.2830961538,26732.93425,46.3488461538462,17892.47935,8886.80374615385,0.328635573902417,2082.13846153846,1945.86538461538,39.0684049758211,36.5576923076923,113.718685197572,112.384615384615
"68","15-2031",26,26,2000,2025,2012.5,148210.613846154,147765.943869231,142174.4268,5591.51706923077,74070.3902730769,73695.5535961538,0.495453931303069,1381.41160203613,1269.07692307692,42.8202634524875,42.7884615384615,106.117787554828,111
"69","15-2090",26,26,2000,2025,2012.5,131022.362330769,129855.884638462,126864.116023077,2991.76861538462,70746.6705115385,59109.2141269231,0.439440641312742,1339.29212214068,1098.13461538462,40.4768056694452,37.5576923076923,113.947169772879,117.692307692308
"70","17-1010",26,26,2000,2025,2012.5,230026.666065385,228578.536246154,221174.631988462,7403.90425769231,168959.625492308,59618.9107538462,0.257389425569463,1368.96205767531,1266.88461538462,44.9068826177309,44.4423076923077,112.777864637228,111.461538461538
"71","17-1020",26,26,2000,2025,2012.5,40013.4617846154,39628.1279384615,38217.7327384615,1410.3952,33601.6830846154,6026.44485384615,0.143889182179156,1075.36675824176,894.807692307692,43.2752589919576,41.3846153846154,104.836113062283,110.269230769231
"72","17-2011",26,26,2000,2025,2012.5,136079.915176923,135125.820984615,133376.414146154,1749.40683846154,117417.303819231,17708.5171653846,0.125022785266676,1707.14162020999,1560.51923076923,44.3878908650191,43.5576923076923,111.669036720706,111
"73","17-2031",26,26,2000,2025,2012.5,17237.9471038462,17053.4236538462,16687.3267307692,366.096923076923,14126.3770538462,2927.0466,0.151592474916205,1438.94871794872,1403.55769230769,39.0576625297779,36.0769230769231,108.519857563163,108.692307692308
"74","17-2041",26,26,2000,2025,2012.5,79313.0855,79030.0805,76587.3980615385,2442.68243846154,65778.4740884615,13251.6064115385,0.167794490986638,1708.11193528694,1609.21153846154,42.770208104839,41.75,112.244067202397,111.461538461538
"75","17-2051",26,26,2000,2025,2012.5,391356.342546154,389253.894538462,381244.153076923,8009.74146153846,334097.128819231,55156.7657192308,0.137121215331546,1489.94354465597,1355.98076923077,42.91395425445,41.6153846153846,109.917815354884,111
"76","17-2061",23,23,2003,2025,2014,86593.879026087,86137.3612,82341.1224869565,3796.23871304348,73478.4293956522,12658.9318043478,0.152332303455329,1749.11889209824,1605.86956521739,41.6693104236758,39.6739130434783,108.7451653871,111
"77","17-2070",26,26,2000,2025,2012.5,383311.7035,380772.820238462,370629.889023077,10142.9312153846,348547.599638462,32225.2206,0.0841617146857717,1635.49776460874,1550.71153846154,43.3125972424849,42.6923076923077,109.630468946886,111
"78","17-2081",23,23,2003,2025,2014,41955.3755869565,41934.5464565217,41275.485726087,659.060730434783,32074.2077130435,9860.33874347826,0.246183360282079,1513.96787439614,1408.39130434783,43.8669756728628,42.1521739130435,110.462666461501,111.369565217391
"79","17-2110",26,26,2000,2025,2012.5,218180.116434615,216499.927203846,210926.429126923,5573.49807692308,170128.462534615,46371.4646692308,0.215434477782664,1374.92284262212,1266.34615384615,42.7711374883332,42.6730769230769,105.080079711855,111
