"","year","occ2010","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,10,12,12,1,12,6.5,22798.360725,22398.442175,22398.442175,0,18329.3333166667,4069.10885833333,0.19310691127424,969.349305555556,878.687083333333,49.3973026973027,49.25,91.9713961464056,83.2916666666667
"2",2000,50,12,12,1,12,6.5,776439.697041667,772749.739141667,756708.77755,16040.9615916667,480409.458441667,292340.2807,0.377866073853525,1155.44247057643,1053.905,40.0844305092572,39.0833333333333,102.327582857081,111
"3",2000,120,12,12,1,12,6.5,805586.76555,802970.415491667,790815.394425,12155.0210666667,399859.310583333,403111.104908333,0.502171088820438,1052.46378727134,955.010833333333,40.7145236266864,40,101.146392494678,111
"4",2000,136,12,12,1,12,6.5,230391.086966667,230134.623591667,227504.448775,2630.17481666667,87783.991425,142350.632166667,0.618330238943575,980.32072027836,914.195416666667,42.0667906411026,41.9583333333333,100.023814499768,111
"5",2000,150,12,12,1,12,6.5,128388.913658333,127071.048083333,124053.418608333,3017.629475,75141.9717583333,51929.076325,0.404381405000259,1001.13187637403,888.96875,43.4406251017762,43.5416666666667,96.1311156548952,96.4583333333333
"6",2000,205,12,12,1,12,6.5,1084320.81228333,1079280.05711667,1073895.80100833,5384.25610833333,793499.087475,285780.969641667,0.26491717944573,553.543495443153,451.604583333333,51.5400114927405,51.625,78.6563654934651,73
"7",2000,230,12,12,1,12,6.5,869105.206191667,861527.603575,855108.934883334,6418.66869166667,285038.677575,576488.926,0.669181582388577,944.604709837293,909.977916666667,45.2337943923973,45.9583333333333,109.840393784365,121.5
"8",2000,310,12,12,1,12,6.5,1511284.20470833,1497019.2726,1464055.79393333,32963.4786666667,795829.575183333,701189.697416667,0.469364539114478,643.058135643583,520.170416666667,39.6535916225377,38.75,82.9885633285349,81
"9",2000,350,12,12,1,12,6.5,777352.826208333,772455.294375,759876.709008333,12578.5853666667,174495.620608333,597959.673766667,0.77456269186277,809.46130346286,695.111666666667,43.7545631027073,44.1666666666667,98.4768394698281,103.875
"10",2000,410,12,12,1,12,6.5,570384.610041667,567646.677666667,560990.999575,6655.67809166667,278145.135675,289501.541991667,0.509275055567848,679.454841785731,555.248333333333,47.583946093896,46.5833333333333,88.3082504560647,81
"11",2000,420,12,12,1,12,6.5,718205.074066667,713074.9799,695782.842025,17292.137875,340319.172766667,372755.807133333,0.523776572183092,786.868072407464,665.709583333333,42.5103537377228,42.2083333333333,98.3417045134217,107.833333333333
"12",2000,430,12,12,1,12,6.5,8782437.72195,8739097.25853333,8600186.29215,138910.966383333,5861201.55409166,2877895.70444167,0.329210517293457,1060.56637686231,938.33125,43.9969244450366,43.4166666666667,94.3457359970208,91.6666666666667
"13",2000,500,12,12,1,12,6.5,41865.473175,41383.6246166667,38917.2861916667,2466.338425,21939.081025,19444.5435916667,0.473258772977353,1141.28775,942.185833333333,42.3638593204231,38.0833333333333,100.260317366164,105.625
"14",2000,510,12,12,1,12,6.5,12264.2511333333,12264.2511333333,11590.27265,673.978483333333,10402.6306416667,1861.62049166667,0.14665555906932,781.492291666667,672.943333333333,38.2610900673401,37.5416666666667,87.3190267160204,75
