"","PRUNEDUR_MO","Category","Probability"
"202",40,"1 to 10",0.283889114043979
"203",40,"11 to 20",0.010140342806361
"204",40,"21 to 80",0.00437910943652919
"205",40,"81 or more",0.00112792705506526
"206",41,"0",0.749529976007416
"207",41,"1 to 10",0.238200383584613
"208",41,"11 to 20",0.00796096787786416
"209",41,"21 to 80",0.00342703390806554
"210",41,"81 or more",0.000881638622041936
"211",42,"0",0.794352690416864
"212",42,"1 to 10",0.196115467024351
"213",42,"11 to 20",0.00619059880117789
"214",42,"21 to 80",0.00265808791827526
"215",42,"81 or more",0.000683155839331762
"216",43,"0",0.834143107664746
"217",43,"1 to 10",0.158519842787489
"218",43,"11 to 20",0.00476885344628464
"219",43,"21 to 80",0.00204342258723667
"220",43,"81 or more",0.000524773514243848
"221",44,"0",0.868510331552477
"222",44,"1 to 10",0.12589330352943
"223",44,"11 to 20",0.00363969283250143
"224",44,"21 to 80",0.00155704955244618
"225",44,"81 or more",0.000399622533144961
"226",45,"0",0.897438278801756
"227",45,"1 to 10",0.0983314684178623
"228",45,"11 to 20",0.00275253844846957
"229",45,"21 to 80",0.00117602733925637
"230",45,"81 or more",0.00030168699265587
"231",46,"0",0.9212145607338
"232",46,"1 to 10",0.0756163582047131
"233",46,"11 to 20",0.00206282294116189
"234",46,"21 to 80",0.000880473677436155
"235",46,"81 or more",0.000225784442888566
"236",47,"0",0.940335908731904
"237",47,"1 to 10",0.0573110282192971
"238",47,"11 to 20",0.00153209674078492
"239",47,"21 to 80",0.000653447271500296
"240",47,"81 or more",0.00016751903651413
"241",48,"0",0.955413183172363
"242",48,"1 to 10",0.0428550509779587
"243",48,"11 to 20",0.0011278104379584
"244",48,"21 to 80",0.000480738976895712
"245",48,"81 or more",0.000123216434823825
"246",49,"0",0.967091475606796
"247",49,"1 to 10",0.0316451893919925
"248",49,"11 to 20",0.000822880008771842
"249",49,"21 to 80",0.000350606923529284
"250",49,"81 or more",8.98480689099923e-05
"251",50,"0",0.975992154780053
"252",50,"1 to 10",0.0230942862171047
"253",50,"11 to 20",0.000595124182079743
"254",50,"21 to 80",0.00025348386252344
"255",50,"81 or more",6.49509582393293e-05
"256",51,"0",0.982676963545836
"257",51,"1 to 10",0.0166681659569823
"258",51,"11 to 20",0.000426643966947471
"259",51,"21 to 80",0.00018167864618146
"260",51,"81 or more",4.65478840528943e-05
"261",52,"0",0.987630433408615
"262",52,"1 to 10",0.0119042114123015
"263",52,"11 to 20",0.000303195976249282
"264",52,"21 to 80",0.000129087803481309
"265",52,"81 or more",3.30713993527132e-05
"266",53,"0",0.991255543748496
"267",53,"1 to 10",0.00841663925366565
"268",53,"11 to 20",0.000213595044276316
"269",53,"21 to 80",9.09279584890843e-05
"270",53,"81 or more",2.32939950726152e-05
"271",54,"0",0.993877797130942
"272",54,"1 to 10",0.00589327325581124
"273",54,"11 to 20",0.000149168336171623
"274",54,"21 to 80",6.3495508861533e-05
"275",54,"81 or more",1.62657682138967e-05
"276",55,"0",0.995753856579622
"277",55,"1 to 10",0.00408765391632959
"278",55,"11 to 20",0.000103272772811303
"279",55,"21 to 80",4.39565679757337e-05
"280",55,"81 or more",1.12601632616949e-05
"281",56,"0",0.997082022970973
"282",56,"1 to 10",0.00280920169628462
"283",56,"11 to 20",7.08799291382345e-05
"284",56,"21 to 80",3.01676272989049e-05
"285",56,"81 or more",7.72777630497767e-06
"286",57,"0",0.998012826383552
"287",57,"1 to 10",0.00191316296498689
"288",57,"11 to 20",4.8227232582132e-05
"289",57,"21 to 80",2.05256157339573e-05
"290",57,"81 or more",5.25780314519775e-06
"291",58,"0",0.998658761844326
"292",58,"1 to 10",0.00129131594799614
"293",58,"11 to 20",3.25308597952656e-05
"294",58,"21 to 80",1.38448952912151e-05
"295",58,"81 or more",3.54645259126318e-06
"296",59,"0",0.999102719139755
"297",59,"1 to 10",0.000863897469515651
"298",59,"11 to 20",2.17537787512434e-05
"299",59,"21 to 80",9.25810640883817e-06
"300",59,"81 or more",2.37150556892107e-06
"301",60,"0",0.999404982635822
"302",60,"1 to 10",0.000572886152154006
"303",60,"11 to 20",1.44215241945078e-05
"304",60,"21 to 80",6.13753644562731e-06
"305",60,"81 or more",1.57215138407718e-06
"306",61,"0",0.999608863378113
"307",61,"1 to 10",0.00037659145373381
"308",61,"11 to 20",9.47819977281661e-06
"309",61,"21 to 80",4.03371972335087e-06
"310",61,"81 or more",1.03324865663446e-06
"311",62,"0",0.999745118500275
"312",62,"1 to 10",0.000245404484316203
"313",62,"11 to 20",6.17560436189102e-06
"314",62,"21 to 80",2.62819316254603e-06
"315",62,"81 or more",6.7321788477237e-07
"316",63,"0",0.999835347422449
"317",63,"1 to 10",0.000158530989934791
"318",63,"11 to 20",3.98907733523135e-06
"319",63,"21 to 80",1.69765297175495e-06
"320",63,"81 or more",4.34857309161707e-07
"321",64,"0",0.999894555079675
"322",64,"1 to 10",0.000101524826712995
"323",64,"11 to 20",2.55449559039e-06
"324",64,"21 to 80",1.08712812429967e-06
"325",64,"81 or more",2.7846989714142e-07
"326",65,"0",0.999933055610762
"327",65,"1 to 10",6.44557103794963e-05
"328",65,"11 to 20",1.62172717521614e-06
"329",65,"21 to 80",6.90164776440128e-07
"330",65,"81 or more",1.76786906669335e-07
"331",66,"0",0.999957865567955
"332",66,"1 to 10",4.05681086164122e-05
"333",66,"11 to 20",1.02068214924422e-06
"334",66,"21 to 80",4.34375321711755e-07
"335",66,"81 or more",1.1126595778066e-07
"336",67,"0",0.99997370963613
"337",67,"1 to 10",2.53130495293519e-05
"338",67,"11 to 20",6.36859213032359e-07
"339",67,"21 to 80",2.71030285436957e-07
"340",67,"81 or more",6.94248422083987e-08
"341",68,"0",0.999983737252839
"342",68,"1 to 10",1.56582038900455e-05
"343",68,"11 to 20",3.93945924659356e-07
"344",68,"21 to 80",1.67652814520025e-07
"345",68,"81 or more",4.29445315974775e-08
"346",69,"0",0.999990026904309
"347",69,"1 to 10",9.60236303948481e-06
"348",69,"11 to 20",2.41585071059092e-07
"349",69,"21 to 80",1.02812101498984e-07
"350",69,"81 or more",2.63354789087344e-08
"351",70,"0",0.999993936750843
"352",70,"1 to 10",5.83785916297153e-06
"353",70,"11 to 20",1.46873657236313e-07
"354",70,"21 to 80",6.25054652481083e-08
"355",70,"81 or more",1.60108710733908e-08
"356",71,"0",0.999996345562165
"357",71,"1 to 10",3.51859123004505e-06
"358",71,"11 to 20",8.85233988334733e-08
"359",71,"21 to 80",3.76731666973384e-08
"360",71,"81 or more",9.65003910113893e-09
"361",72,"0",0.999997816386749
"362",72,"1 to 10",2.10244179899011e-06
"363",72,"11 to 20",5.28947556865944e-08
"364",72,"21 to 80",2.25105777351686e-08
"365",72,"81 or more",5.76611869362864e-09
"366",73,"0",0.999998706486404
"367",73,"1 to 10",1.24542985835419e-06
"368",73,"11 to 20",3.13334003188004e-08
"369",73,"21 to 80",1.33346472752649e-08
"370",73,"81 or more",3.41569017514587e-09
"371",74,"0",0.999999240362306
"372",74,"1 to 10",7.31399721565218e-07
"373",74,"11 to 20",1.84010586767869e-08
"374",74,"21 to 80",7.83099263212961e-09
"375",74,"81 or more",2.00592076282646e-09
"376",75,"0",0.999999557735269
"377",75,"1 to 10",4.25824452587875e-07
"378",75,"11 to 20",1.07131821192041e-08
"379",75,"21 to 80",4.55924031861343e-09
"380",75,"81 or more",1.16785625614568e-09
"381",76,"0",0.999999744730788
"382",76,"1 to 10",2.45780107821503e-07
"383",76,"11 to 20",6.18350248782207e-09
"384",76,"21 to 80",2.63153121515813e-09
"385",76,"81 or more",6.74070799178139e-10
"386",77,"0",0.999999853932054
"387",77,"1 to 10",1.40638173107277e-07
"388",77,"11 to 20",3.53827012133934e-09
"389",77,"21 to 80",1.50579193558542e-09
"390",77,"81 or more",3.85710796635408e-10
"391",78,"0",0.999999917138694
"392",78,"1 to 10",7.9781108608401e-08
"393",78,"11 to 20",2.00718686116375e-09
"394",78,"21 to 80",8.54204484923571e-10
"395",78,"81 or more",2.1880564027299e-10
"396",79,"0",0.99999995339967
"397",79,"1 to 10",4.48680599340889e-08
"398",79,"11 to 20",1.12882081459986e-09
"399",79,"21 to 80",4.80395723201354e-10
"400",79,"81 or more",1.23054011424983e-10
"401",80,"0",0.999999974018358
"402",80,"1 to 10",2.50158287418145e-08
"403",80,"11 to 20",6.29365226600953e-10
"404",80,"21 to 80",2.67840638557004e-10
"405",80,"81 or more",6.8607786118946e-11
"406",81,"0",0.999999985639003
"407",81,"1 to 10",1.38271565308656e-08
"408",81,"11 to 20",3.47873063688553e-10
"409",81,"21 to 80",1.48045131709296e-10
"410",81,"81 or more",3.79221098967264e-11
"411",82,"0",0.999999992130576
"412",82,"1 to 10",7.57689455621602e-09
"413",82,"11 to 20",1.90624627194325e-10
"414",82,"21 to 80",8.1124662543175e-11
"415",82,"81 or more",2.0780266396514e-11
"416",83,"0",0.999999995724945
"417",83,"1 to 10",4.11613898521068e-09
"418",83,"11 to 20",1.03556496711121e-10
"419",83,"21 to 80",4.40709690963104e-11
"420",83,"81 or more",1.12887477143886e-11
"421",84,"0",0.9999999976976
"422",84,"1 to 10",2.21681362155834e-09
"423",84,"11 to 20",5.57720536420447e-11
"424",84,"21 to 80",2.37350139542514e-11
"425",84,"81 or more",6.07980332745228e-12
"426",85,"0",0.999999998770693
"427",85,"1 to 10",1.18361009882051e-09
"428",85,"11 to 20",2.9778179921891e-11
"429",85,"21 to 80",1.26727517368863e-11
"430",85,"81 or more",3.24607007939903e-12
"431",86,"0",0.999999999349301
"432",86,"1 to 10",6.26510843204642e-10
"433",86,"11 to 20",1.57622803698132e-11
"434",86,"21 to 80",6.7079675147852e-12
"435",86,"81 or more",1.71818115290989e-12
"436",87,"0",0.999999999658539
"437",87,"1 to 10",3.28767457702384e-10
"438",87,"11 to 20",8.27138357806234e-12
"439",87,"21 to 80",3.52007312187652e-12
"440",87,"81 or more",9.01723140600552e-13
"441",88,"0",0.99999999982236
"442",88,"1 to 10",1.71036740326258e-10
"443",88,"11 to 20",4.30300239884218e-12
"444",88,"21 to 80",1.83120185681673e-12
"445",88,"81 or more",4.69180250206591e-13
"446",89,"0",0.999999999908382
"447",89,"1 to 10",8.82125483769869e-11
"448",89,"11 to 20",2.21933582622569e-12
"449",89,"21 to 80",9.44355704746158e-13
"450",89,"81 or more",2.42028619368284e-13
"451",90,"0",0.999999999953155
"452",90,"1 to 10",4.51036985538167e-11
"453",90,"11 to 20",1.13464793116691e-12
"454",90,"21 to 80",4.82947015711943e-13
"455",90,"81 or more",1.23678844943242e-13
"456",91,"0",0.999999999976254
"457",91,"1 to 10",2.28630447907108e-11
"458",91,"11 to 20",5.75095526755831e-13
"459",91,"21 to 80",2.4491519923231e-13
"460",91,"81 or more",6.26165785888588e-14
"461",92,"0",0.999999999988067
"462",92,"1 to 10",1.14892539926359e-11
"463",92,"11 to 20",2.89102075612391e-13
"464",92,"21 to 80",1.23012711128467e-13
"465",92,"81 or more",3.15303338993544e-14
"466",93,"0",0.999999999994055
"467",93,"1 to 10",5.72408787036238e-12
"468",93,"11 to 20",1.4388490399142e-13
"469",93,"21 to 80",6.12843109593086e-14
"470",93,"81 or more",1.57651669496772e-14
"471",94,"0",0.999999999997064
"472",94,"1 to 10",2.8270719099055e-12
"473",94,"11 to 20",7.1276318180935e-14
"474",94,"21 to 80",3.01980662698043e-14
"475",94,"81 or more",7.7715611723761e-15
"476",95,"0",0.999999999998562
"477",95,"1 to 10",1.38422606710265e-12
"478",95,"11 to 20",3.48610029732299e-14
"479",95,"21 to 80",1.48769885299771e-14
"480",95,"81 or more",3.77475828372553e-15
"481",96,"0",0.999999999999302
"482",96,"1 to 10",6.71906974503145e-13
"483",96,"11 to 20",1.68753899743024e-14
"484",96,"21 to 80",7.32747196252603e-15
"485",96,"81 or more",1.77635683940025e-15
"486",97,"0",0.999999999999664
"487",97,"1 to 10",3.23518989375771e-13
"488",97,"11 to 20",7.99360577730113e-15
"489",97,"21 to 80",3.5527136788005e-15
"490",97,"81 or more",8.88178419700125e-16
"491",98,"0",0.99999999999984
"492",98,"1 to 10",1.54321000422897e-13
"493",98,"11 to 20",3.99680288865056e-15
"494",98,"21 to 80",1.55431223447522e-15
"495",98,"81 or more",4.44089209850063e-16
"496",99,"0",0.999999999999924
"497",99,"1 to 10",7.28306304154103e-14
"498",99,"11 to 20",1.99840144432528e-15
"499",99,"21 to 80",6.66133814775094e-16
"500",99,"81 or more",2.22044604925031e-16
"501",100,"0",0.999999999999964
"502",100,"1 to 10",3.41948691584548e-14
"503",100,"11 to 20",8.88178419700125e-16
"504",100,"21 to 80",4.44089209850063e-16
"505",100,"81 or more",0
"506",101,"0",0.999999999999984
"507",101,"1 to 10",1.57651669496772e-14
"508",101,"11 to 20",4.44089209850063e-16
"509",101,"21 to 80",2.22044604925031e-16
"510",101,"81 or more",0
"511",102,"0",0.999999999999992
"512",102,"1 to 10",7.32747196252603e-15
"513",102,"11 to 20",2.22044604925031e-16
"514",102,"21 to 80",0
"515",102,"81 or more",0
"516",103,"0",0.999999999999996
"517",103,"1 to 10",3.33066907387547e-15
"518",103,"11 to 20",2.22044604925031e-16
"519",103,"21 to 80",0
"520",103,"81 or more",0
"521",104,"0",0.999999999999998
"522",104,"1 to 10",1.55431223447522e-15
"523",104,"11 to 20",0
"524",104,"21 to 80",0
"525",104,"81 or more",0
"526",105,"0",0.999999999999999
"527",105,"1 to 10",6.66133814775094e-16
"528",105,"11 to 20",0
"529",105,"21 to 80",0
"530",105,"81 or more",0
"531",106,"0",1
"532",106,"1 to 10",2.22044604925031e-16
"533",106,"11 to 20",0
"534",106,"21 to 80",0
"535",106,"81 or more",0
"536",107,"0",1
"537",107,"1 to 10",2.22044604925031e-16
"538",107,"11 to 20",0
"539",107,"21 to 80",0
"540",107,"81 or more",0
"541",108,"0",1
"542",108,"1 to 10",0
"543",108,"11 to 20",0
"544",108,"21 to 80",0
"545",108,"81 or more",0
"546",109,"0",1
"547",109,"1 to 10",0
"548",109,"11 to 20",0
"549",109,"21 to 80",0
"550",109,"81 or more",0
"551",110,"0",1
"552",110,"1 to 10",0
"553",110,"11 to 20",0
"554",110,"21 to 80",0
"555",110,"81 or more",0
"556",111,"0",1
"557",111,"1 to 10",0
"558",111,"11 to 20",0
"559",111,"21 to 80",0
"560",111,"81 or more",0
"561",112,"0",1
"562",112,"1 to 10",0
"563",112,"11 to 20",0
"564",112,"21 to 80",0
"565",112,"81 or more",0
"566",113,"0",1
"567",113,"1 to 10",0
"568",113,"11 to 20",0
"569",113,"21 to 80",0
"570",113,"81 or more",0
"571",114,"0",1
"572",114,"1 to 10",0
"573",114,"11 to 20",0
"574",114,"21 to 80",0
"575",114,"81 or more",0
"576",115,"0",1
"577",115,"1 to 10",0
"578",115,"11 to 20",0
"579",115,"21 to 80",0
"580",115,"81 or more",0
"581",116,"0",1
"582",116,"1 to 10",0
"583",116,"11 to 20",0
"584",116,"21 to 80",0
"585",116,"81 or more",0
"586",117,"0",1
"587",117,"1 to 10",0
"588",117,"11 to 20",0
"589",117,"21 to 80",0
"590",117,"81 or more",0
"591",118,"0",1
"592",118,"1 to 10",0
"593",118,"11 to 20",0
"594",118,"21 to 80",0
"595",118,"81 or more",0
"596",119,"0",1
"597",119,"1 to 10",0
"598",119,"11 to 20",0
"599",119,"21 to 80",0
"600",119,"81 or more",0
"601",120,"0",1
"602",120,"1 to 10",0
"603",120,"11 to 20",0
"604",120,"21 to 80",0
"605",120,"81 or more",0
"606",121,"0",1
"607",121,"1 to 10",0
"608",121,"11 to 20",0
"609",121,"21 to 80",0
"610",121,"81 or more",0
"611",122,"0",1
"612",122,"1 to 10",0
"613",122,"11 to 20",0
"614",122,"21 to 80",0
"615",122,"81 or more",0
"616",123,"0",1
"617",123,"1 to 10",0
"618",123,"11 to 20",0
"619",123,"21 to 80",0
"620",123,"81 or more",0
"621",124,"0",1
"622",124,"1 to 10",0
"623",124,"11 to 20",0
"624",124,"21 to 80",0
"625",124,"81 or more",0
"626",125,"0",1
"627",125,"1 to 10",0
"628",125,"11 to 20",0
"629",125,"21 to 80",0
"630",125,"81 or more",0
"631",126,"0",1
"632",126,"1 to 10",0
"633",126,"11 to 20",0
"634",126,"21 to 80",0
"635",126,"81 or more",0
"636",127,"0",1
"637",127,"1 to 10",0
"638",127,"11 to 20",0
"639",127,"21 to 80",0
"640",127,"81 or more",0
"641",128,"0",1
"642",128,"1 to 10",0
"643",128,"11 to 20",0
"644",128,"21 to 80",0
"645",128,"81 or more",0
"646",129,"0",1
"647",129,"1 to 10",0
"648",129,"11 to 20",0
"649",129,"21 to 80",0
"650",129,"81 or more",0
"651",130,"0",1
"652",130,"1 to 10",0
"653",130,"11 to 20",0
"654",130,"21 to 80",0
"655",130,"81 or more",0
"656",131,"0",1
"657",131,"1 to 10",0
"658",131,"11 to 20",0
"659",131,"21 to 80",0
"660",131,"81 or more",0
"661",132,"0",1
"662",132,"1 to 10",0
"663",132,"11 to 20",0
"664",132,"21 to 80",0
"665",132,"81 or more",0
"666",133,"0",1
"667",133,"1 to 10",0
"668",133,"11 to 20",0
"669",133,"21 to 80",0
"670",133,"81 or more",0
"671",134,"0",1
"672",134,"1 to 10",0
"673",134,"11 to 20",0
"674",134,"21 to 80",0
"675",134,"81 or more",0
"676",135,"0",1
"677",135,"1 to 10",0
"678",135,"11 to 20",0
"679",135,"21 to 80",0
"680",135,"81 or more",0
"681",136,"0",1
"682",136,"1 to 10",0
"683",136,"11 to 20",0
"684",136,"21 to 80",0
"685",136,"81 or more",0
"686",137,"0",1
"687",137,"1 to 10",0
"688",137,"11 to 20",0
"689",137,"21 to 80",0
"690",137,"81 or more",0
"691",138,"0",1
"692",138,"1 to 10",0
"693",138,"11 to 20",0
"694",138,"21 to 80",0
"695",138,"81 or more",0
"696",139,"0",1
"697",139,"1 to 10",0
"698",139,"11 to 20",0
"699",139,"21 to 80",0
"700",139,"81 or more",0
"701",140,"0",1
"702",140,"1 to 10",0
"703",140,"11 to 20",0
"704",140,"21 to 80",0
"705",140,"81 or more",0
"706",141,"0",1
"707",141,"1 to 10",0
"708",141,"11 to 20",0
"709",141,"21 to 80",0
"710",141,"81 or more",0
"711",142,"0",1
"712",142,"1 to 10",0
"713",142,"11 to 20",0
"714",142,"21 to 80",0
"715",142,"81 or more",0
"716",143,"0",1
"717",143,"1 to 10",0
"718",143,"11 to 20",0
"719",143,"21 to 80",0
"720",143,"81 or more",0
"721",144,"0",1
"722",144,"1 to 10",0
"723",144,"11 to 20",0
"724",144,"21 to 80",0
"725",144,"81 or more",0
"726",145,"0",1
"727",145,"1 to 10",0
"728",145,"11 to 20",0
"729",145,"21 to 80",0
"730",145,"81 or more",0
"731",146,"0",1
"732",146,"1 to 10",0
"733",146,"11 to 20",0
"734",146,"21 to 80",0
"735",146,"81 or more",0
"736",147,"0",1
"737",147,"1 to 10",0
"738",147,"11 to 20",0
"739",147,"21 to 80",0
"740",147,"81 or more",0
"741",148,"0",1
"742",148,"1 to 10",0
"743",148,"11 to 20",0
"744",148,"21 to 80",0
"745",148,"81 or more",0
"746",149,"0",1
"747",149,"1 to 10",0
"748",149,"11 to 20",0
"749",149,"21 to 80",0
"750",149,"81 or more",0
"751",150,"0",1
"752",150,"1 to 10",0
"753",150,"11 to 20",0
"754",150,"21 to 80",0
"755",150,"81 or more",0
"756",151,"0",1
"757",151,"1 to 10",0
"758",151,"11 to 20",0
"759",151,"21 to 80",0
"760",151,"81 or more",0
"761",152,"0",1
"762",152,"1 to 10",0
"763",152,"11 to 20",0
"764",152,"21 to 80",0
"765",152,"81 or more",0
"766",153,"0",1
"767",153,"1 to 10",0
"768",153,"11 to 20",0
"769",153,"21 to 80",0
"770",153,"81 or more",0
"771",154,"0",1
"772",154,"1 to 10",0
"773",154,"11 to 20",0
"774",154,"21 to 80",0
"775",154,"81 or more",0
"776",155,"0",1
"777",155,"1 to 10",0
"778",155,"11 to 20",0
