,id,label,u_perc_change,ltu_perc_change
387,387,"rolling machine setters, operators, and tenders, metal and plastic",42.56804787191827,154.16446021665337
388,388,"machine tool cutting setters, operators, and tenders, metal and plastic",55.78621084653068,211.3239827536759
389,389,machinists,11.76996988071226,46.08014171682478
390,390,"metal furnace operators, tenders, pourers, and casters",40.16813514870092,114.86776226381514
391,391,"model makers, patternmakers, and molding machine setters, metal and plastic",48.540824954263925,172.70881008336335
392,392,"miscellaneous metal workers and plastic workers, including multiple machine tool setters",52.375791010615465,150.49872090925257
393,393,tool and die makers,38.57574541828475,153.98511277985844
394,394,"welding, soldering, and brazing workers",27.021163864948676,77.28646132287302
395,395,prepress technicians and workers,59.453768550812356,148.72082744880788
396,396,printing press operators,35.90775831664345,105.28257144229684
397,397,print binding and finishing workers,60.33240294322757,109.11309408884388
398,398,laundry and dry-cleaning workers,18.254253862456757,53.100276053180814
399,399,"pressers, textile, garment, and related materials",34.150790604036054,115.76246490827252
400,400,sewing machine operators,49.03628420804815,144.84523698190378
401,401,shoe and leather workers,-10.891294585755233,-32.31382149754772
402,402,"tailors, dressmakers, and sewers",56.25379615166271,155.47935494437468
403,403,"textile bleaching and dyeing, and cutting machine setters, operators, and tenders",63.1135761753186,107.19171996139283
404,404,"textile knitting and weaving machine setters, operators, and tenders",24.88252125451213,74.87410723672443
405,405,"textile winding, twisting, and drawing out machine setters, operators, and tenders",63.42634477555192,95.7883673052688
406,406,"miscellaneous textile, apparel, and furnishings workers except upholsterers",-2.783704633528867,-9.72941660556126
407,407,upholsterers,-0.45130232572906875,0.11837177174704583
408,408,cabinetmakers and bench carpenters,63.92675501395385,169.57991567008403
409,409,furniture finishers,44.24671015120914,89.11474745529053
410,410,"miscellaneous woodworkers, including model makers and patternmakers",49.3469375028001,89.14627198707002
411,411,"sawing machine setters, operators, and tenders, wood",45.72233555604166,140.054690674924
412,412,"woodworking machine setters, operators, and tenders, except sawing",84.70738097432468,235.29399716511864
413,413,"power plant operators, distributors, and dispatchers",17.49311547709661,53.31325577951219
414,414,stationary engineers and boiler operators,32.53274874669282,67.62081973479626
415,415,water and wastewater treatment plant and system operators,4.26860493501437,21.068298540453583
416,416,miscellaneous plant and system operators,27.30157519556847,86.19557416681323
417,417,"chemical processing machine setters, operators, and tenders",25.613129758002447,70.0672952962027
418,418,"crushing, grinding, polishing, mixing, and blending workers",55.80477628297575,152.51746210250246
