,id,label,u_perc_change,ltu_perc_change
434,434,helpers--production workers,0.08278184166850917,-3.900962978836207
435,435,supervisors of transportation and material moving workers,-2.977568803056304,-7.815449875254372
436,436,aircraft pilots and flight engineers,-2.655310430028064,-7.112453937021604
437,437,air traffic controllers and airfield operations specialists,-2.564762812742437,-6.914927317091556
438,438,flight attendants,-2.6839968650958745,-7.175032442416684
439,439,"ambulance drivers and attendants, except emergency medical technicians",-2.8584569737307595,-7.555611375405603
440,440,bus drivers,7.988541059350161,3.1982616173531495
441,441,driver/sales workers and truck drivers,11.548001347968052,6.411059021988784
442,442,taxi drivers and chauffeurs,19.10702397336317,13.259316609955276
443,443,locomotive engineers and operators,25.06969060848788,18.681175382247456
444,444,"subway, streetcar, and other rail transportation workers",14.038358032831491,8.663810630556302
445,445,railroad conductors and yardmasters,12.51866085228503,7.2886854716345395
446,446,"sailors and marine oilers, and ship engineers",-2.5102368939251805,-6.79598083605282
447,447,ship and boat captains and operators,-2.4892859250478336,-6.750276993249862
448,448,"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",25.06969060848785,18.681175382247343
449,449,parking lot attendants,16.755387404567497,11.125617511129658
450,450,automotive and watercraft service attendants   ,12.51866085228496,7.288685471634513
451,451,transportation inspectors,20.348722809777268,14.387102778959159
452,452,"transportation attendants, except flight attendants",5.634082315678537,1.0785149992148382
453,453,"conveyor operators and tenders, and hoist and winch operators",8.832939975992762,3.9596427923475064
454,454,crane and tower operators,20.34872280977734,14.38710277895922
455,455,"dredge, excavating, and loading machine operators",8.548208831470681,3.7028414642083423
456,456,industrial truck and tractor operators,24.356809967189832,18.032125908283238
457,457,cleaners of vehicles and equipment,-2.645587636823663,-7.091243986550034
458,458,"laborers and freight, stock, and material movers, hand",14.56345734992757,9.139313424711062
459,459,machine feeders and offbearers,24.35680996718969,18.032125908282946
460,460,"packers and packagers, hand",-2.625894954040875,-7.048285053073384
461,461,pumping station operators,18.30436863850121,12.53073427511262
462,462,refuse and recyclable material collectors,24.35680996718985,18.032125908283053
463,463,"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",-2.2449679776745843,-6.217305505102652
