"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"69","2001-09-01",0.2777589717385,0.0131230996451435,0.0248368901800882,0,0,0,0,0.0477549376051733,99093973.2733986,4969546.91350001,104063520.186898,54030409.4301004,2461186.1317,0,1300420.0855,1380336.2407,0,0,0,0.0236508060392317,0.0124964068404033,0,0.0132643623646492,0,0,0
"70","2001-10-01",0.283044059045777,0.016433240175183,0.0249375675837164,0,0,0,0,0.0501758884742688,98721464.7753992,5215109.98350001,103936574.758899,53677217.8821,2461873.1998,0,1622313.5411,1476105.8981,0,0,0,0.0236863029738164,0.0156086877488822,0,0.0142019871399853,0,0,0
"71","2001-11-01",0.232132812705702,0.0122402888425574,0.0191925716459828,0,0,0,0,0.0544871516161594,98719082.682001,5688893.21249999,104407975.894501,54556022.9242994,1894673.0672,0,1208350.0863,1320578.7826,0,0,0,0.0181468230848041,0.0115733503685674,0,0.0126482557609811,0,0,0
"72","2001-12-01",0.216380710912044,0.0196558972471926,0.0236125526359258,1,1,0,0,0.0544249749772475,98100724.416201,5646436.6447,103747161.060901,54537311.8886007,2316408.5189,98100724.416201,1928257.759,1221779.9753,5646436.6447,0,0,0.0223274400495666,0.0185861255313588,0.945575025022752,0.011776514776947,0.0544249749772475,0,0
"73","2002-01-01",0.295540803544838,0.0153142286209591,0.0252829857227257,1,1,0,0,0.0641113742177095,96382553.2602998,6602514.19869999,102985067.459,54864879.8509004,2436838.718,96382553.2602998,1476024.4557,1951312.3517,6602514.19869999,0,0,0.023662058763715,0.0143324123789853,0.935888625782291,0.0189475270526657,0.0641113742177095,0,0
"74","2002-02-01",0.247412087875772,0.0122655957600955,0.0229153726041584,0,0,0,0,0.0613326528472806,97442568.3086992,6366910.74079998,103809479.049499,54080371.5106,2232932.7603,0,1195191.1527,1575250.6797,0,0,0,0.0215099120113614,0.0115133142333765,0,0.0151744396959056,0,0,0
"75","2002-03-01",0.248078234536332,0.0124830914875092,0.0207455980062531,0,0,0,0,0.0608821971664357,98111380.7125012,6360476.1903,104471856.902801,54881666.1214999,2035379.2641,0,1224733.3414,1577895.7041,0,0,0,0.0194825604181007,0.01172309345032,0,0.0151035479877422,0,0,0
"76","2002-04-01",0.272351464714758,0.0127661260727675,0.0255573165191483,1,1,0,0,0.0574872563637404,97761437.7208986,5962823.1774,103724260.898299,54315371.4944995,2498520.0072,97761437.7208986,1248034.839,1623983.6262,5962823.1774,0,0,0.0240880965124427,0.0120322365104505,0.942512743636258,0.0156567384730975,0.0574872563637404,0,0
"77","2002-05-01",0.236104662719914,0.0147433111640585,0.0269444155836339,1,1,0,0,0.0561582993643246,98626224.6940001,5868230.92029999,104494455.6143,54292636.0128002,2657425.9856,98626224.6940001,1454077.1196,1385516.6822,5868230.92029999,0,0,0.0254312630270914,0.013915351882086,0.943841700635676,0.0132592363303378,0.0561582993643246,0,0
"78","2002-06-01",0.236907967328903,0.0139502955021237,0.0268012758958728,1,1,0,0,0.0595937993152579,99050982.3530006,6276887.96609999,105327870.319101,53388536.8426005,2654692.7058,99050982.3530006,1381790.4736,1487044.7692,6276887.96609999,0,0,0.0252040860387413,0.0131189443915816,0.940406200684741,0.0141182458611843,0.0595937993152579,0,0
"79","2002-07-01",0.281977908243552,0.0150579976858976,0.0269986418549223,0,0,0,0,0.0595780856957971,98342934.1397013,6230271.4012,104573205.540901,53187814.3808998,2655125.6578,0,1480847.6747,1756798.8975,0,0,0,0.0253901144568197,0.0141608710093601,0,0.0167997039816559,0,0,0
"80","2002-08-01",0.284085052266244,0.0120310166449244,0.0268146160838472,0,0,0,0,0.0575516808904079,99169389.6711004,6055891.82209999,105225281.4932,54485717.0024,2659189.1113,0,1193108.5778,1720388.3448,0,0,0,0.0252713898557909,0.0113386114141885,0,0.0163495722737618,0,0,0
"81","2002-09-01",0.248989813992623,0.0132609560508438,0.0241301409343765,0,0,0,0,0.0535172396964846,99508023.8665021,5626510.05209999,105134533.918602,54955630.2059002,2401142.64,0,1319571.5312,1400943.6913,0,0,0,0.0228387623980816,0.0125512662872663,0,0.0133252475574263,0,0,0
"82","2002-10-01",0.239560151310392,0.0155622836424284,0.0234791977769098,0,0,0,0,0.0528241011516775,99649805.0628006,5557480.283,105207285.345801,54759261.0797997,2339697.4815,0,1550778.5313,1331350.8175,0,0,0,0.0222389302585819,0.0147402199971496,0,0.0126545496647313,0,0,0
"83","2002-11-01",0.196350127364364,0.0121958779202814,0.0170938956136156,1,1,0,0,0.055358531025123,100012200.316601,5860983.9563,105873184.272902,55860127.9789995,1709598.1123,100012200.316601,1219736.5856,1150804.9463,5860983.9563,0,0,0.016147602662949,0.0115207320340528,0.944641468974872,0.010869654617487,0.055358531025123,0,0
"84","2002-12-01",0.214508051866432,0.0185740049276493,0.0244340305078255,0,0,0,0,0.0550910514022753,98800798.6618021,5760385.5755,104561184.237302,55393852.4484996,2414101.7287,0,1835126.5212,1235649.0878,0,0,0,0.0230879340771541,0.017550743467434,0,0.0118174741115755,0,0,0
"85","2003-01-01",0.217574647492989,0.0130036470330054,0.0211558345175401,0,0,0,0,0.0636608112406028,98074233.4025997,6667973.88720001,104742207.289799,56568071.6799001,2074842.2523,0,1275322.7142,1450782.068,0,0,0,0.0198090369296816,0.0121758243137979,0,0.0138509785647919,0,0,0
"86","2003-02-01",0.217113122964347,0.0126376989081724,0.0214660902101095,0,0,0,0,0.0644551843415356,97801259.3654001,6738103.9323,104539363.2977,55614481.6291,2099410.6562,0,1235982.8687,1462930.7876,0,0,0,0.020082489408525,0.0118231336953933,0,0.0139940663636335,0,0,0
