Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.13931819416848598,False,False,False,False,2025-11-18 12:40:55,nonbehav
gamma_u,0.7762587802793293,False,False,False,False,2025-11-18 12:40:55,nonbehav
d_u,0.12034174994140213,True,False,False,False,2025-11-18 17:45:32,otj_nonbehav
gamma_u,0.7436139644632145,True,False,False,False,2025-11-18 17:45:32,otj_nonbehav
d_u,0.031328607567473576,True,False,False,True,2025-11-19 16:13:42,otj_disc
gamma_u,0.01603464013735375,True,False,False,True,2025-11-19 16:13:42,otj_disc
d_u,0.12284954714872685,True,False,False,True,2025-11-19 22:09:44,otj_disc_no_rw
gamma_u,0.5356136657456816,True,False,False,True,2025-11-19 22:09:44,otj_disc_no_rw
