"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"1670","25-2012","Kindergarten Teachers, Except Special Education",NA,162560,1.6,2002
"1671","25-2021","Elementary School Teachers, Except Special Education",NA,1443160,1.2,2002
"1672","25-2022","Middle School Teachers, Except Special and Vocational Education",NA,582620,1.6,2002
"1673","25-2023","Vocational Education Teachers, Middle School",NA,17730,6.5,2002
"1674","25-2031","Secondary School Teachers, Except Special and Vocational Education",NA,984600,1.4,2002
"1675","25-2032","Vocational Education Teachers, Secondary School",NA,106920,2.7,2002
"1676","25-2041","Special Education Teachers, Preschool, Kindergarten, and Elementary School",NA,211530,1.5,2002
"1677","25-2042","Special Education Teachers, Middle School",NA,89350,1.8,2002
"1678","25-2043","Special Education Teachers, Secondary School",NA,134870,4.5,2002
"1679","25-3011","Adult Literacy, Remedial Education, and Ged Teachers and Instructors",NA,61440,2.8,2002
"1680","25-3021","Self-Enrichment Education Teachers",NA,136780,2,2002
"1681","25-4010","Archivists, Curators, and Museum Technicians",NA,20100,2.3,2002
"1682","25-4021","Librarians",NA,156920,3.9,2002
"1683","25-4031","Library Technicians",NA,111240,4.8,2002
"1684","25-9011","Audio-Visual Collections Specialists",NA,9040,10.3,2002
"1685","25-9021","Farm and Home Management Advisors",NA,12760,5.5,2002
"1686","25-9031","Instructional Coordinators",NA,90350,2.1,2002
"1687","25-9041","Teacher Assistants",NA,1227220,1,2002
"1688","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1503680,1.2,2002
"1689","27-1011","Art Directors",NA,23200,3.8,2002
"1690","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",NA,10280,4.3,2002
"1691","27-1014","Multi-Media Artists and Animators",NA,34150,7.6,2002
"1692","27-1021","Commercial and Industrial Designers",NA,35270,5.4,2002
"1693","27-1022","Fashion Designers",NA,10310,7.1,2002
"1694","27-1023","Floral Designers",NA,66480,2.5,2002
"1695","27-1024","Graphic Designers",NA,141830,1.5,2002
"1696","27-1025","Interior Designers",NA,40670,5.1,2002
"1697","27-1026","Merchandise Displayers and Window Trimmers",NA,53350,3.5,2002
"1698","27-1027","Set and Exhibit Designers",NA,8280,7.3,2002
"1699","27-2011","Actors",NA,52560,12.5,2002
"1700","27-2012","Producers and Directors",NA,50780,3.4,2002
"1701","27-2021","Athletes and Sports Competitors",NA,10400,6.6,2002
"1702","27-2022","Coaches and Scouts",NA,87720,2.1,2002
"1703","27-2023","Umpires, Referees, and Other Sports Officials",NA,9190,7.7,2002
"1704","27-2031","Dancers",NA,16580,12,2002
"1705","27-2032","Choreographers",NA,15320,4.8,2002
"1706","27-2041","Music Directors and Composers",NA,8980,11.7,2002
"1707","27-2042","Musicians and Singers",NA,53940,4.6,2002
"1708","27-3010","Announcers",NA,49790,2.1,2002
"1709","27-3020","News Analysts, Reporters and Correspondents",NA,61100,2.4,2002
"1710","27-3031","Public Relations Specialists",NA,136360,1.4,2002
"1711","27-3041","Editors",NA,106520,2.3,2002
"1712","27-3042","Technical Writers",NA,44780,1.9,2002
"1713","27-3043","Writers and Authors",NA,41990,4.1,2002
"1714","27-3091","Interpreters and Translators",NA,18600,3.3,2002
"1715","27-4011","Audio and Video Equipment Technicians",NA,35770,4.4,2002
"1716","27-4012","Broadcast Technicians",NA,31520,4,2002
"1717","27-4013","Radio Operators",NA,2510,6.2,2002
"1718","27-4014","Sound Engineering Technicians",NA,11110,7.5,2002
"1719","27-4021","Photographers",NA,63140,2.6,2002
"1720","27-4031","Camera Operators, Television, Video, and Motion Picture",NA,21370,6.5,2002
"1721","27-4032","Film and Video Editors",NA,15180,9.3,2002
"1722","29-0000","Healthcare Practitioner and Technical Occupations","major",6185020,0.4,2002
"1723","29-1011","Chiropractors",NA,20630,4.9,2002
"1724","29-1020","Dentists",NA,92460,4.2,2002
"1725","29-1031","Dietitians and Nutritionists",NA,45150,2,2002
"1726","29-1041","Optometrists",NA,23040,4.6,2002
"1727","29-1051","Pharmacists",NA,219390,1.2,2002
"1728","29-1061","Anesthesiologists",NA,24780,12,2002
"1729","29-1062","Family and General Practitioners",NA,115020,3.6,2002
"1730","29-1063","Internists, General",NA,50380,4.6,2002
"1731","29-1064","Obstetricians and Gynecologists",NA,19970,8.3,2002
"1732","29-1065","Pediatricians, General",NA,27320,9.3,2002
"1733","29-1066","Psychiatrists",NA,19750,4,2002
"1734","29-1067","Surgeons",NA,51580,4.9,2002
"1735","29-1071","Physician Assistants",NA,61910,5.1,2002
"1736","29-1081","Podiatrists",NA,7490,8.7,2002
"1737","29-1111","Registered Nurses",NA,2239530,0.6,2002
"1738","29-1121","Audiologists",NA,10180,5.1,2002
"1739","29-1122","Occupational Therapists",NA,78580,1.5,2002
"1740","29-1123","Physical Therapists",NA,130290,1.3,2002
"1741","29-1124","Radiation Therapists",NA,13510,6.8,2002
"1742","29-1125","Recreational Therapists",NA,26130,1.6,2002
"1743","29-1126","Respiratory Therapists",NA,85350,1.2,2002
"1744","29-1127","Speech-Language Pathologists",NA,87030,1.5,2002
"1745","29-1131","Veterinarians",NA,42900,2,2002
"1746","29-2011","Medical and Clinical Laboratory Technologists",NA,146480,1.2,2002
"1747","29-2012","Medical and Clinical Laboratory Technicians",NA,144120,2,2002
"1748","29-2021","Dental Hygienists",NA,148530,3,2002
"1749","29-2031","Cardiovascular Technologists and Technicians",NA,42870,1.7,2002
"1750","29-2032","Diagnostic Medical Sonographers",NA,36530,4.1,2002
"1751","29-2033","Nuclear Medicine Technologists",NA,17090,3.4,2002
"1752","29-2034","Radiologic Technologists and Technicians",NA,173540,1.3,2002
"1753","29-2041","Emergency Medical Technicians and Paramedics",NA,178700,1.6,2002
"1754","29-2051","Dietetic Technicians",NA,28910,3.2,2002
"1755","29-2052","Pharmacy Technicians",NA,207380,1.5,2002
"1756","29-2053","Psychiatric Technicians",NA,58600,3.4,2002
"1757","29-2054","Respiratory Therapy Technicians",NA,26220,1.9,2002
"1758","29-2055","Surgical Technologists",NA,72040,4.3,2002
"1759","29-2056","Veterinary Technologists and Technicians",NA,54040,2.1,2002
"1760","29-2061","Licensed Practical and Licensed Vocational Nurses",NA,692290,0.7,2002
"1761","29-2071","Medical Records and Health Information Technicians",NA,145270,1.3,2002
"1762","29-2081","Opticians, Dispensing",NA,61790,3.8,2002
"1763","29-2091","Orthotists and Prosthetists",NA,4480,7,2002
"1764","29-9010","Occupational Health and Safety Specialists and Technicians",NA,39060,2,2002
"1765","29-9091","Athletic Trainers",NA,13500,11.6,2002
"1766","31-0000","Healthcare Support Occupations","major",3173400,0.5,2002
"1767","31-1011","Home Health Aides",NA,569670,1.3,2002
"1768","31-1012","Nursing Aides, Orderlies, and Attendants",NA,1329310,0.5,2002
"1769","31-1013","Psychiatric Aides",NA,56260,3.2,2002
"1770","31-2011","Occupational Therapist Assistants",NA,17970,2.1,2002
"1771","31-2012","Occupational Therapist Aides",NA,8040,5.2,2002
"1772","31-2021","Physical Therapist Assistants",NA,50430,1.8,2002
"1773","31-2022","Physical Therapist Aides",NA,37330,2,2002
"1774","31-9011","Massage Therapists",NA,27160,3.8,2002
"1775","31-9091","Dental Assistants",NA,268220,2.2,2002
"1776","31-9092","Medical Assistants",NA,361960,2,2002
"1777","31-9093","Medical Equipment Preparers",NA,35490,2.9,2002
"1778","31-9094","Medical Transcriptionists",NA,99160,1.6,2002
"1779","31-9095","Pharmacy Aides",NA,58020,2.3,2002
"1780","31-9096","Veterinary Assistants and Laboratory Animal Caretakers",NA,62740,2.4,2002
"1781","33-0000","Protective Service Occupations","major",2993490,0.6,2002
"1782","33-1011","First-Line Supervisors/Managers of Correctional Officers",NA,31210,1.2,2002
"1783","33-1012","First-Line Supervisors/Managers of Police and Detectives",NA,109530,1.4,2002
"1784","33-1021","First-Line Supervisors/Managers of Fire Fighting and Prevention Workers",NA,60900,2.4,2002
"1785","33-2011","Fire Fighters",NA,273850,1.9,2002
"1786","33-2021","Fire Inspectors and Investigators",NA,12140,3,2002
"1787","33-2022","Forest Fire Inspectors and Prevention Specialists",NA,1450,13.9,2002
"1788","33-3011","Bailiffs",NA,14390,2.6,2002
"1789","33-3012","Correctional Officers and Jailers",NA,400190,1.1,2002
"1790","33-3021","Detectives and Criminal Investigators",NA,88460,1.5,2002
"1791","33-3031","Fish and Game Wardens",NA,7080,0.8,2002
"1792","33-3041","Parking Enforcement Workers",NA,10180,4.7,2002
"1793","33-3051","Police and Sheriff's Patrol Officers",NA,597650,1.4,2002
"1794","33-3052","Transit and Railroad Police",NA,6010,6.1,2002
"1795","33-9011","Animal Control Workers",NA,10420,2.6,2002
"1796","33-9021","Private Detectives and Investigators",NA,31170,4,2002
"1797","33-9031","Gaming Surveillance Officers and Gaming Investigators",NA,8760,5,2002
"1798","33-9032","Security Guards",NA,977650,0.8,2002
"1799","33-9091","Crossing Guards",NA,73020,2.8,2002
"1800","35-0000","Food Preparation and Serving Related Occupations","major",10067080,0.3,2002
"1801","35-1011","Chefs and Head Cooks",NA,120430,3,2002
"1802","35-1012","First-Line Supervisors/Managers of Food Preparation and Serving Workers",NA,661050,1,2002
"1803","35-2011","Cooks, Fast Food",NA,582630,2.1,2002
"1804","35-2012","Cooks, Institution and Cafeteria",NA,416710,0.8,2002
"1805","35-2014","Cooks, Restaurant",NA,715520,1.6,2002
"1806","35-2015","Cooks, Short Order",NA,223030,4.4,2002
"1807","35-2021","Food Preparation Workers",NA,836540,1.4,2002
"1808","35-3011","Bartenders",NA,453390,1.6,2002
"1809","35-3021","Combined Food Preparation and Serving Workers, Including Fast Food",NA,2000070,1.3,2002
"1810","35-3022","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",NA,466270,4.1,2002
"1811","35-3031","Waiters and Waitresses",NA,2086120,0.8,2002
"1812","35-3041","Food Servers, Nonrestaurant",NA,193980,2.5,2002
"1813","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers",NA,404210,1.5,2002
"1814","35-9021","Dishwashers",NA,499070,1.4,2002
"1815","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",NA,295170,1.5,2002
"1816","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",4262880,0.3,2002
"1817","37-1011","First-Line Supervisors/Managers of Housekeeping and Janitorial Workers",NA,204710,1.2,2002
"1818","37-1012","First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",NA,95600,1.9,2002
"1819","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",NA,2052090,0.5,2002
"1820","37-2012","Maids and Housekeeping Cleaners",NA,912340,0.9,2002
"1821","37-2021","Pest Control Workers",NA,57370,1.8,2002
"1822","37-3011","Landscaping and Groundskeeping Workers",NA,792170,0.8,2002
"1823","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation",NA,22000,3.3,2002
"1824","37-3013","Tree Trimmers and Pruners",NA,43530,6.7,2002
"1825","39-0000","Personal Care and Service Occupations","major",2919280,0.6,2002
"1826","39-1011","Gaming Supervisors",NA,25610,2.4,2002
"1827","39-1012","Slot Key Persons",NA,14380,4.4,2002
"1828","39-1021","First-Line Supervisors/Managers of Personal Service Workers",NA,106680,1.7,2002
"1829","39-2011","Animal Trainers",NA,6780,6.7,2002
"1830","39-2021","Nonfarm Animal Caretakers",NA,86700,2,2002
"1831","39-3011","Gaming Dealers",NA,75690,2,2002
"1832","39-3012","Gaming and Sports Book Writers and Runners",NA,13820,6,2002
"1833","39-3021","Motion Picture Projectionists",NA,9600,10.3,2002
"1834","39-3031","Ushers, Lobby Attendants, and Ticket Takers",NA,106050,3.5,2002
"1835","39-3091","Amusement and Recreation Attendants",NA,225100,3.4,2002
"1836","39-3092","Costume Attendants",NA,3660,6.5,2002
"1837","39-3093","Locker Room, Coatroom, and Dressing Room Attendants",NA,21660,2,2002
"1838","39-4011","Embalmers",NA,6790,4.6,2002
"1839","39-4021","Funeral Attendants",NA,25950,2.7,2002
"1840","39-5011","Barbers",NA,18350,5.4,2002
"1841","39-5012","Hairdressers, Hairstylists, and Cosmetologists",NA,330730,1.2,2002
"1842","39-5091","Makeup Artists, Theatrical and Performance",NA,830,11.5,2002
"1843","39-5092","Manicurists and Pedicurists",NA,31350,7.7,2002
"1844","39-5093","Shampooers",NA,15410,6.3,2002
"1845","39-5094","Skin Care Specialists",NA,15580,4.3,2002
"1846","39-6011","Baggage Porters and Bellhops",NA,57650,4.7,2002
"1847","39-6012","Concierges",NA,16770,5.2,2002
"1848","39-6021","Tour Guides and Escorts",NA,28480,3.6,2002
"1849","39-6022","Travel Guides",NA,4960,12.4,2002
"1850","39-6031","Flight Attendants",NA,104360,5.5,2002
"1851","39-6032","Transportation Attendants, Except Flight Attendants and Baggage Porters",NA,26580,5.4,2002
"1852","39-9011","Child Care Workers",NA,456260,1.3,2002
"1853","39-9021","Personal and Home Care Aides",NA,451040,1.6,2002
"1854","39-9031","Fitness Trainers and Aerobics Instructors",NA,169920,2.2,2002
"1855","39-9032","Recreation Workers",NA,267930,1.7,2002
"1856","39-9041","Residential Advisors",NA,48530,3.1,2002
"1857","41-0000","Sales and Related Occupations","major",13339570,0.2,2002
"1858","41-1011","First-Line Supervisors/Managers of Retail Sales Workers",NA,1197190,0.4,2002
"1859","41-1012","First-Line Supervisors/Managers of Non-Retail Sales Workers",NA,325450,1,2002
"1860","41-2011","Cashiers",NA,3375510,0.5,2002
"1861","41-2012","Gaming Change Persons and Booth Cashiers",NA,32930,3.1,2002
"1862","41-2021","Counter and Rental Clerks",NA,425380,1.4,2002
"1863","41-2022","Parts Salespersons",NA,243170,1.2,2002
"1864","41-2031","Retail Salespersons",NA,3894760,0.4,2002
"1865","41-3011","Advertising Sales Agents",NA,141360,1.5,2002
"1866","41-3021","Insurance Sales Agents",NA,274830,2.1,2002
"1867","41-3031","Securities, Commodities, and Financial Services Sales Agents",NA,254600,2.3,2002
"1868","41-3041","Travel Agents",NA,104550,1.8,2002
"1869","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",NA,371580,1.5,2002
"1870","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NA,1375380,0.8,2002
"1871","41-9011","Demonstrators and Product Promoters",NA,101420,3,2002
"1872","41-9012","Models",NA,2260,10.5,2002
"1873","41-9021","Real Estate Brokers",NA,40810,5.9,2002
"1874","41-9022","Real Estate Sales Agents",NA,125960,3.2,2002
"1875","41-9031","Sales Engineers",NA,79300,3,2002
"1876","41-9041","Telemarketers",NA,419740,1.8,2002
"1877","41-9091","Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",NA,25780,4.3,2002
"1878","43-0000","Office and Administrative Support Occupations","major",22754570,0.2,2002
"1879","43-1011","First-Line Supervisors/Managers of Office and Administrative Support Workers",NA,1400240,0.5,2002
"1880","43-2011","Switchboard Operators, Including Answering Service",NA,226890,1.1,2002
"1881","43-2021","Telephone Operators",NA,46420,5.3,2002
"1882","43-3011","Bill and Account Collectors",NA,407280,1.5,2002
"1883","43-3021","Billing and Posting Clerks and Machine Operators",NA,491000,0.9,2002
"1884","43-3031","Bookkeeping, Accounting, and Auditing Clerks",NA,1728730,0.5,2002
"1885","43-3041","Gaming Cage Workers",NA,18320,3.9,2002
"1886","43-3051","Payroll and Timekeeping Clerks",NA,191500,1,2002
"1887","43-3061","Procurement Clerks",NA,73570,1.1,2002
"1888","43-3071","Tellers",NA,526750,1.1,2002
"1889","43-4011","Brokerage Clerks",NA,75480,3.6,2002
"1890","43-4021","Correspondence Clerks",NA,32160,3.7,2002
"1891","43-4031","Court, Municipal, and License Clerks",NA,99010,2,2002
"1892","43-4041","Credit Authorizers, Checkers, and Clerks",NA,79400,2.4,2002
"1893","43-4051","Customer Service Representatives",NA,1854750,0.7,2002
"1894","43-4061","Eligibility Interviewers, Government Programs",NA,89400,3,2002
"1895","43-4071","File Clerks",NA,258680,1.7,2002
"1896","43-4081","Hotel, Motel, and Resort Desk Clerks",NA,176140,1.2,2002
"1897","43-4111","Interviewers, Except Eligibility and Loan",NA,190390,2.4,2002
"1898","43-4121","Library Assistants, Clerical",NA,113760,2.8,2002
"1899","43-4131","Loan Interviewers and Clerks",NA,163660,1.7,2002
"1900","43-4141","New Accounts Clerks",NA,97770,2.3,2002
"1901","43-4151","Order Clerks",NA,327120,1.3,2002
"1902","43-4161","Human Resources Assistants, Except Payroll and Timekeeping",NA,167480,0.7,2002
"1903","43-4171","Receptionists and Information Clerks",NA,1063020,0.9,2002
"1904","43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",NA,174170,3.7,2002
"1905","43-5011","Cargo and Freight Agents",NA,59440,3.1,2002
"1906","43-5021","Couriers and Messengers",NA,120900,2.1,2002
"1907","43-5031","Police, Fire, and Ambulance Dispatchers",NA,89280,1.9,2002
"1908","43-5032","Dispatchers, Except Police, Fire, and Ambulance",NA,168380,1.7,2002
"1909","43-5041","Meter Readers, Utilities",NA,52510,2.4,2002
"1910","43-5051","Postal Service Clerks",NA,79760,0,2002
"1911","43-5052","Postal Service Mail Carriers",NA,347420,0,2002
"1912","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",NA,262440,0,2002
"1913","43-5061","Production, Planning, and Expediting Clerks",NA,279640,1,2002
"1914","43-5071","Shipping, Receiving, and Traffic Clerks",NA,792470,0.6,2002
"1915","43-5081","Stock Clerks and Order Fillers",NA,1608230,0.6,2002
"1916","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA,77050,1.9,2002
"1917","43-6011","Executive Secretaries and Administrative Assistants",NA,1407950,0.8,2002
"1918","43-6012","Legal Secretaries",NA,259010,2.9,2002
"1919","43-6013","Medical Secretaries",NA,336200,2.6,2002
"1920","43-6014","Secretaries, Except Legal, Medical, and Executive",NA,1796480,0.7,2002
"1921","43-9011","Computer Operators",NA,172640,1.2,2002
"1922","43-9021","Data Entry Keyers",NA,376970,1.2,2002
"1923","43-9022","Word Processors and Typists",NA,209200,1.8,2002
"1924","43-9031","Desktop Publishers",NA,34280,3.6,2002
"1925","43-9041","Insurance Claims and Policy Processing Clerks",NA,252590,2,2002
"1926","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service",NA,161850,1.5,2002
"1927","43-9061","Office Clerks, General",NA,2857300,0.7,2002
"1928","43-9071","Office Machine Operators, Except Computer",NA,93340,2.3,2002
"1929","43-9081","Proofreaders and Copy Markers",NA,25310,4.4,2002
"1930","43-9111","Statistical Assistants",NA,22330,3.9,2002
"1931","45-0000","Farming, Fishing, and Forestry Occupations","major",451140,1.7,2002
"1932","45-1011","First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",NA,20910,3.4,2002
"1933","45-1012","Farm Labor Contractors",NA,5830,14.3,2002
"1934","45-2011","Agricultural Inspectors",NA,13760,7.8,2002
"1935","45-2021","Animal Breeders",NA,1590,8.5,2002
"1936","45-2041","Graders and Sorters, Agricultural Products",NA,54500,3.4,2002
"1937","45-2091","Agricultural Equipment Operators",NA,21830,6.2,2002
"1938","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",NA,218020,3.2,2002
"1939","45-2093","Farmworkers, Farm and Ranch Animals",NA,38260,3.8,2002
"1940","45-4011","Forest and Conservation Workers",NA,9140,3.2,2002
"1941","45-4021","Fallers",NA,10180,7.7,2002
"1942","45-4022","Logging Equipment Operators",NA,29060,3.4,2002
"1943","45-4023","Log Graders and Scalers",NA,4730,6,2002
"1944","47-0000","Construction and Extraction Occupations","major",6124600,0.3,2002
"1945","47-1011","First-Line Supervisors/Managers of Construction Trades and Extraction Workers",NA,508620,0.8,2002
"1946","47-2011","Boilermakers",NA,24560,5.2,2002
"1947","47-2021","Brickmasons and Blockmasons",NA,109900,2.2,2002
"1948","47-2022","Stonemasons",NA,12870,7.7,2002
"1949","47-2031","Carpenters",NA,856750,0.9,2002
"1950","47-2041","Carpet Installers",NA,38320,4.6,2002
"1951","47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles",NA,14840,10.7,2002
"1952","47-2043","Floor Sanders and Finishers",NA,7740,8.9,2002
"1953","47-2044","Tile and Marble Setters",NA,33550,4.8,2002
"1954","47-2051","Cement Masons and Concrete Finishers",NA,177930,2.2,2002
"1955","47-2053","Terrazzo Workers and Finishers",NA,6130,12.1,2002
"1956","47-2061","Construction Laborers",NA,830860,1,2002
"1957","47-2071","Paving, Surfacing, and Tamping Equipment Operators",NA,58760,2.6,2002
"1958","47-2072","Pile-Driver Operators",NA,4670,7.4,2002
"1959","47-2073","Operating Engineers and Other Construction Equipment Operators",NA,343710,1.2,2002
"1960","47-2081","Drywall and Ceiling Tile Installers",NA,111600,2.6,2002
"1961","47-2082","Tapers",NA,33320,3.2,2002
"1962","47-2111","Electricians",NA,593010,1.3,2002
"1963","47-2121","Glaziers",NA,46950,4.3,2002
"1964","47-2130","Insulation Workers",NA,51740,4,2002
"1965","47-2141","Painters, Construction and Maintenance",NA,257140,1.1,2002
"1966","47-2142","Paperhangers",NA,9450,6.6,2002
"1967","47-2151","Pipelayers",NA,52380,2.6,2002
"1968","47-2152","Plumbers, Pipefitters, and Steamfitters",NA,438560,1.4,2002
"1969","47-2161","Plasterers and Stucco Masons",NA,54290,5.3,2002
"1970","47-2171","Reinforcing Iron and Rebar Workers",NA,29540,4.5,2002
"1971","47-2181","Roofers",NA,117140,1.8,2002
"1972","47-2211","Sheet Metal Workers",NA,197110,1.8,2002
"1973","47-2221","Structural Iron and Steel Workers",NA,74700,2.6,2002
"1974","47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",NA,60740,2.7,2002
"1975","47-3012","Helpers--Carpenters",NA,97900,2.9,2002
"1976","47-3013","Helpers--Electricians",NA,97690,4,2002
"1977","47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",NA,31320,6.9,2002
"1978","47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA,78570,3.1,2002
"1979","47-3016","Helpers--Roofers",NA,21940,3.3,2002
"1980","47-4011","Construction and Building Inspectors",NA,75190,1.9,2002
"1981","47-4021","Elevator Installers and Repairers",NA,20920,5.4,2002
"1982","47-4031","Fence Erectors",NA,21730,11.6,2002
"1983","47-4041","Hazardous Materials Removal Workers",NA,37350,4.1,2002
"1984","47-4051","Highway Maintenance Workers",NA,146290,1.6,2002
"1985","47-4061","Rail-Track Laying and Maintenance Equipment Operators",NA,10450,6,2002
"1986","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners",NA,15530,6.2,2002
"1987","47-4091","Segmental Pavers",NA,2100,10.2,2002
"1988","47-5011","Derrick Operators, Oil and Gas",NA,14120,7.8,2002
"1989","47-5012","Rotary Drill Operators, Oil and Gas",NA,13110,6,2002
"1990","47-5013","Service Unit Operators, Oil, Gas, and Mining",NA,12310,6.1,2002
"1991","47-5021","Earth Drillers, Except Oil and Gas",NA,19830,3.7,2002
"1992","47-5031","Explosives Workers, Ordnance Handling Experts, and Blasters",NA,4850,6.2,2002
"1993","47-5041","Continuous Mining Machine Operators",NA,8100,4.5,2002
"1994","47-5042","Mine Cutting and Channeling Machine Operators",NA,5060,10.1,2002
"1995","47-5051","Rock Splitters, Quarry",NA,2610,10.1,2002
"1996","47-5061","Roof Bolters, Mining",NA,3980,5.6,2002
"1997","47-5071","Roustabouts, Oil and Gas",NA,31960,7,2002
"1998","47-5081","Helpers--Extraction Workers",NA,28690,4.1,2002
"1999","49-0000","Installation, Maintenance, and Repair Occupations","major",5215970,0.3,2002
"2000","49-1011","First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",NA,433640,0.6,2002
"2001","49-2011","Computer, Automated Teller, and Office Machine Repairers",NA,135380,1.9,2002
"2002","49-2021","Radio Mechanics",NA,6960,6.3,2002
"2003","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers",NA,195680,1.9,2002
"2004","49-2091","Avionics Technicians",NA,21710,3,2002
"2005","49-2092","Electric Motor, Power Tool, and Related Repairers",NA,28720,5.4,2002
"2006","49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment",NA,17320,4,2002
"2007","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment",NA,82320,2.7,2002
"2008","49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",NA,20040,2.9,2002
"2009","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles",NA,15200,12.9,2002
"2010","49-2097","Electronic Home Entertainment Equipment Installers and Repairers",NA,30600,4,2002
"2011","49-2098","Security and Fire Alarm Systems Installers",NA,43310,5.3,2002
"2012","49-3011","Aircraft Mechanics and Service Technicians",NA,125850,3.1,2002
"2013","49-3021","Automotive Body and Related Repairers",NA,175370,1.7,2002
"2014","49-3022","Automotive Glass Installers and Repairers",NA,19710,7.3,2002
"2015","49-3023","Automotive Service Technicians and Mechanics",NA,687380,0.8,2002
"2016","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists",NA,254470,1.3,2002
"2017","49-3041","Farm Equipment Mechanics",NA,32330,3,2002
"2018","49-3042","Mobile Heavy Equipment Mechanics, Except Engines",NA,113340,1.5,2002
"2019","49-3043","Rail Car Repairers",NA,13520,6.1,2002
"2020","49-3051","Motorboat Mechanics",NA,18550,2.6,2002
"2021","49-3052","Motorcycle Mechanics",NA,13030,2.5,2002
"2022","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics",NA,25170,3.3,2002
"2023","49-3091","Bicycle Repairers",NA,7000,6.7,2002
"2024","49-3092","Recreational Vehicle Service Technicians",NA,12490,2.9,2002
"2025","49-3093","Tire Repairers and Changers",NA,81560,2.8,2002
"2026","49-9011","Mechanical Door Repairers",NA,10730,8.4,2002
"2027","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door",NA,36720,2.9,2002
"2028","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NA,206870,2.2,2002
"2029","49-9031","Home Appliance Repairers",NA,34750,3.1,2002
"2030","49-9041","Industrial Machinery Mechanics",NA,179640,1.4,2002
"2031","49-9042","Maintenance and Repair Workers, General",NA,1212620,0.7,2002
"2032","49-9043","Maintenance Workers, Machinery",NA,90500,1.2,2002
"2033","49-9044","Millwrights",NA,67900,4.1,2002
"2034","49-9045","Refractory Materials Repairers, Except Brickmasons",NA,3330,8.9,2002
"2035","49-9051","Electrical Power-Line Installers and Repairers",NA,96040,2.1,2002
"2036","49-9052","Telecommunications Line Installers and Repairers",NA,156160,2.3,2002
"2037","49-9061","Camera and Photographic Equipment Repairers",NA,5220,11.4,2002
"2038","49-9062","Medical Equipment Repairers",NA,21770,5,2002
"2039","49-9063","Musical Instrument Repairers and Tuners",NA,4870,11.3,2002
"2040","49-9064","Watch Repairers",NA,3710,9.2,2002
"2041","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers",NA,33520,3.2,2002
"2042","49-9092","Commercial Divers",NA,2930,18,2002
"2043","49-9093","Fabric Menders, Except Garment",NA,2030,6.6,2002
"2044","49-9094","Locksmiths and Safe Repairers",NA,18970,3.5,2002
"2045","49-9095","Manufactured Building and Mobile Home Installers",NA,13780,7.9,2002
"2046","49-9096","Riggers",NA,13770,4.1,2002
"2047","49-9097","Signal and Track Switch Repairers",NA,7990,6.3,2002
"2048","49-9098","Helpers--Installation, Maintenance, and Repair Workers",NA,148770,1.7,2002
"2049","51-0000","Production Occupations","major",10726670,0.3,2002
"2050","51-1011","First-Line Supervisors/Managers of Production and Operating Workers",NA,700490,0.4,2002
"2051","51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",NA,25690,4.3,2002
"2052","51-2021","Coil Winders, Tapers, and Finishers",NA,34710,2.8,2002
"2053","51-2022","Electrical and Electronic Equipment Assemblers",NA,267030,2,2002
