X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
63,2012,43-5000,3673405.44,3628522.05,3297823.71,330698.34,2284854.97,1343667.08,0.370306990417765,651.927536231884,540,40.6771402550091,40,78.9456728614891,73,63,18.804166666666667,39111.666666666664,11.202499999999999,13.307500000000001,17.008333333333333,23.1825,29.778333333333332,23299.166666666668,27679.166666666668,35375.833333333336,48215.833333333336,61938.333333333336,10.515145930505847,0.3879605101619039
64,2012,43-6000,3266897.54999999,3232879.28999999,3003803.62,229075.67,144848.27,3088031.02,0.955195274241124,667.729299363057,614,45.2034229828851,48,86.7615668662967,81,64,20.385,42399.166666666664,12.130833333333333,14.959166666666667,18.754166666666666,24.186666666666667,30.71,25234.166666666668,31114.166666666668,39004.166666666664,50306.666666666664,63873.333333333336,10.58866931330963,0.3609993975157497
65,2012,43-9000,2299562.07,2266060.11,2026681.34,239378.77,516756.32,1749303.79,0.771958246950475,586.917948717949,545,41.0327868852459,42,85.8776546973414,81,65,17.27,35920.833333333336,10.3675,12.619166666666667,16.134166666666665,20.531666666666666,25.801666666666666,21565,26250.833333333332,33558.333333333336,42706.666666666664,53668.333333333336,10.425601829090596,0.3568145214153654
66,2012,45-1000,51723.21,50637.92,48159.08,2478.84,45271.23,5366.69,0.105981643795796,600.5,387.5,47.675,49.5,73.5326466805903,77,66,24.798333333333332,51579.166666666664,14.175833333333333,17.4825,23.037499999999998,30.17,37.718333333333334,29480.833333333332,36362.5,47918.333333333336,62754.166666666664,78451.66666666667,10.777452125439293,0.38677364085270427
67,2012,45-2000,958873.730000001,937592.130000002,740334.81,197257.32,682073.84,255518.29,0.272526060985601,449.771084337349,384.5,38.0732064421669,36,55.6234556704308,73,67,13.485,28048.333333333332,10.45,11.3075,12.115833333333333,14.296666666666667,18.636666666666667,21733.333333333332,23516.666666666668,25200.833333333332,29735,38760.833333333336,10.210389023467517,0.21448993872564823
68,2012,45-3000,32477.15,32165.33,30179.73,1985.6,29589.56,2575.77,0.0800790789337464,294,288,46.4666666666667,54,64.9987697934391,71,68,16.27166666666667,33848.333333333336,9.55,11.598333333333333,15.008333333333333,19.888333333333335,25.478333333333335,19860,24121.666666666668,31213.333333333332,41370,52993.333333333336,10.36883239517079,0.3865998463628478
69,2012,45-4000,94346.27,92411.2,58126.11,34285.09,90718.08,1693.12,0.0183215887251762,460.75,360,42.7727272727273,40,64.9355160413456,73,69,19.251666666666665,40043.333333333336,11.426666666666666,14.221666666666666,18.34166666666667,22.940833333333334,27.944166666666668,23769.166666666668,29580,38151.666666666664,47717.5,58123.333333333336,10.532739783062668,0.3500854466814935
70,2012,47-1000,740723.79,737468.18,676493.32,60974.86,711697.2,25770.98,0.0349452094326294,1214.8,1078,44.8943089430894,46,78.258089657509,73,70,33.8675,70443.33333333333,20.206666666666667,25.225,31.7425,40.71,50.70166666666667,42030,52468.333333333336,66026.66666666667,84677.5,105455,11.104912560465182,0.3580151229629747
71,2012,47-2000,4246817.09,4190275.15,3363809.50000001,826465.65,4104923.31,85351.84,0.0203690299430575,759.064189189189,600,40.6991150442478,39,68.1117380967214,73,71,24.038333333333334,49998.333333333336,13.339166666666667,16.509166666666665,21.366666666666667,29.214166666666667,38.86083333333333,27745.833333333332,34335.833333333336,44441.666666666664,60766.666666666664,80832.5,10.73832991186738,0.41848551587206645
72,2012,47-3000,59252.21,58675.55,45616.07,13059.48,55411.95,3263.6,0.0556211232787762,461.25,430,33.7179487179487,30.5,60.683951663001,73,72,15.990833333333333,33263.333333333336,10.92,12.660833333333333,15.183333333333334,18.395,22.138333333333332,22714.166666666668,26332.5,31585,38263.333333333336,46046.666666666664,10.371879781490591,0.27599115411037894
