"","X","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010_orig","SOC_major_orig","SOC_minor_orig","SOC_broad_orig","SOC2010_adj","SOC_major_adj","SOC_minor_adj","SOC_broad_adj","ltuer_occ","uer_occ","ltuer_soc2010","uer_soc2010","ltuer_soc_major","uer_soc_major","ltuer_soc_minor","uer_soc_minor","ltuer_soc_broad","uer_soc_broad"
"59",59,1010,"computer programmers",1010,NA,"Computer programmers",1010,"15-1131",15,"15-1000","15-1130","15-1131",15,"15-1000","15-1130",0.398811738276251,0.0342086579316386,0.398811738276251,0.0342086579316386,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.343620933081602,0.0269127460819964
"60",60,1020,"software developers, applications and systems software",1020,NA,"Software developers, applications and systems software",1020,"15-113X",15,"15-1000","15-1130","15-113X",15,"15-1000","15-1130",0.316979796263985,0.0244006777224436,0.316979796263985,0.0244006777224436,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.343620933081602,0.0269127460819964
"61",61,1030,"web developers",1020,NA,"Web developers",1030,"15-1134",15,"15-1000","15-1130","15-113X",15,"15-1000","15-1130",0.316979796263985,0.0244006777224436,0.316979796263985,0.0244006777224436,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.343620933081602,0.0269127460819964
"62",62,1050,"computer support specialists",1050,NA,"Computer support specialists",1050,"15-1150",15,"15-1000","15-1150","15-1150",15,"15-1000","15-1150",0.347140141890149,0.0416800230244872,0.347140141890149,0.0416800230244872,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.347140141890149,0.0416800230244872
"63",63,1060,"database administrators",1060,NA,"Database administrators",1060,"15-1141",15,"15-1000","15-1140","15-1141",15,"15-1000","15-1140",0.432703241717204,0.0204851134546592,0.432703241717204,0.0204851134546592,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.370659001959347,0.0266486386937845
"64",64,1105,"network and computer systems administrators",1100,NA,"Network and computer systems administrators",1105,"15-1142",15,"15-1000","15-1140","15-1142",15,"15-1000","15-1140",0.348763452719341,0.0298143436359716,0.348763452719341,0.0298143436359716,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.370659001959347,0.0266486386937845
"65",65,1106,"computer network architects ",1100,NA,"Computer network architects",1106,"15-1143",15,"15-1000","15-1140","15-1142",15,"15-1000","15-1140",0.348763452719341,0.0298143436359716,0.348763452719341,0.0298143436359716,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.370659001959347,0.0266486386937845
"66",66,1107,"computer occupations, all other",1100,NA,"Computer occupations, all other",1107,"15-1199",15,"15-1000","15-1190","15-1142",15,"15-1000","15-1140",0.348763452719341,0.0298143436359716,0.348763452719341,0.0298143436359716,0.343720663937484,0.0291077621622363,0.344381470595051,0.0296301552530478,0.370659001959347,0.0266486386937845
"67",67,1200,"actuaries",1200,NA,"Actuaries",1200,"15-2011",15,"15-2000","15-2010","15-2011",15,"15-2000","15-2010",0.309887706452254,0.00570428307644789,0.309887706452254,0.00570428307644789,0.343720663937484,0.0291077621622363,0.329208188844242,0.0209831685905768,0.309887706452254,0.00570428307644789
"68",68,1220,"operations research analysts",1220,NA,"Operations research analysts",1220,"15-2031",15,"15-2000","15-2030","15-2031",15,"15-2000","15-2030",0.391953674192868,0.0214030042942136,0.391953674192868,0.0214030042942136,0.343720663937484,0.0291077621622363,0.329208188844242,0.0209831685905768,0.391953674192868,0.0214030042942136
"69",69,1240,"miscellaneous mathematical science occupations, including mathematicians and statisticians",1240,NA,"Miscellaneous mathematical science occupations",1240,"15-2090",15,"15-2000","15-2090","15-2090",15,"15-2000","15-2090",0.273267734328155,0.0237996783885538,0.273267734328155,0.0237996783885538,0.343720663937484,0.0291077621622363,0.329208188844242,0.0209831685905768,0.273267734328155,0.0237996783885538
"70",70,1300,"architects, except naval",1300,NA,"Architects, except naval",1300,"17-1010",17,"17-1000","17-1010","17-1010",17,"17-1000","17-1010",0.38387094397532,0.0351330819169775,0.38387094397532,0.0351330819169775,0.38084757080403,0.0290663172643788,0.361273507571844,0.0337652383324314,0.38387094397532,0.0351330819169775
"71",71,1310,"surveyors, cartographers, and photogrammetrists",1310,NA,"Surveyors, cartographers, and photogrammetrists",1310,"17-1020",17,"17-1000","17-1020","17-1020",17,"17-1000","17-1020",0.212804739222694,0.0268874886872343,0.212804739222694,0.0268874886872343,0.38084757080403,0.0290663172643788,0.361273507571844,0.0337652383324314,0.212804739222694,0.0268874886872343
"72",72,1320,"aerospace engineers",1320,NA,"Aerospace engineers",1320,"17-2011",17,"17-2000","17-2010","17-2011",17,"17-2000","17-2010",0.396322073116222,0.0142320535869901,0.396322073116222,0.0142320535869901,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.396322073116222,0.0142320535869901
"73",73,1340,"biomedical and agricultural engineers",1320,NA,"Biomedical engineers",1340,"17-2031",17,"17-2000","17-2030","17-2011",17,"17-2000","17-2010",0.396322073116222,0.0142320535869901,0.396322073116222,0.0142320535869901,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.396322073116222,0.0142320535869901
"74",74,1350,"chemical engineers",1350,NA,"Chemical engineers",1350,"17-2041",17,"17-2000","17-2040","17-2041",17,"17-2000","17-2040",0.430868659710676,0.0285424034136344,0.430868659710676,0.0285424034136344,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.430868659710676,0.0285424034136344
"75",75,1360,"civil engineers",1360,NA,"Civil engineers",1360,"17-2051",17,"17-2000","17-2050","17-2051",17,"17-2000","17-2050",0.387846431238965,0.0208378096224484,0.387846431238965,0.0208378096224484,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.387846431238965,0.0208378096224484
"76",76,1400,"computer hardware engineers",1400,NA,"Computer hardware engineers",1400,"17-2061",17,"17-2000","17-2060","17-2061",17,"17-2000","17-2060",0.431686533329955,0.0251650139856324,0.431686533329955,0.0251650139856324,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.431686533329955,0.0251650139856324
"77",77,1410,"electrical and electronics engineers",1410,NA,"Electrical and electronics engineers",1410,"17-2070",17,"17-2000","17-2070","17-2070",17,"17-2000","17-2070",0.427783380195462,0.025150099003133,0.427783380195462,0.025150099003133,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.427783380195462,0.025150099003133
"78",78,1420,"environmental engineers",1420,NA,"Environmental engineers",1420,"17-2081",17,"17-2000","17-2080","17-2081",17,"17-2000","17-2080",0.491959191066448,0.0235926595960343,0.491959191066448,0.0235926595960343,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.491959191066448,0.0235926595960343
"79",79,1430,"industrial engineers, including health and safety",1430,NA,"Industrial engineers, including health and safety",1430,"17-2110",17,"17-2000","17-2110","17-2110",17,"17-2000","17-2110",0.409327945233408,0.0275385317213645,0.409327945233408,0.0275385317213645,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.409327945233408,0.0275385317213645
"80",80,1440,"marine engineers and naval architects",1440,NA,"Marine engineers and naval architects",1440,"17-2121",17,"17-2000","17-2120","17-2121",17,"17-2000","17-2120",0.229454691048506,0.0234110060162774,0.229454691048506,0.0234110060162774,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.229454691048506,0.0234110060162774
"81",81,1450,"materials engineers",1450,NA,"Materials engineers",1450,"17-2131",17,"17-2000","17-2130","17-2131",17,"17-2000","17-2130",0.437661336387208,0.0369304678982935,0.437661336387208,0.0369304678982935,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.437661336387208,0.0369304678982935
"82",82,1460,"mechanical engineers",1460,NA,"Mechanical engineers",1460,"17-2141",17,"17-2000","17-2140","17-2141",17,"17-2000","17-2140",0.362861510797958,0.0227110476410518,0.362861510797958,0.0227110476410518,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.362861510797958,0.0227110476410518
"83",83,1520,"petroleum, mining and geological engineers, including mining safety engineers",1520,NA,"Petroleum engineers",1520,"17-2171",17,"17-2000","17-2170","17-2171",17,"17-2000","17-2170",0.298356977030074,0.0388469713400238,0.298356977030074,0.0388469713400238,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.298356977030074,0.0388469713400238
"84",84,1530,"miscellaneous engineers, including nuclear engineers",1530,NA,"Engineers, all other",1530,"17-2199",17,"17-2000","17-2190","17-2199",17,"17-2000","17-2190",0.381732491592895,0.0222105611748796,0.381732491592895,0.0222105611748796,0.38084757080403,0.0290663172643788,0.395172417578113,0.0233718418558703,0.381732491592895,0.0222105611748796
