"","X","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010_orig","SOC_major_orig","SOC_minor_orig","SOC_broad_orig","SOC2010_adj","SOC_major_adj","SOC_minor_adj","SOC_broad_adj","ltuer_occ","ltuer_soc2010","ltuer_soc_major","ltuer_soc_minor","ltuer_soc_broad"
"215",215,4210,"first-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,NA,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,"37-1012",37,"37-1000","37-1010","37-1012",37,"37-1000","37-1010",0.227994691620432,0.227994691620432,0.285453354687377,0.275208406221042,0.275208406221042
"216",216,4220,"janitors and building cleaners",4220,NA,"Janitors and building cleaners",4220,"37-201X",37,"37-2000","37-2010","37-201X",37,"37-2000","37-2010",0.318038534386721,0.318038534386721,0.285453354687377,0.309218690821389,0.309754072751342
"217",217,4230,"maids and housekeeping cleaners",4230,NA,"Maids and housekeeping cleaners",4230,"37-2012",37,"37-2000","37-2010","37-2012",37,"37-2000","37-2010",0.298630934362335,0.298630934362335,0.285453354687377,0.309218690821389,0.309754072751342
"218",218,4240,"pest control workers",4240,NA,"Pest control workers",4240,"37-2021",37,"37-2000","37-2020","37-2021",37,"37-2000","37-2020",0.267584605630001,0.267584605630001,0.285453354687377,0.309218690821389,0.267584605630001
"219",219,4250,"grounds maintenance workers",4250,NA,"Grounds maintenance workers",4250,"37-3010",37,"37-3000","37-3010","37-3010",37,"37-3000","37-3010",0.239574799310811,0.239574799310811,0.285453354687377,0.239574799310811,0.239574799310811
"220",220,4300,"first-line supervisors of gaming workers",4300,NA,"First-line supervisors of gaming workers",4300,"39-1010",39,"39-1000","39-1010","39-1010",39,"39-1000","39-1010",0.320877018758991,0.320877018758991,0.266295173127641,0.297317618640616,0.320877018758991
"221",221,4320,"first-line supervisors of personal service workers",4320,NA,"First-line supervisors of personal service workers",4320,"39-1021",39,"39-1000","39-1020","39-1021",39,"39-1000","39-1020",0.28022112063376,0.28022112063376,0.266295173127641,0.297317618640616,0.28022112063376
"222",222,4340,"animal trainers",4340,NA,"Animal trainers",4340,"39-2011",39,"39-2000","39-2010","39-2011",39,"39-2000","39-2010",0.254491169591739,0.254491169591739,0.266295173127641,0.233370405734626,0.254491169591739
"223",223,4350,"nonfarm animal caretakers",4350,NA,"Nonfarm animal caretakers",4350,"39-2021",39,"39-2000","39-2020","39-2021",39,"39-2000","39-2020",0.231506538443312,0.231506538443312,0.266295173127641,0.233370405734626,0.231506538443312
"224",224,4400,"gaming services workers",4400,NA,"Gaming services workers",4400,"39-3010",39,"39-3000","39-3010","39-3010",39,"39-3000","39-3010",0.3285040532961,0.3285040532961,0.266295173127641,0.23910131011993,0.3285040532961
"225",225,4410,"motion picture projectionists",4400,NA,"Motion picture projectionists",4410,"39-3021",39,"39-3000","39-3020","39-3010",39,"39-3000","39-3010",0.3285040532961,0.3285040532961,0.266295173127641,0.23910131011993,0.3285040532961
"226",226,4420,"ushers, lobby attendants, and ticket takers",4420,NA,"Ushers, lobby attendants, and ticket takers",4420,"39-3031",39,"39-3000","39-3030","39-3031",39,"39-3000","39-3030",0.223209532786083,0.223209532786083,0.266295173127641,0.23910131011993,0.223209532786083
"227",227,4430,"miscellaneous entertainment attendants and related workers",4430,NA,"Miscellaneous entertainment attendants and related workers",4430,"39-3090",39,"39-3000","39-3090","39-3090",39,"39-3000","39-3090",0.216366848134253,0.216366848134253,0.266295173127641,0.23910131011993,0.216366848134253
"228",228,4460,"embalmers and funeral attendants",4460,NA,"Embalmers and funeral attendants",4460,"39-40XX",39,"39-4000","39-40X0","39-40XX",39,"39-4000","39-40X0",0.257848234599682,0.257848234599682,0.266295173127641,0.257848234599682,0.257848234599682
"229",229,4465,"morticians, undertakers, and funeral directors",4460,NA,"Morticians, undertakers, and funeral directors",4465,"39-4031",39,"39-4000","39-4030","39-40XX",39,"39-4000","39-40X0",0.257848234599682,0.257848234599682,0.266295173127641,0.257848234599682,0.257848234599682
"230",230,4500,"barbers",4500,NA,"Barbers",4500,"39-5011",39,"39-5000","39-5010","39-5011",39,"39-5000","39-5010",0.322863381674807,0.322863381674807,0.266295173127641,0.289335905935504,0.293044082475547
"231",231,4510,"hairdressers, hairstylists, and cosmetologists",4510,NA,"Hairdressers, hairstylists, and cosmetologists",4510,"39-5012",39,"39-5000","39-5010","39-5012",39,"39-5000","39-5010",0.287918465964902,0.287918465964902,0.266295173127641,0.289335905935504,0.293044082475547
"232",232,4520,"miscellaneous personal appearance workers",4520,NA,"Miscellaneous personal appearance workers",4520,"39-5090",39,"39-5000","39-5090","39-5090",39,"39-5000","39-5090",0.280108892977145,0.280108892977145,0.266295173127641,0.289335905935504,0.280108892977145
"233",233,4530,"baggage porters, bellhops, and concierges",4530,NA,"Baggage porters, bellhops, and concierges",4530,"39-6010",39,"39-6000","39-6010","39-6010",39,"39-6000","39-6010",0.338611754095056,0.338611754095056,0.266295173127641,0.338611754095056,0.338611754095056
"234",234,4540,"tour and travel guides",4540,NA,"Tour and travel guides",4540,"39-7010",39,"39-7000","39-7010","39-7010",39,"39-7000","39-7010",0.159171888677887,0.159171888677887,0.266295173127641,0.159171888677887,0.159171888677887
"235",235,4600,"childcare workers",4600,NA,"Childcare workers",4600,"39-9011",39,"39-9000","39-9010","39-9011",39,"39-9000","39-9010",0.26325456930101,0.26325456930101,0.266295173127641,0.26846444993986,0.26325456930101
"236",236,4610,"personal care aides",4610,NA,"Personal care aides",4610,"39-9021",39,"39-9000","39-9020","39-9021",39,"39-9000","39-9020",0.300205649859726,0.300205649859726,0.266295173127641,0.26846444993986,0.300205649859726
"237",237,4620,"recreation and fitness workers",4620,NA,"Recreation and fitness workers",4620,"39-9030",39,"39-9000","39-9030","39-9030",39,"39-9000","39-9030",0.186935593947763,0.186935593947763,0.266295173127641,0.26846444993986,0.186935593947763
"238",238,4640,"residential advisors",4640,NA,"Residential advisors",4640,"39-9041",39,"39-9000","39-9040","39-9041",39,"39-9000","39-9040",0.237233489340606,0.237233489340606,0.266295173127641,0.26846444993986,0.237233489340606
"239",239,4700,"first-line supervisors of retail sales workers",4700,NA,"First-line supervisors of retail sales workers",4700,"41-1011",41,"41-1000","41-1010","41-1011",41,"41-1000","41-1010",0.339263347287204,0.339263347287204,0.292378071565488,0.339263347287204,0.339263347287204
"240",240,4710,"first-line supervisors of non-retail sales workers",4700,NA,"First-line supervisors of non-retail sales workers",4710,"41-1012",41,"41-1000","41-1010","41-1011",41,"41-1000","41-1010",0.339263347287204,0.339263347287204,0.292378071565488,0.339263347287204,0.339263347287204
"241",241,4720,"cashiers",4720,NA,"Cashiers",4720,"41-2010",41,"41-2000","41-2010","41-2010",41,"41-2000","41-2010",0.258743609978219,0.258743609978219,0.292378071565488,0.269536587136251,0.258743609978219
"242",242,4740,"counter and rental clerks",4740,NA,"Counter and rental clerks",4740,"41-2021",41,"41-2000","41-2020","41-2021",41,"41-2000","41-2020",0.294257962419298,0.294257962419298,0.292378071565488,0.269536587136251,0.28569668564276
"243",243,4750,"parts salespersons",4750,NA,"Parts salespersons",4750,"41-2022",41,"41-2000","41-2020","41-2022",41,"41-2000","41-2020",0.271634409230155,0.271634409230155,0.292378071565488,0.269536587136251,0.28569668564276
"244",244,4760,"retail salespersons",4760,NA,"Retail salespersons",4760,"41-2031",41,"41-2000","41-2030","41-2031",41,"41-2000","41-2030",0.283491042441917,0.283491042441917,0.292378071565488,0.269536587136251,0.283491042441917
"245",245,4800,"advertising sales agents",4800,NA,"Advertising sales agents",4800,"41-3011",41,"41-3000","41-3010","41-3011",41,"41-3000","41-3010",0.356452382254759,0.356452382254759,0.292378071565488,0.332675092864973,0.356452382254759
"246",246,4810,"insurance sales agents",4810,NA,"Insurance sales agents",4810,"41-3021",41,"41-3000","41-3020","41-3021",41,"41-3000","41-3020",0.322459302659377,0.322459302659377,0.292378071565488,0.332675092864973,0.322459302659377
"247",247,4820,"securities, commodities, and financial services sales agents",4820,NA,"Securities, commodities, and financial services sales agents",4820,"41-3031",41,"41-3000","41-3030","41-3031",41,"41-3000","41-3030",0.371153271770875,0.371153271770875,0.292378071565488,0.332675092864973,0.371153271770875
"248",248,4830,"travel agents",4830,NA,"Travel agents",4830,"41-3041",41,"41-3000","41-3040","41-3041",41,"41-3000","41-3040",0.411877545631601,0.411877545631601,0.292378071565488,0.332675092864973,0.411877545631601
"249",249,4840,"sales representatives, services, all other",4840,NA,"Sales representatives, services, all other",4840,"41-3099",41,"41-3000","41-3090","41-3099",41,"41-3000","41-3090",0.303534114212505,0.303534114212505,0.292378071565488,0.332675092864973,0.303534114212505
"250",250,4850,"sales representatives, wholesale and manufacturing",4850,NA,"Sales representatives, wholesale and manufacturing",4850,"41-4010",41,"41-4000","41-4010","41-4010",41,"41-4000","41-4010",0.352011086061232,0.352011086061232,0.292378071565488,0.352011086061232,0.352011086061232
"251",251,4900,"models, demonstrators, and product promoters",4900,NA,"Models, demonstrators, and product promoters",4900,"41-9010",41,"41-9000","41-9010","41-9010",41,"41-9000","41-9010",0.222918514737738,0.222918514737738,0.292378071565488,0.311258723541792,0.222918514737738
"252",252,4920,"real estate brokers and sales agents",4920,NA,"Real estate brokers and sales agents",4920,"41-9020",41,"41-9000","41-9020","41-9020",41,"41-9000","41-9020",0.332198317617484,0.332198317617484,0.292378071565488,0.311258723541792,0.332198317617484
"253",253,4930,"sales engineers",4930,NA,"Sales engineers",4930,"41-9031",41,"41-9000","41-9030","41-9031",41,"41-9000","41-9030",0.375227559598459,0.375227559598459,0.292378071565488,0.311258723541792,0.375227559598459
"254",254,4940,"telemarketers",4940,NA,"Telemarketers",4940,"41-9041",41,"41-9000","41-9040","41-9041",41,"41-9000","41-9040",0.306120081804825,0.306120081804825,0.292378071565488,0.311258723541792,0.306120081804825
"255",255,4950,"door-to-door sales workers, news and street vendors, and related workers",4950,NA,"Door-to-door sales workers, news and street vendors, and related workers",4950,"41-9091",41,"41-9000","41-9090","41-9091",41,"41-9000","41-9090",0.330531859469652,0.330531859469652,0.292378071565488,0.311258723541792,0.330531859469652
"256",256,5000,"first-line supervisors of office and administrative support workers",5000,NA,"First-line supervisors of office and administrative support workers",5000,"43-1011",43,"43-1000","43-1010","43-1011",43,"43-1000","43-1010",0.360544796493526,0.360544796493526,0.310140250136398,0.360544796493526,0.360544796493526
"257",257,5010,"switchboard operators, including answering service",5010,NA,"Switchboard operators, including answering service",5010,"43-2011",43,"43-2000","43-2010","43-2011",43,"43-2000","43-2010",0.307147040590784,0.307147040590784,0.310140250136398,0.343777804483154,0.307147040590784
"258",258,5020,"telephone operators",5020,NA,"Telephone operators",5020,"43-2021",43,"43-2000","43-2020","43-2021",43,"43-2000","43-2020",0.372300379311609,0.372300379311609,0.310140250136398,0.343777804483154,0.372300379311609
"259",259,5100,"bill and account collectors",5100,NA,"Bill and account collectors",5100,"43-3011",43,"43-3000","43-3010","43-3011",43,"43-3000","43-3010",0.312054569321133,0.312054569321133,0.310140250136398,0.323978414281955,0.312054569321133
"260",260,5110,"billing and posting clerks ",5110,NA,"Billing and posting clerks",5110,"43-3021",43,"43-3000","43-3020","43-3021",43,"43-3000","43-3020",0.344434801391976,0.344434801391976,0.310140250136398,0.323978414281955,0.344434801391976
"261",261,5120,"bookkeeping, accounting, and auditing clerks",5120,NA,"Bookkeeping, accounting, and auditing clerks",5120,"43-3031",43,"43-3000","43-3030","43-3031",43,"43-3000","43-3030",0.324312593361467,0.324312593361467,0.310140250136398,0.323978414281955,0.324312593361467
"262",262,5130,"gaming cage workers",5130,NA,"Gaming cage workers",5130,"43-3041",43,"43-3000","43-3040","43-3041",43,"43-3000","43-3040",0.435621012477163,0.435621012477163,0.310140250136398,0.323978414281955,0.435621012477163
"263",263,5140,"payroll and timekeeping clerks",5140,NA,"Payroll and timekeeping clerks",5140,"43-3051",43,"43-3000","43-3050","43-3051",43,"43-3000","43-3050",0.373590192252658,0.373590192252658,0.310140250136398,0.323978414281955,0.373590192252658
"264",264,5150,"procurement clerks",5150,NA,"Procurement clerks",5150,"43-3061",43,"43-3000","43-3060","43-3061",43,"43-3000","43-3060",0.226639152514577,0.226639152514577,0.310140250136398,0.323978414281955,0.226639152514577
"265",265,5160,"tellers",5160,NA,"Tellers",5160,"43-3071",43,"43-3000","43-3070","43-3071",43,"43-3000","43-3070",0.282194595663177,0.282194595663177,0.310140250136398,0.323978414281955,0.282194595663177
"266",266,5200,"brokerage clerks",5200,NA,"Brokerage clerks",5200,"43-4011",43,"43-4000","43-4010","43-4011",43,"43-4000","43-4010",0.423583046350768,0.423583046350768,0.310140250136398,0.295404636489412,0.423583046350768
"267",267,5220,"court, municipal, and license clerks",5220,NA,"Court, municipal, and license clerks",5220,"43-4031",43,"43-4000","43-4030","43-4031",43,"43-4000","43-4030",0.321314156526324,0.321314156526324,0.310140250136398,0.295404636489412,0.321314156526324
"268",268,5230,"credit authorizers, checkers, and clerks",5230,NA,"Credit authorizers, checkers, and clerks",5230,"43-4041",43,"43-4000","43-4040","43-4041",43,"43-4000","43-4040",0.34722513757717,0.34722513757717,0.310140250136398,0.295404636489412,0.34722513757717
"269",269,5240,"customer service representatives",5240,NA,"Customer service representatives",5240,"43-4051",43,"43-4000","43-4050","43-4051",43,"43-4000","43-4050",0.288009955134247,0.288009955134247,0.310140250136398,0.295404636489412,0.288009955134247
"270",270,5250,"eligibility interviewers, government programs",5250,NA,"Eligibility interviewers, government programs",5250,"43-4061",43,"43-4000","43-4060","43-4061",43,"43-4000","43-4060",0.378316685972969,0.378316685972969,0.310140250136398,0.295404636489412,0.378316685972969
"271",271,5260,"file clerks",5260,NA,"File clerks",5260,"43-4071",43,"43-4000","43-4070","43-4071",43,"43-4000","43-4070",0.274466044940297,0.274466044940297,0.310140250136398,0.295404636489412,0.274466044940297
"272",272,5300,"hotel, motel, and resort desk clerks",5300,NA,"Hotel, motel, and resort desk clerks",5300,"43-4081",43,"43-4000","43-4080","43-4081",43,"43-4000","43-4080",0.261249883420083,0.261249883420083,0.310140250136398,0.295404636489412,0.261249883420083
"273",273,5310,"interviewers, except eligibility and loan",5310,NA,"Interviewers, except eligibility and loan",5310,"43-4111",43,"43-4000","43-4110","43-4111",43,"43-4000","43-4110",0.334842623130792,0.334842623130792,0.310140250136398,0.295404636489412,0.334842623130792
"274",274,5320,"library assistants, clerical",5320,NA,"Library assistants, clerical",5320,"43-4121",43,"43-4000","43-4120","43-4121",43,"43-4000","43-4120",0.326311167202535,0.326311167202535,0.310140250136398,0.295404636489412,0.326311167202535
"275",275,5330,"loan interviewers and clerks",5330,NA,"Loan interviewers and clerks",5330,"43-4131",43,"43-4000","43-4130","43-4131",43,"43-4000","43-4130",0.376136041812197,0.376136041812197,0.310140250136398,0.295404636489412,0.376136041812197
"276",276,5340,"new accounts clerks",5340,NA,"New accounts clerks",5340,"43-4141",43,"43-4000","43-4140","43-4141",43,"43-4000","43-4140",0.364252011413237,0.364252011413237,0.310140250136398,0.295404636489412,0.364252011413237
"277",277,5350,"correspondence clerks and order clerks",5350,NA,"Order clerks",5350,"43-4151",43,"43-4000","43-4150","43-4151",43,"43-4000","43-4150",0.323066391205429,0.323066391205429,0.310140250136398,0.295404636489412,0.323066391205429
"278",278,5360,"human resources assistants, except payroll and timekeeping",5360,NA,"Human resources assistants, except payroll and timekeeping",5360,"43-4161",43,"43-4000","43-4160","43-4161",43,"43-4000","43-4160",0.389542286499421,0.389542286499421,0.310140250136398,0.295404636489412,0.389542286499421
"279",279,5400,"receptionists and information clerks",5400,NA,"Receptionists and information clerks",5400,"43-4171",43,"43-4000","43-4170","43-4171",43,"43-4000","43-4170",0.289138613576025,0.289138613576025,0.310140250136398,0.295404636489412,0.289138613576025
"280",280,5410,"reservation and transportation ticket agents and travel clerks",5410,NA,"Reservation and transportation ticket agents and travel clerks",5410,"43-4181",43,"43-4000","43-4180","43-4181",43,"43-4000","43-4180",0.278109069147454,0.278109069147454,0.310140250136398,0.295404636489412,0.278109069147454
"281",281,5500,"cargo and freight agents",5500,NA,"Cargo and freight agents",5500,"43-5011",43,"43-5000","43-5010","43-5011",43,"43-5000","43-5010",0.342925250772723,0.342925250772723,0.310140250136398,0.301023465156938,0.342925250772723
"282",282,5510,"couriers and messengers",5510,NA,"Couriers and messengers",5510,"43-5021",43,"43-5000","43-5020","43-5021",43,"43-5000","43-5020",0.277371618136668,0.277371618136668,0.310140250136398,0.301023465156938,0.277371618136668
"283",283,5520,"dispatchers",5520,NA,"Dispatchers",5520,"43-5030",43,"43-5000","43-5030","43-5030",43,"43-5000","43-5030",0.308593736641888,0.308593736641888,0.310140250136398,0.301023465156938,0.308593736641888
"284",284,5530,"meter readers, utilities",5530,NA,"Meter readers, utilities",5530,"43-5041",43,"43-5000","43-5040","43-5041",43,"43-5000","43-5040",0.312469677766452,0.312469677766452,0.310140250136398,0.301023465156938,0.312469677766452
"285",285,5540,"postal service clerks",5540,NA,"Postal service clerks",5540,"43-5051",43,"43-5000","43-5050","43-5051",43,"43-5000","43-5050",0.358240303484005,0.358240303484005,0.310140250136398,0.301023465156938,0.328458439072968
"286",286,5550,"postal service mail carriers",5550,NA,"Postal service mail carriers",5550,"43-5052",43,"43-5000","43-5050","43-5052",43,"43-5000","43-5050",0.291478723707145,0.291478723707145,0.310140250136398,0.301023465156938,0.328458439072968
"287",287,5560,"postal service mail sorters, processors, and processing machine operators",5560,NA,"Postal service mail sorters, processors, and processing machine operators",5560,"43-5053",43,"43-5000","43-5050","43-5053",43,"43-5000","43-5050",0.35816129251793,0.35816129251793,0.310140250136398,0.301023465156938,0.328458439072968
"288",288,5600,"production, planning, and expediting clerks",5600,NA,"Production, planning, and expediting clerks",5600,"43-5061",43,"43-5000","43-5060","43-5061",43,"43-5000","43-5060",0.328707722293464,0.328707722293464,0.310140250136398,0.301023465156938,0.328707722293464
"289",289,5610,"shipping, receiving, and traffic clerks",5610,NA,"Shipping, receiving, and traffic clerks",5610,"43-5071",43,"43-5000","43-5070","43-5071",43,"43-5000","43-5070",0.322309437562536,0.322309437562536,0.310140250136398,0.301023465156938,0.322309437562536
"290",290,5620,"stock clerks and order fillers",5620,NA,"Stock clerks and order fillers",5620,"43-5081",43,"43-5000","43-5080","43-5081",43,"43-5000","43-5080",0.294089881596576,0.294089881596576,0.310140250136398,0.301023465156938,0.294089881596576
"291",291,5630,"weighers, measurers, checkers, and samplers, recordkeeping",5630,NA,"Weighers, measurers, checkers, and samplers, recordkeeping",5630,"43-5111",43,"43-5000","43-5110","43-5111",43,"43-5000","43-5110",0.304391940720089,0.304391940720089,0.310140250136398,0.301023465156938,0.304391940720089
"292",292,5700,"secretaries and administrative assistants",5700,NA,"Secretaries and administrative assistants",5700,"43-6010",43,"43-6000","43-6010","43-6010",43,"43-6000","43-6010",0.336501969425713,0.336501969425713,0.310140250136398,0.336501969425713,0.336501969425713
"293",293,5800,"computer operators",5800,NA,"Computer operators",5800,"43-9011",43,"43-9000","43-9010","43-9011",43,"43-9000","43-9010",0.385323320337036,0.385323320337036,0.310140250136398,0.311273727291761,0.385323320337036
"294",294,5810,"data entry keyers",5810,NA,"Data entry keyers",5810,"43-9021",43,"43-9000","43-9020","43-9021",43,"43-9000","43-9020",0.325186670179131,0.325186670179131,0.310140250136398,0.311273727291761,0.321021827632265
"295",295,5820,"word processors and typists",5820,NA,"Word processors and typists",5820,"43-9022",43,"43-9000","43-9020","43-9022",43,"43-9000","43-9020",0.306910935109468,0.306910935109468,0.310140250136398,0.311273727291761,0.321021827632265
"296",296,5840,"insurance claims and policy processing clerks",5840,NA,"Insurance claims and policy processing clerks",5840,"43-9041",43,"43-9000","43-9040","43-9041",43,"43-9000","43-9040",0.32371468882668,0.32371468882668,0.310140250136398,0.311273727291761,0.32371468882668
"297",297,5850,"mail clerks and mail machine operators, except postal service",5850,NA,"Mail clerks and mail machine operators, except postal service",5850,"43-9051",43,"43-9000","43-9050","43-9051",43,"43-9000","43-9050",0.30750890290356,0.30750890290356,0.310140250136398,0.311273727291761,0.30750890290356
"298",298,5860,"office clerks, general",5860,NA,"Office clerks, general",5860,"43-9061",43,"43-9000","43-9060","43-9061",43,"43-9000","43-9060",0.300686582829109,0.300686582829109,0.310140250136398,0.311273727291761,0.300686582829109
"299",299,5900,"office machine operators, except computer",5900,NA,"Office machine operators, except computer",5900,"43-9071",43,"43-9000","43-9070","43-9071",43,"43-9000","43-9070",0.285284778738495,0.285284778738495,0.310140250136398,0.311273727291761,0.285284778738495
"300",300,5910,"proofreaders and copy markers",5910,NA,"Proofreaders and copy markers",5910,"43-9081",43,"43-9000","43-9080","43-9081",43,"43-9000","43-9080",0.299814165305068,0.299814165305068,0.310140250136398,0.311273727291761,0.299814165305068
"301",301,5920,"statistical assistants",5920,NA,"Statistical assistants",5920,"43-9111",43,"43-9000","43-9110","43-9111",43,"43-9000","43-9110",0.234135188651553,0.234135188651553,0.310140250136398,0.311273727291761,0.234135188651553
"302",302,5940,"miscellaneous office and administrative support workers, including desktop publishers",5940,NA,"Office and administrative support workers, all other",5940,"43-9199",43,"43-9000","43-9190","43-9199",43,"43-9000","43-9190",0.313499514970968,0.313499514970968,0.310140250136398,0.311273727291761,0.313499514970968
"303",303,6005,"first-line supervisors of farming, fishing, and forestry workers",6005,NA,"First-line supervisors of farming, fishing, and forestry workers",6005,"45-1011",45,"45-1000","45-1010","45-1011",45,"45-1000","45-1010",0.186333022625819,0.186333022625819,0.183035343939682,0.186333022625819,0.186333022625819
"304",304,6010,"agricultural inspectors",6010,NA,"Agricultural inspectors",6010,"45-2011",45,"45-2000","45-2010","45-2011",45,"45-2000","45-2010",0.254800937036514,0.254800937036514,0.183035343939682,0.177531093331065,0.254800937036514
"305",305,6040,"graders and sorters, agricultural products",6040,NA,"Graders and sorters, agricultural products",6040,"45-2041",45,"45-2000","45-2040","45-2041",45,"45-2000","45-2040",0.202012040931194,0.202012040931194,0.183035343939682,0.177531093331065,0.202012040931194
"306",306,6050,"miscellaneous agricultural workers, including animal breeders",6050,NA,"Miscellaneous agricultural workers",6050,"45-2090",45,"45-2000","45-2090","45-2090",45,"45-2000","45-2090",0.172972734787157,0.172972734787157,0.183035343939682,0.177531093331065,0.172972734787157
"307",307,6100,"fishing and hunting workers",6100,NA,"Fishers and related fishing workers",6100,"45-3011",45,"45-3000","45-3010","45-3011",45,"45-3000","45-3010",0.200007195897337,0.200007195897337,0.183035343939682,0.200007195897337,0.200007195897337
"308",308,6120,"forest and conservation workers",6120,NA,"Forest and conservation workers",6120,"45-4011",45,"45-4000","45-4010","45-4011",45,"45-4000","45-4010",0.194371636926395,0.194371636926395,0.183035343939682,0.241543874195452,0.194371636926395
"309",309,6130,"logging workers",6130,NA,"Logging workers",6130,"45-4020",45,"45-4000","45-4020","45-4020",45,"45-4000","45-4020",0.256106977071804,0.256106977071804,0.183035343939682,0.241543874195452,0.256106977071804
"310",310,6200,"first-line supervisors of construction trades and extraction workers",6200,NA,"First-line supervisors of construction trades and extraction workers",6200,"47-1011",47,"47-1000","47-1010","47-1011",47,"47-1000","47-1010",0.293540688619514,0.293540688619514,0.26508009528942,0.293540688619514,0.293540688619514
"311",311,6210,"boilermakers",6210,NA,"Boilermakers",6210,"47-2011",47,"47-2000","47-2010","47-2011",47,"47-2000","47-2010",0.133006298053331,0.133006298053331,0.26508009528942,0.262788141620567,0.133006298053331
"312",312,6220,"brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",6220,NA,"Brickmasons, blockmasons, and stonemasons",6220,"47-2020",47,"47-2000","47-2020","47-2020",47,"47-2000","47-2020",0.22338241096803,0.22338241096803,0.26508009528942,0.262788141620567,0.22338241096803
"313",313,6230,"carpenters",6230,NA,"Carpenters",6230,"47-2031",47,"47-2000","47-2030","47-2031",47,"47-2000","47-2030",0.291825969317317,0.291825969317317,0.26508009528942,0.262788141620567,0.291825969317317
"314",314,6240,"carpet, floor, and tile installers and finishers",6240,NA,"Carpet, floor, and tile installers and finishers",6240,"47-2040",47,"47-2000","47-2040","47-2040",47,"47-2000","47-2040",0.264493286536774,0.264493286536774,0.26508009528942,0.262788141620567,0.264493286536774
"315",315,6250,"cement masons, concrete finishers, and terrazzo workers",6250,NA,"Cement masons, concrete finishers, and terrazzo workers",6250,"47-2050",47,"47-2000","47-2050","47-2050",47,"47-2000","47-2050",0.225544658542895,0.225544658542895,0.26508009528942,0.262788141620567,0.225544658542895
"316",316,6260,"construction laborers",6260,NA,"Construction laborers",6260,"47-2061",47,"47-2000","47-2060","47-2061",47,"47-2000","47-2060",0.264946424146547,0.264946424146547,0.26508009528942,0.262788141620567,0.264946424146547
"317",317,6300,"paving, surfacing, and tamping equipment operators",6300,NA,"Paving, surfacing, and tamping equipment operators",6300,"47-2071",47,"47-2000","47-2070","47-2071",47,"47-2000","47-2070",0.164509836749122,0.164509836749122,0.26508009528942,0.262788141620567,0.206822719822586
"318",318,6320,"construction equipment operators except paving, surfacing, and tamping equipment operators",6320,NA,"Operating engineers and other construction equipment operators",6320,"47-2073",47,"47-2000","47-2070","47-2073",47,"47-2000","47-2070",0.210020488870837,0.210020488870837,0.26508009528942,0.262788141620567,0.206822719822586
"319",319,6330,"drywall installers, ceiling tile installers, and tapers",6330,NA,"Drywall installers, ceiling tile installers, and tapers",6330,"47-2080",47,"47-2000","47-2080","47-2080",47,"47-2000","47-2080",0.258779432862463,0.258779432862463,0.26508009528942,0.262788141620567,0.258779432862463
"320",320,6355,"electricians",6355,NA,"Electricians",6355,"47-2111",47,"47-2000","47-2110","47-2111",47,"47-2000","47-2110",0.273438986331376,0.273438986331376,0.26508009528942,0.262788141620567,0.273438986331376
"321",321,6360,"glaziers",6360,NA,"Glaziers",6360,"47-2121",47,"47-2000","47-2120","47-2121",47,"47-2000","47-2120",0.26065614069338,0.26065614069338,0.26508009528942,0.262788141620567,0.26065614069338
"322",322,6400,"insulation workers",6400,NA,"Insulation workers",6400,"47-2130",47,"47-2000","47-2130","47-2130",47,"47-2000","47-2130",0.284842210425589,0.284842210425589,0.26508009528942,0.262788141620567,0.284842210425589
"323",323,6420,"painters and paperhangers",6420,NA,"Painters, construction and maintenance",6420,"47-2141",47,"47-2000","47-2140","47-2141",47,"47-2000","47-2140",0.23930791206433,0.23930791206433,0.26508009528942,0.262788141620567,0.23930791206433
"324",324,6440,"pipelayers, plumbers, pipefitters, and steamfitters",6440,NA,"Pipelayers, plumbers, pipefitters, and steamfitters",6440,"47-2150",47,"47-2000","47-2150","47-2150",47,"47-2000","47-2150",0.285792653940603,0.285792653940603,0.26508009528942,0.262788141620567,0.285792653940603
"325",325,6460,"plasterers and stucco masons",6460,NA,"Plasterers and stucco masons",6460,"47-2161",47,"47-2000","47-2160","47-2161",47,"47-2000","47-2160",0.25107075908544,0.25107075908544,0.26508009528942,0.262788141620567,0.25107075908544
"326",326,6515,"roofers",6515,NA,"Roofers",6515,"47-2181",47,"47-2000","47-2180","47-2181",47,"47-2000","47-2180",0.249606978073849,0.249606978073849,0.26508009528942,0.262788141620567,0.249606978073849
"327",327,6520,"sheet metal workers",6520,NA,"Sheet metal workers",6520,"47-2211",47,"47-2000","47-2210","47-2211",47,"47-2000","47-2210",0.266449060159311,0.266449060159311,0.26508009528942,0.262788141620567,0.266449060159311
"328",328,6530,"structural iron and steel workers",6530,NA,"Structural iron and steel workers",6530,"47-2221",47,"47-2000","47-2220","47-2221",47,"47-2000","47-2220",0.248692155352604,0.248692155352604,0.26508009528942,0.262788141620567,0.248692155352604
"329",329,6600,"helpers, construction trades",6600,NA,"Helpers, construction trades",6600,"47-3010",47,"47-3000","47-3010","47-3010",47,"47-3000","47-3010",0.269981971240729,0.269981971240729,0.26508009528942,0.269981971240729,0.269981971240729
