DATE,GDPC1,REALGDP,FD_REALGDP,log_REALGDP,log_Trend,log_Cycle,Trend,Cycle,scaled_log_Cycle
1990-01-01,10047.386,10047.386,,13.29453258788239,14.257317759646178,1.0372148282362126,572242.2871699758,1.0379159705466428,0.8809381912203397
1990-04-01,10083.855,10083.855,36.46899999999914,13.2997596578878,14.269015039568872,1.030744618318927,578975.2673932103,1.0312221150183152,0.846505260085511
1990-07-01,10090.569,10090.569,6.713999999999942,13.300719908833464,14.28071260664302,1.0200073021904448,585787.6358064391,1.0202087897584324,0.7893637961220009
1990-10-01,9998.704,9998.704,-91.86499999999978,13.287525394155235,14.29241098524706,0.9951144089081758,592680.6412352935,0.9951263239963537,0.6568896892394525
1991-01-01,9951.916,9951.916,-46.788000000000466,13.280758592990844,14.304110854136761,0.9766477388540835,599655.6508145445,0.9769182927969949,0.5586144267068683
1991-04-01,10029.51,10029.51,77.59400000000096,13.29196350316272,14.315812854370435,0.9761506487922844,606714.039467415,0.9764327970999959,0.5559690306401953
1991-07-01,10080.195,10080.195,50.68499999999949,13.299235927396392,14.327517446819192,0.9717184805772003,613857.1018007658,0.9721146591183101,0.5323820767578716
1991-10-01,10115.329,10115.329,35.134000000000015,13.304255623711533,14.339224908331378,0.9650307153801556,621086.0439056309,0.9656350756505045,0.4967913677361224
1992-01-01,10236.435,10236.435,121.10599999999977,13.321425741047669,14.350935297533736,0.970490443513933,628401.9556907548,0.9709215989981257,0.5258467531484265
1992-04-01,10347.429,10347.429,110.9940000000006,13.336984728944005,14.362648403228288,0.9743363257157167,635805.7704004009,0.9746628386672388,0.5463136311476862
1992-07-01,10449.673,10449.673,102.2440000000006,13.351170176529322,14.374363786519853,0.9768063900094699,643298.2818256799,0.9770732943081245,0.5594587307368328
1992-10-01,10558.648,10558.648,108.97499999999854,13.366137493737387,14.386080810491071,0.9800566832463158,650880.1549672526,0.9802542357243069,0.576756024738581
1993-01-01,10576.275,10576.275,17.627000000000407,13.36854397436494,14.397798659261547,0.9707453151033931,658551.9307623442,0.9711690908672869,0.5272031196342588
1993-04-01,10637.847,10637.847,61.572000000000116,13.376918572049568,14.40951636306726,0.9674022089823087,666314.0354352557,0.9679277905592777,0.5094118973531709
1993-07-01,10688.606,10688.606,50.759000000000015,13.383786089668146,14.421232726413598,0.962553363254548,674166.7254317034,0.9632458182811522,0.4836074840247333
1993-10-01,10833.987,10833.987,145.3809999999994,13.403276644342496,14.432946302279781,0.9703303420627147,682110.0601194638,0.9707661654840046,0.5249947309861074
1994-01-01,10939.116,10939.116,105.12900000000081,13.417208536880509,14.44465535470494,0.9725531821755684,690143.864906556,0.972926423521464,0.536824161794086
1994-04-01,11087.361,11087.361,148.2450000000008,13.436628397413537,14.456357918795657,0.9802704786178804,698267.7602063987,0.9804638319474143,0.577893793280891
1994-07-01,11152.176,11152.176,64.81499999999869,13.445037614190122,14.468051817877512,0.9769857963126096,706481.1626796984,0.9772486031410376,0.5604134887678917
1994-10-01,11279.932,11279.932,127.75600000000122,13.461470750162176,14.479734723042121,0.9817360271200553,714783.3173164446,0.9819018026983248,0.5856930967494419
1995-01-01,11319.951,11319.951,40.018999999998414,13.466580092824367,14.491404127802374,0.9751759650219931,723173.2708355713,0.9754815475589349,0.550781993500795
1995-04-01,11353.721,11353.721,33.77000000000044,13.470877574728117,14.503057384745434,0.9678201899826835,731649.8889537281,0.9683324505496685,0.511636293653378
1995-07-01,11450.31,11450.31,96.58899999999994,13.483099037208657,14.51469165491499,0.9684073822936661,740211.8107112122,0.9689012148897876,0.5147611926389501
1995-10-01,11528.067,11528.067,77.7569999999996,13.492863005001851,14.526303851053727,0.9665591539481238,748857.3954044282,0.9671121180394423,0.5049253573017566
1996-01-01,11614.418,11614.418,86.35100000000057,13.503629241870867,14.537890642134123,0.9657385997367438,757584.7127560559,0.966318875611824,0.5005585613223315
1996-04-01,11808.14,11808.14,193.72199999999975,13.527494111083124,14.549448439097443,0.9780456719856812,766391.5186496428,0.978284914245504,0.5660538971207728
1996-07-01,11914.063,11914.063,105.92300000000068,13.540377872545587,14.56097338852229,0.9794044840232967,775275.2360073096,0.9796151231104362,0.5732851742994926
1996-10-01,12037.775,12037.775,123.71199999999953,13.555281136006926,14.572461467586592,0.9828196684203334,784233.0145317191,0.9829664087659193,0.5914599801650249
1997-01-01,12115.472,12115.472,77.69700000000012,13.564562990594979,14.583908494552256,0.9806544960427228,793261.7283726827,0.9808404194467628,0.5799374434426651
1997-04-01,12317.221,12317.221,201.7489999999998,13.588389172776566,14.595310155116914,0.9930790176596513,802357.9870243303,0.9931029125008922,0.646057817076288
1997-07-01,12471.01,12471.01,153.78900000000067,13.606290690184967,14.60666198570733,0.9996287044776366,811518.1126959337,0.9996287733992887,0.6809137055314493
1997-10-01,12577.495,12577.495,106.48500000000058,13.618556995650572,14.617959469347623,1.0005975263029487,820738.2091768844,1.000597704857352,0.6860695467822515
1998-01-01,12703.742,12703.742,126.24699999999939,13.632965897780538,14.629198086196977,1.003767811583561,830014.1984535252,1.0037749187089253,0.7029410573113696
1998-04-01,12821.339,12821.339,117.59699999999975,13.646259317620288,14.640373321025116,1.0058859965951719,839341.824161918,1.0059033531098835,0.7142135383541822
1998-07-01,12982.752,12982.752,161.41300000000047,13.664308608489263,14.65148068767438,1.0128279208148818,848716.6700886032,1.0129105515398706,0.7511568217493452
1998-10-01,13191.67,13191.67,208.91799999999967,13.687339593737777,14.662515745403747,1.0248238483340302,858134.1733189313,1.0251345254643318,0.8149963186815441
1999-01-01,13315.597,13315.597,123.92699999999968,13.70082949226105,14.67347415245307,1.0273553398079809,867589.6708654885,1.0277329323099387,0.8284683192356652
1999-04-01,13426.748,13426.748,111.15099999999984,13.712822301411416,14.684351758604244,1.028470542807172,877078.4838297818,1.0288797024803338,0.8344031665688125
1999-07-01,13604.771,13604.771,178.02300000000105,13.731825052421874,14.695144624714324,1.0366804277075499,886595.9424145507,1.0373614558829365,0.8780942376489571
1999-10-01,13827.98,13827.98,223.20899999999892,13.75530280163225,14.705849031320476,1.049453770311775,896137.4026039584,1.0506970176964936,0.946070954305065
2000-01-01,13878.147,13878.147,50.16700000000128,13.760527332741395,14.71646154198786,1.0440657907535353,905698.3132483701,1.0450511073266155,0.9173973978893615
2000-04-01,14130.908,14130.908,252.7609999999986,13.786566550459051,14.726979101869386,1.0595874485896655,915274.3193273298,1.0613985747296946,1.0
