"","year","month","value","value_smooth"
"1",2000,1,27.2487712458803,27.8840955423969
"2",2000,2,27.9261461186089,27.9122706245004
"3",2000,3,27.7816771200383,27.9630692237376
"4",2000,4,28.3481917253883,28.0354048060943
"5",2000,5,28.4052970104971,28.1281908375561
"6",2000,6,27.9910630995898,28.2428487549501
"7",2000,7,28.1138952821915,28.3818789874582
"8",2000,8,29.1835999268086,28.5458134895986
"9",2000,9,30.4523188037622,28.7351842158893
"10",2000,10,30.8319196850136,28.9505231208486
"11",2000,11,29.3096349694072,29.1873980449673
"12",2000,12,28.8067304633908,29.4435204086538
"13",2001,1,27.2897201975463,29.7226375363027
"14",2001,2,27.4102219207447,30.0284967523085
"15",2001,3,30.0073851058153,30.3648453810657
"16",2001,4,31.4857409021111,30.7948575257413
"17",2001,5,31.9719535896353,31.318842460122
"18",2001,6,32.5512434608687,31.8462502645318
"19",2001,7,31.5687023898514,32.286531019295
"20",2001,8,32.7515304093941,32.6648290574157
"21",2001,9,33.7121911453796,33.0534198527324
"22",2001,10,35.9280039813821,33.4324501968205
"23",2001,11,35.7145133896106,33.7820668812557
"24",2001,12,33.3157046055113,34.0824166976134
"25",2002,1,32.2642859856893,34.3250800565865
"26",2002,2,33.5923809143972,34.5216417888434
"27",2002,3,33.0725605600667,34.6822553159236
"28",2002,4,34.9724346070123,34.8170740593666
"29",2002,5,34.9695617519931,34.9362514407118
"30",2002,6,36.868635135576,35.0321517762858
"31",2002,7,33.8161213153462,35.0987673209431
"32",2002,8,35.3596022744716,35.1486934040158
"33",2002,9,36.8212827347461,35.1945253548357
"34",2002,10,36.3962596486993,35.2488585027347
"35",2002,11,35.8587417879677,35.278402964814
"36",2002,12,34.8609676770017,35.2652418680056
"37",2003,1,33.7740039728226,35.245030056388
"38",2003,2,33.9294368682441,35.2534223740392
"39",2003,3,33.6787959843691,35.3035470307176
"40",2003,4,35.9040613547447,35.3728635948651
"41",2003,5,36.2120015532874,35.4435239485852
"42",2003,6,35.529383188772,35.4976799739815
"43",2003,7,35.2381916764348,35.5174835531578
"44",2003,8,36.0204731029592,35.5127085666777
"45",2003,9,36.7558415203424,35.5027122631569
"46",2003,10,36.7619985034322,35.4840215767766
"47",2003,11,36.6657164810888,35.4531634417182
"48",2003,12,34.7500991240108,35.4066647921628
"49",2004,1,33.7446754057374,35.3315091912171
"50",2004,2,33.3393012286491,35.2245725516135
"51",2004,3,33.9143585540117,35.0972203319717
"52",2004,4,35.4750392043796,34.9608179909114
"53",2004,5,36.8141492041068,34.8267309870524
"54",2004,6,34.6204594586774,34.7048057480376
"55",2004,7,33.8030149227313,34.5909629893227
"56",2004,8,34.7222195550099,34.4756796012462
"57",2004,9,35.114417217615,34.3494324741469
"58",2004,10,35.3824349582011,34.1880490375406
"59",2004,11,34.2484067806857,33.9892783213523
"60",2004,12,33.6203185727172,33.7764796165349
"61",2005,1,32.2977397096502,33.5730122140412
