Parameter,Value,Behav_Mode,Timestamp
d_u,0.02931567466004747,False,2025-03-26 15:29:34
d_v,0.016060036538919874,False,2025-03-26 15:29:34
gamma_u,0.3694133760731991,False,2025-03-26 15:29:34
gamma_v,0.3379509337664672,False,2025-03-26 15:29:34
d_u,0.02961047827037673,True,2025-03-26 15:43:43
d_v,0.01522044989081881,True,2025-03-26 15:43:43
gamma_u,0.3279524391335473,True,2025-03-26 15:43:43
gamma_v,0.34965565721721564,True,2025-03-26 15:43:43
d_u,0.029636375831302787,True,2025-03-26 18:29:50
d_v,0.01599672279666602,True,2025-03-26 18:29:50
gamma_u,0.3858999058518373,True,2025-03-26 18:29:50
gamma_v,0.33356556777622653,True,2025-03-26 18:29:50
d_u,0.029624969646361802,True,2025-03-26 20:15:44
d_v,0.01481021914206266,True,2025-03-26 20:15:44
gamma_u,0.3400520396849482,True,2025-03-26 20:15:44
gamma_v,0.36272365030268827,True,2025-03-26 20:15:44
d_u,0.029245267137429296,False,2025-03-26 21:25:39
d_v,0.014778364646335383,False,2025-03-26 21:25:39
gamma_u,0.365537618974009,False,2025-03-26 21:25:39
gamma_v,0.35972454603155407,False,2025-03-26 21:25:39
d_u,0.028979218290179704,True,2025-03-26 21:33:31
d_v,0.014879063301971533,True,2025-03-26 21:33:31
gamma_u,0.5002854032059851,True,2025-03-26 21:33:31
gamma_v,0.3619302460706341,True,2025-03-26 21:33:31
d_u,0.02811808037904602,False,2025-03-26 21:36:42
d_v,0.021097453242338058,False,2025-03-26 21:36:42
gamma_u,0.7733507581943837,False,2025-03-26 21:36:42
gamma_v,0.3707592248582497,False,2025-03-26 21:36:42
d_u,0.03197675518606606,True,2025-03-26 21:42:22
d_v,0.024006078810254534,True,2025-03-26 21:42:22
gamma_u,0.751081291534347,True,2025-03-26 21:42:22
gamma_v,0.3732791828398788,True,2025-03-26 21:42:22
d_u,0.028296567753111148,False,2025-03-26 22:01:02
d_v,0.01636435652327752,False,2025-03-26 22:01:02
gamma_u,0.7587833897814348,False,2025-03-26 22:01:02
gamma_v,0.4132894328566142,False,2025-03-26 22:01:02
d_u,0.034301595237517475,False,2025-03-26 22:03:07
d_v,0.026614258320262464,False,2025-03-26 22:03:07
gamma_u,1.2722538223403697,False,2025-03-26 22:03:07
gamma_v,0.3718847464797026,False,2025-03-26 22:03:07
d_u,0.017085254928453156,False,2025-03-26 22:06:01
d_v,0.02344088588138316,False,2025-03-26 22:06:01
gamma_u,1.0274857729900293,False,2025-03-26 22:06:01
gamma_v,0.1985343148636537,False,2025-03-26 22:06:01
d_u,0.021690949019157975,True,2025-03-26 22:06:56
d_v,0.01761981113464643,True,2025-03-26 22:06:56
gamma_u,0.6632246737098368,True,2025-03-26 22:06:56
gamma_v,0.2578769933021277,True,2025-03-26 22:06:56
d_u,0.028275880759135046,False,2025-03-26 22:12:21
d_v,0.02382676001334234,False,2025-03-26 22:12:21
gamma_u,0.9672777534633965,False,2025-03-26 22:12:21
gamma_v,0.21789198258288583,False,2025-03-26 22:12:21
d_u,0.02810908903473629,False,2025-03-26 22:26:46
d_v,0.013062171414597883,False,2025-03-26 22:26:46
gamma_u,0.6251357730753367,False,2025-03-26 22:26:46
gamma_v,0.40557859105836536,False,2025-03-26 22:26:46
d_u,0.014259648679189264,True,2025-03-26 22:34:02
d_v,0.02090719306032094,True,2025-03-26 22:34:02
gamma_u,0.8455555910078022,True,2025-03-26 22:34:02
gamma_v,0.15871235058747288,True,2025-03-26 22:34:02
