"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"138",2540,2540,"Teacher Assistants",NA,"Teacher assistants",2540,"25-9041","25","25-9000","25-9040"
"139",2550,2550,"Education, Training, and Library Workers, nec",NA,"Other education, training, and library workers",2550,"25-90XX","25","25-9000","25-90X0"
"140",2600,2600,"Artists and Related Workers",NA,"Artists and related workers",2600,"27-1010","27","27-1000","27-1010"
"141",2630,2630,"Designers",NA,"Designers",2630,"27-1020","27","27-1000","27-1020"
"142",2700,2700,"Actors, Producers, and Directors",NA,"Actors",2700,"27-2011","27","27-2000","27-2010"
"143",2710,2700,"2710",NA,"Producers and directors",2710,"27-2012","27","27-2000","27-2010"
"144",2720,2720,"Athletes, Coaches, Umpires, and Related Workers",NA,"Athletes, coaches, umpires, and related workers",2720,"27-2020","27","27-2000","27-2020"
"145",2740,2740,"Dancers and Choreographers",NA,"Dancers and choreographers",2740,"27-2030","27","27-2000","27-2030"
"146",2750,2750,"Musicians, Singers, and Related Workers",NA,"Musicians, singers, and related workers",2750,"27-2040","27","27-2000","27-2040"
"147",2760,2760,"Entertainers and Performers, Sports and Related Workers, All Other",NA,"Entertainers and performers, sports and related workers, all other",2760,"27-2099","27","27-2000","27-2090"
"148",2800,2800,"Announcers",NA,"Announcers",2800,"27-3010","27","27-3000","27-3010"
"149",2810,2810,"Editors, News Analysts, Reporters, and Correspondents",NA,"News analysts, reporters and correspondents",2810,"27-3020","27","27-3000","27-3020"
"150",2825,2825,"Public Relations Specialists",NA,"Public relations specialists",2825,"27-3031","27","27-3000","27-3030"
"151",2830,2825,"2830",NA,"Editors",2830,"27-3041","27","27-3000","27-3040"
"152",2840,2840,"Technical Writers",NA,"Technical writers",2840,"27-3042","27","27-3000","27-3040"
"153",2850,2850,"Writers and Authors",NA,"Writers and authors",2850,"27-3043","27","27-3000","27-3040"
"154",2860,2860,"Media and Communication Workers, nec",NA,"Miscellaneous media and communication workers",2860,"27-3090","27","27-3000","27-3090"
"155",2900,2900,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",NA,"Broadcast and sound engineering technicians and radio operators",2900,"27-4010","27","27-4000","27-4010"
"156",2910,2910,"Photographers",NA,"Photographers",2910,"27-4021","27","27-4000","27-4020"
"157",2920,2920,"Television, Video, and Motion Picture Camera Operators and Editors",NA,"Television, video, and motion picture camera operators and editors",2920,"27-4030","27","27-4000","27-4030"
"158",3000,3000,"Chiropractors",NA,"Chiropractors",3000,"29-1011","29","29-1000","29-1010"
"159",3010,3010,"Dentists",NA,"Dentists",3010,"29-1020","29","29-1000","29-1020"
"160",3030,3030,"Dieticians and Nutritionists",NA,"Dietitians and nutritionists",3030,"29-1031","29","29-1000","29-1030"
"161",3040,3040,"Optometrists",NA,"Optometrists",3040,"29-1041","29","29-1000","29-1040"
"162",3050,3050,"Pharmacists",NA,"Pharmacists",3050,"29-1051","29","29-1000","29-1050"
"163",3060,3060,"Physicians and Surgeons",NA,"Physicians and surgeons",3060,"29-1060","29","29-1000","29-1060"
"164",3110,3110,"Physician Assistants",NA,"Physician assistants",3110,"29-1071","29","29-1000","29-1070"
"165",3120,3120,"Podiatrists",NA,"Podiatrists",3120,"29-1081","29","29-1000","29-1080"
"166",3140,3140,"Audiologists",NA,"Audiologists",3140,"29-1181","29","29-1000","29-1180"
"167",3150,3150,"Occupational Therapists",NA,"Occupational therapists",3150,"29-1122","29","29-1000","29-1120"
"168",3160,3160,"Physical Therapists",NA,"Physical therapists",3160,"29-1123","29","29-1000","29-1120"
"169",3200,3200,"Radiation Therapists",NA,"Radiation therapists",3200,"29-1124","29","29-1000","29-1120"
"170",3210,3210,"Recreational Therapists",NA,"Recreational therapists",3210,"29-1125","29","29-1000","29-1120"
"171",3220,3220,"Respiratory Therapists",NA,"Respiratory therapists",3220,"29-1126","29","29-1000","29-1120"
"172",3230,3230,"Speech Language Pathologists",NA,"Speech-language pathologists",3230,"29-1127","29","29-1000","29-1120"
"173",3235,3230,"3235",NA,"Exercise physiologists",3235,"29-1128","29","29-1000","29-1120"
"174",3245,3240,"3245",NA,"Therapists, all other",3245,"29-1129","29","29-1000","29-1120"
"175",3250,3250,"Veterinarians",NA,"Veterinarians",3250,"29-1131","29","29-1000","29-1130"
"176",3255,3250,"3255",NA,"Registered nurses",3255,"29-1141","29","29-1000","29-1140"
"177",3256,3250,"3256",NA,"Nurse anesthetists",3256,"29-1151","29","29-1000","29-1150"
"178",3257,3250,"3257",NA,"Nurse midwives",3257,"29-1161","29","29-1000","29-1160"
"179",3258,3250,"3258",NA,"Nurse practitioners",3258,"29-1171","29","29-1000","29-1170"
"180",3260,3260,"Health Diagnosing and Treating Practitioners, nec",NA,"Health diagnosing and treating practitioners, all other",3260,"29-1199","29","29-1000","29-1190"
"181",3300,3300,"Clinical Laboratory Technologists and Technicians",NA,"Clinical laboratory technologists and technicians",3300,"29-2010","29","29-2000","29-2010"
"182",3310,3310,"Dental Hygienists",NA,"Dental hygienists",3310,"29-2021","29","29-2000","29-2020"
"183",3320,3320,"Diagnostic Related Technologists and Technicians",NA,"Diagnostic related technologists and technicians",3320,"29-2030","29","29-2000","29-2030"
"184",3400,3400,"Emergency Medical Technicians and Paramedics",NA,"Emergency medical technicians and paramedics",3400,"29-2041","29","29-2000","29-2040"
"185",3420,3410,"3420",NA,"Health practitioner support technologists and technicians",3420,"29-2050","29","29-2000","29-2050"
"186",3500,3500,"Licensed Practical and Licensed Vocational Nurses",NA,"Licensed practical and licensed vocational nurses",3500,"29-2061","29","29-2000","29-2060"
"187",3510,3510,"Medical Records and Health Information Technicians",NA,"Medical records and health information technicians",3510,"29-2071","29","29-2000","29-2070"
"188",3520,3520,"Opticians, Dispensing",NA,"Opticians, dispensing",3520,"29-2081","29","29-2000","29-2080"
"189",3535,3530,"3535",NA,"Miscellaneous health technologists and technicians",3535,"29-2090","29","29-2000","29-2090"
"190",3540,3540,"Healthcare Practitioners and Technical Occupations, nec",NA,"Other healthcare practitioners and technical occupations",3540,"29-9000","29","29-9000","29-9000"
"191",3600,3600,"Nursing, Psychiatric, and Home Health Aides",NA,"Nursing, psychiatric, and home health aides",3600,"31-1010","31","31-1000","31-1010"
"192",3610,3610,"Occupational Therapy Assistants and Aides",NA,"Occupational therapy assistants and aides",3610,"31-2010","31","31-2000","31-2010"
"193",3620,3620,"Physical Therapist Assistants and Aides",NA,"Physical therapist assistants and aides",3620,"31-2020","31","31-2000","31-2020"
"194",3630,3630,"Massage Therapists",NA,"Massage therapists",3630,"31-9011","31","31-9000","31-9010"
"195",3640,3640,"Dental Assistants",NA,"Dental assistants",3640,"31-9091","31","31-9000","31-9090"
"196",3645,3640,"3645",NA,"Medical assistants",3645,"31-9092","31","31-9000","31-9090"
"197",3646,3640,"3646",NA,"Medical transcriptionists",3646,"31-9094","31","31-9000","31-9090"
"198",3647,3640,"3647",NA,"Pharmacy aides",3647,"31-9095","31","31-9000","31-9090"
"199",3648,3640,"3648",NA,"Veterinary assistants and laboratory animal caretakers",3648,"31-9096","31","31-9000","31-9090"
"200",3649,3640,"3649",NA,"Phlebotomists",3649,"31-9097","31","31-9000","31-9090"
"201",3655,3650,"3655",NA,"Healthcare support workers, all other, including medical equipment preparers",3655,"31-909X","31","31-9000","31-9090"
"202",3700,3700,"First-Line Supervisors of Correctional Officers",NA,"First-line supervisors of correctional officers",3700,"33-1011","33","33-1000","33-1010"
"203",3710,3710,"First-Line Supervisors of Police and Detectives",NA,"First-line supervisors of police and detectives",3710,"33-1012","33","33-1000","33-1010"
"204",3720,3720,"First-Line Supervisors of Fire Fighting and Prevention Workers",NA,"First-line supervisors of fire fighting and prevention workers",3720,"33-1021","33","33-1000","33-1020"
"205",3730,3730,"Supervisors, Protective Service Workers, All Other",NA,"First-line supervisors of protective service workers, all other",3730,"33-1099","33","33-1000","33-1090"
"206",3740,3740,"Firefighters",NA,"Firefighters",3740,"33-2011","33","33-2000","33-2010"
"207",3750,3750,"Fire Inspectors",NA,"Fire inspectors",3750,"33-2020","33","33-2000","33-2020"
"208",3800,3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",NA,"Bailiffs, correctional officers, and jailers",3800,"33-3010","33","33-3000","33-3010"
"209",3820,3820,"Police Officers and Detectives",NA,"Detectives and criminal investigators",3820,"33-3021","33","33-3000","33-3020"
"210",3830,3820,"3830",NA,"Fish and game wardens",3830,"33-3031","33","33-3000","33-3030"
"211",3840,3820,"3840",NA,"Parking enforcement workers",3840,"33-3041","33","33-3000","33-3040"
"212",3850,3820,"3850",NA,"Police and sheriff's patrol officers",3850,"33-3051","33","33-3000","33-3050"
"213",3860,3820,"3860",NA,"Transit and railroad police",3860,"33-3052","33","33-3000","33-3050"
"214",3900,3900,"Animal Control",NA,"Animal control workers",3900,"33-9011","33","33-9000","33-9010"
"215",3910,3910,"Private Detectives and Investigators",NA,"Private detectives and investigators",3910,"33-9021","33","33-9000","33-9020"
"216",3930,3930,"Security Guards and Gaming Surveillance Officers",NA,"Security guards and gaming surveillance officers",3930,"33-9030","33","33-9000","33-9030"
"217",3940,3940,"Crossing Guards",NA,"Crossing guards",3940,"33-9091","33","33-9000","33-9090"
"218",3945,3940,"3945",NA,"Transportation security screeners",3945,"33-9093","33","33-9000","33-9090"
"219",3955,3950,"3955",NA,"Lifeguards and other recreational, and all other protective service workers",3955,"33-909X","33","33-9000","33-9090"
"220",4000,4000,"Chefs and Cooks",NA,"Chefs and head cooks",4000,"35-1011","35","35-1000","35-1010"
"221",4010,4010,"First-Line Supervisors of Food Preparation and Serving Workers",NA,"First-line supervisors of food preparation and serving workers",4010,"35-1012","35","35-1000","35-1010"
"222",4020,4010,"4020",NA,"Cooks",4020,"35-2010","35","35-2000","35-2010"
"223",4030,4030,"Food Preparation Workers",NA,"Food preparation workers",4030,"35-2021","35","35-2000","35-2020"
"224",4040,4040,"Bartenders",NA,"Bartenders",4040,"35-3011","35","35-3000","35-3010"
"225",4050,4050,"Combined Food Preparation and Serving Workers, Including Fast Food",NA,"Combined food preparation and serving workers, including fast food",4050,"35-3021","35","35-3000","35-3020"
"226",4060,4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",NA,"Counter attendants, cafeteria, food concession, and coffee shop",4060,"35-3022","35","35-3000","35-3020"
"227",4110,4110,"Waiters and Waitresses",NA,"Waiters and waitresses",4110,"35-3031","35","35-3000","35-3030"
"228",4120,4120,"Food Servers, Nonrestaurant",NA,"Food servers, nonrestaurant",4120,"35-3041","35","35-3000","35-3040"
"229",4130,4130,"Food preparation and serving related workers, nec",NA,"Dining room and cafeteria attendants and bartender helpers",4130,"35-9011","35","35-9000","35-9010"
"230",4140,4140,"Dishwashers",NA,"Dishwashers",4140,"35-9021","35","35-9000","35-9020"
"231",4150,4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",NA,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,"35-9031","35","35-9000","35-9030"
"232",4160,4150,"4160",NA,"Food preparation and serving related workers, all other",4160,"35-9099","35","35-9000","35-9090"
"233",4200,4200,"First-Line Supervisors of Housekeeping and Janitorial Workers",NA,"First-line supervisors of housekeeping and janitorial workers",4200,"37-1011","37","37-1000","37-1010"
"234",4210,4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,"37-1012","37","37-1000","37-1010"
"235",4220,4220,"Janitors and Building Cleaners",NA,"Janitors and building cleaners",4220,"37-201X","37","37-2000","37-2010"
"236",4230,4230,"Maids and Housekeeping Cleaners",NA,"Maids and housekeeping cleaners",4230,"37-2012","37","37-2000","37-2010"
"237",4240,4240,"Pest Control Workers",NA,"Pest control workers",4240,"37-2021","37","37-2000","37-2020"
"238",4250,4250,"Grounds Maintenance Workers",NA,"Grounds maintenance workers",4250,"37-3010","37","37-3000","37-3010"
"239",4300,4300,"First-Line Supervisors of Gaming Workers",NA,"First-line supervisors of gaming workers",4300,"39-1010","39","39-1000","39-1010"
"240",4320,4320,"First-Line Supervisors of Personal Service Workers",NA,"First-line supervisors of personal service workers",4320,"39-1021","39","39-1000","39-1020"
"241",4340,4340,"Animal Trainers",NA,"Animal trainers",4340,"39-2011","39","39-2000","39-2010"
"242",4350,4350,"Nonfarm Animal Caretakers",NA,"Nonfarm animal caretakers",4350,"39-2021","39","39-2000","39-2020"
"243",4400,4400,"Gaming Services Workers",NA,"Gaming services workers",4400,"39-3010","39","39-3000","39-3010"
