Parameter,Value,Behav_Mode,Timestamp
d_u,0.006119347640522326,False,2025-03-31 16:47:38
d_v,0.02529763847260129,False,2025-03-31 16:47:38
gamma_u,1.3537441787143774,False,2025-03-31 16:47:38
gamma_v,0.17364631437021333,False,2025-03-31 16:47:38
d_u,0.016659970816917797,True,2025-03-31 17:03:32
d_v,0.015612503057010825,True,2025-03-31 17:03:32
gamma_u,0.5278092367371068,True,2025-03-31 17:03:32
gamma_v,0.37522447011208176,True,2025-03-31 17:03:32
d_u,0.005398801156831693,False,2025-03-31 19:58:40
d_v,0.025048860099996424,False,2025-03-31 19:58:40
gamma_u,1.5523562983365777,False,2025-03-31 19:58:40
gamma_v,0.1859522178700119,False,2025-03-31 19:58:40
d_u,0.01625437427299278,True,2025-03-31 20:15:46
d_v,0.014208547958227003,True,2025-03-31 20:15:46
gamma_u,0.5987962750613041,True,2025-03-31 20:15:46
gamma_v,0.41043285329605383,True,2025-03-31 20:15:46
d_u,0.0055888733204040066,False,2025-04-01 10:20:21
d_v,0.026436867520887683,False,2025-04-01 10:20:21
gamma_u,1.4531931852171012,False,2025-04-01 10:20:21
gamma_v,0.15655985941719341,False,2025-04-01 10:20:21
d_u,0.016251975965196397,True,2025-04-01 10:35:03
d_v,0.0152079845449724,True,2025-04-01 10:35:03
gamma_u,0.6283174819811955,True,2025-04-01 10:35:03
gamma_v,0.38551647688534835,True,2025-04-01 10:35:03
d_u,0.006166802819287028,False,2025-04-01 11:26:45
d_v,0.024396859532786364,False,2025-04-01 11:26:45
gamma_u,1.4321033520066824,False,2025-04-01 11:26:45
gamma_v,0.19947841097135643,False,2025-04-01 11:26:45
d_u,0.016027249934990245,True,2025-04-01 11:46:25
d_v,0.016172759590934616,True,2025-04-01 11:46:25
gamma_u,0.5863453938963974,True,2025-04-01 11:46:25
gamma_v,0.3651744043326494,True,2025-04-01 11:46:25
d_u,0.029456248061426278,False,2025-04-01 18:27:01
d_v,0.016433895606634535,False,2025-04-01 18:27:01
gamma_u,0.36639468340570264,False,2025-04-01 18:27:01
gamma_v,0.3326778709137451,False,2025-04-01 18:27:01
d_u,0.02896806138495201,False,2025-04-01 19:21:47
d_v,0.016611866371271572,False,2025-04-01 19:21:47
gamma_u,0.43105432043778685,False,2025-04-01 19:21:47
gamma_v,0.3289172915683564,False,2025-04-01 19:21:47
d_u,0.029071639360485624,False,2025-04-01 19:36:36
d_v,0.015880373111902372,False,2025-04-01 19:36:36
gamma_u,0.4578967492032598,False,2025-04-01 19:36:36
gamma_v,0.34098872594656493,False,2025-04-01 19:36:36
d_u,0.0286203914760579,False,2025-04-01 19:49:10
d_v,0.015563394437910286,False,2025-04-01 19:49:10
gamma_u,0.47864031217650943,False,2025-04-01 19:49:10
gamma_v,0.35320348123220685,False,2025-04-01 19:49:10
d_u,0.014521353119045033,True,2025-04-01 19:57:53
d_v,0.02107739927390708,True,2025-04-01 19:57:53
gamma_u,0.8004593205762769,True,2025-04-01 19:57:53
gamma_v,0.14993801503155763,True,2025-04-01 19:57:53
