,DATE,JTSQUR,QUITSRATE,FD_QUITSRATE,JTSTSR,SEPSRATE,FD_SEPSRATE,JTSHIR,HIRESRATE,FD_HIRESRATE
13,2002-01-01,2.2,0.022000000000000002,0.0020000000000000018,3.9,0.039,0.001999999999999995,3.7,0.037000000000000005,0.0
14,2002-02-01,2.0,0.02,-0.0020000000000000018,3.8,0.038,-0.0010000000000000009,3.7,0.037000000000000005,0.0
15,2002-03-01,1.9,0.019,-0.0010000000000000009,3.6,0.036000000000000004,-0.001999999999999995,3.6,0.036000000000000004,-0.0010000000000000009
16,2002-04-01,2.0,0.02,0.0010000000000000009,3.8,0.038,0.001999999999999995,3.8,0.038,0.001999999999999995
17,2002-05-01,1.9,0.019,-0.0010000000000000009,3.7,0.037000000000000005,-0.000999999999999994,3.7,0.037000000000000005,-0.000999999999999994
18,2002-06-01,1.9,0.019,0.0,3.7,0.037000000000000005,0.0,3.7,0.037000000000000005,0.0
19,2002-07-01,2.0,0.02,0.0010000000000000009,3.9,0.039,0.001999999999999995,3.8,0.038,0.000999999999999994
20,2002-08-01,2.0,0.02,0.0,3.7,0.037000000000000005,-0.001999999999999995,3.7,0.037000000000000005,-0.000999999999999994
21,2002-09-01,1.9,0.019,-0.0010000000000000009,3.8,0.038,0.000999999999999994,3.7,0.037000000000000005,0.0
22,2002-10-01,1.9,0.019,0.0,3.6,0.036000000000000004,-0.001999999999999995,3.7,0.037000000000000005,0.0
23,2002-11-01,1.8,0.018000000000000002,-0.0009999999999999974,3.6,0.036000000000000004,0.0,3.7,0.037000000000000005,0.0
24,2002-12-01,1.9,0.019,0.0009999999999999974,3.8,0.038,0.001999999999999995,3.7,0.037000000000000005,0.0
25,2003-01-01,1.9,0.019,0.0,3.8,0.038,0.0,3.9,0.039,0.001999999999999995
26,2003-02-01,1.9,0.019,0.0,3.7,0.037000000000000005,-0.000999999999999994,3.6,0.036000000000000004,-0.0029999999999999957
27,2003-03-01,1.8,0.018000000000000002,-0.0009999999999999974,3.6,0.036000000000000004,-0.0010000000000000009,3.4,0.034,-0.0020000000000000018
28,2003-04-01,1.8,0.018000000000000002,0.0,3.6,0.036000000000000004,0.0,3.5,0.035,0.0010000000000000009
29,2003-05-01,1.8,0.018000000000000002,0.0,3.6,0.036000000000000004,0.0,3.6,0.036000000000000004,0.0010000000000000009
30,2003-06-01,1.8,0.018000000000000002,0.0,3.6,0.036000000000000004,0.0,3.6,0.036000000000000004,0.0
31,2003-07-01,1.7,0.017,-0.0010000000000000009,3.6,0.036000000000000004,0.0,3.6,0.036000000000000004,0.0
32,2003-08-01,1.7,0.017,0.0,3.6,0.036000000000000004,0.0,3.6,0.036000000000000004,0.0
33,2003-09-01,1.8,0.018000000000000002,0.0010000000000000009,3.6,0.036000000000000004,0.0,3.7,0.037000000000000005,0.0010000000000000009
34,2003-10-01,1.9,0.019,0.0009999999999999974,3.6,0.036000000000000004,0.0,3.8,0.038,0.000999999999999994
35,2003-11-01,1.8,0.018000000000000002,-0.0009999999999999974,3.6,0.036000000000000004,0.0,3.7,0.037000000000000005,-0.000999999999999994
36,2003-12-01,1.9,0.019,0.0009999999999999974,3.7,0.037000000000000005,0.0010000000000000009,3.8,0.038,0.000999999999999994
37,2004-01-01,1.8,0.018000000000000002,-0.0009999999999999974,3.6,0.036000000000000004,-0.0010000000000000009,3.7,0.037000000000000005,-0.000999999999999994
38,2004-02-01,1.9,0.019,0.0009999999999999974,3.6,0.036000000000000004,0.0,3.7,0.037000000000000005,0.0
39,2004-03-01,2.0,0.02,0.0010000000000000009,3.8,0.038,0.001999999999999995,4.0,0.04,0.0029999999999999957
40,2004-04-01,1.9,0.019,-0.0010000000000000009,3.7,0.037000000000000005,-0.000999999999999994,3.9,0.039,-0.0010000000000000009
41,2004-05-01,1.8,0.018000000000000002,-0.0009999999999999974,3.6,0.036000000000000004,-0.0010000000000000009,3.8,0.038,-0.0010000000000000009
42,2004-06-01,2.0,0.02,0.0019999999999999983,3.7,0.037000000000000005,0.0010000000000000009,3.8,0.038,0.0
43,2004-07-01,2.0,0.02,0.0,3.7,0.037000000000000005,0.0,3.7,0.037000000000000005,-0.000999999999999994
44,2004-08-01,2.0,0.02,0.0,3.7,0.037000000000000005,0.0,3.8,0.038,0.000999999999999994
45,2004-09-01,1.9,0.019,-0.0010000000000000009,3.7,0.037000000000000005,0.0,3.8,0.038,0.0
46,2004-10-01,1.9,0.019,0.0,3.6,0.036000000000000004,-0.0010000000000000009,3.9,0.039,0.0010000000000000009
47,2004-11-01,2.1,0.021,0.0020000000000000018,3.9,0.039,0.0029999999999999957,3.9,0.039,0.0
48,2004-12-01,2.0,0.02,-0.0010000000000000009,3.7,0.037000000000000005,-0.001999999999999995,3.9,0.039,0.0
49,2005-01-01,2.1,0.021,0.0010000000000000009,3.8,0.038,0.000999999999999994,3.9,0.039,0.0
50,2005-02-01,2.0,0.02,-0.0010000000000000009,3.8,0.038,0.0,4.0,0.04,0.0010000000000000009
51,2005-03-01,2.1,0.021,0.0010000000000000009,3.9,0.039,0.0010000000000000009,4.0,0.04,0.0
52,2005-04-01,2.1,0.021,0.0,3.7,0.037000000000000005,-0.001999999999999995,4.0,0.04,0.0
53,2005-05-01,2.1,0.021,0.0,3.8,0.038,0.000999999999999994,3.9,0.039,-0.0010000000000000009
54,2005-06-01,2.1,0.021,0.0,3.8,0.038,0.0,4.0,0.04,0.0010000000000000009
55,2005-07-01,2.0,0.02,-0.0010000000000000009,3.7,0.037000000000000005,-0.000999999999999994,4.0,0.04,0.0
56,2005-08-01,2.2,0.022000000000000002,0.0020000000000000018,3.9,0.039,0.001999999999999995,4.0,0.04,0.0
57,2005-09-01,2.3,0.023,0.0009999999999999974,4.0,0.04,0.0010000000000000009,4.1,0.040999999999999995,0.000999999999999994
58,2005-10-01,2.1,0.021,-0.0019999999999999983,3.7,0.037000000000000005,-0.0029999999999999957,3.8,0.038,-0.0029999999999999957
59,2005-11-01,2.1,0.021,0.0,3.7,0.037000000000000005,0.0,4.0,0.04,0.0020000000000000018
60,2005-12-01,2.1,0.021,0.0,3.8,0.038,0.000999999999999994,3.9,0.039,-0.0010000000000000009
61,2006-01-01,2.2,0.022000000000000002,0.0010000000000000009,3.7,0.037000000000000005,-0.000999999999999994,3.9,0.039,0.0
62,2006-02-01,2.2,0.022000000000000002,0.0,3.9,0.039,0.001999999999999995,4.0,0.04,0.0010000000000000009
