d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat,error
0.08425,0.042625,67.73185832103543,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.08425,209.1359239243563,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.12587500000000001,205.16965023504918,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.1675,252.15628027352847,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.209125,288.7932793197166,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.25075000000000003,317.6555201341976,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.292375,324.2980489023947,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.334,370.9323359334112,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.37562500000000004,293.17072963704055,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.41725,341.4221506450811,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.45887500000000003,350.31317610991715,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.5005000000000001,370.96383308328836,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.5421250000000001,441.60408448918804,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.58375,395.8532913326804,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.625375,452.63728070655065,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.667,410.5877525259485,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.7086250000000001,409.6816480979301,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.7502500000000001,422.758204106471,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.791875,410.23994990912377,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.8335,431.4319953182784,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.875125,438.5154116914899,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.9167500000000001,391.28318730969914,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.9583750000000001,408.437855135833,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,1.0,408.66148535327545,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.001,343.29341128439114,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.042625,113.88490195641705,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.08425,320.3442468122409,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.12587500000000001,257.7986272366613,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.1675,283.2020174423458,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.209125,329.91807626844997,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.25075000000000003,281.8511575861874,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.292375,346.05459857978866,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.334,286.7911816196854,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.37562500000000004,382.098536643214,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.41725,446.4847365859557,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.45887500000000003,440.8553355350252,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.5005000000000001,424.82402667321895,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.5421250000000001,410.7951861834577,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.58375,388.5572529259663,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.625375,457.58277833049516,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.667,407.94787030197637,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.7086250000000001,374.72594720786344,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.7502500000000001,393.1296744035333,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.791875,459.64978479387497,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.8335,438.65258686466495,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.875125,401.52277395881526,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.9167500000000001,431.37609384035636,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.9583750000000001,467.8087589185065,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,1.0,376.673816004898,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.001,160.87031900192517,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.042625,150.71416335171227,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.08425,231.5010059156023,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.12587500000000001,257.43588002868574,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.1675,335.4375359224192,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.209125,355.4354541909713,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.25075000000000003,366.69010212288606,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.292375,440.44298137131125,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.334,439.9809220852952,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.37562500000000004,431.3861283002462,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.41725,318.3373717764518,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.45887500000000003,505.3535271245364,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.5005000000000001,363.08775336130526,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.5421250000000001,457.1431087477004,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.58375,432.7043853163724,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.625375,410.37569084296354,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.667,444.4560088059092,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.7086250000000001,439.1076969405547,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.7502500000000001,515.0781646006386,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.791875,459.9264194016089,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.8335,362.00956568623815,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.875125,468.8099725543051,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.9167500000000001,495.5210942061482,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.9583750000000001,500.61921857032604,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,1.0,448.24388783732064,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.001,60.85960016737855,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.042625,221.31294259464192,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.08425,298.7858508963042,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.12587500000000001,366.938219800834,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.1675,340.18642023038296,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.209125,439.5456426504454,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.25075000000000003,414.868828372923,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.292375,449.26723271894616,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.334,521.6737691670913,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.37562500000000004,443.6075151680256,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.41725,431.7567362990355,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.45887500000000003,433.75756731547744,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.5005000000000001,368.9082790426777,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.5421250000000001,428.46582292607746,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.58375,500.2865362201014,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.625375,435.7471786931959,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.667,482.07263079508886,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.7086250000000001,408.692685042911,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.7502500000000001,492.5173608135201,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.791875,524.877225224786,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.8335,487.47959493212375,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.875125,559.8039484461627,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.9167500000000001,570.9211792317946,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,0.9583750000000001,422.04431106776616,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.209125,1.0,493.6927290632345,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.001,36.368843791474085,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.042625,373.3139108237034,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.08425,335.15617194102964,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.12587500000000001,358.2924554754097,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.1675,447.48155187564066,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.209125,425.74912610939595,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.25075000000000003,507.7827726282193,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.292375,344.3031622012431,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.334,448.84408450908035,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.37562500000000004,441.7514174783202,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.41725,444.68423390639646,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.45887500000000003,489.600869750051,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.5005000000000001,547.1086014101168,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.5421250000000001,646.5012634397332,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.58375,450.1483561450328,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.625375,630.6703663219282,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.667,498.37561717191954,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.7086250000000001,579.5687194713815,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.7502500000000001,459.8734603820591,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.791875,553.4467655343235,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.8335,596.7755032984475,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.875125,615.6475416998333,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.9167500000000001,720.1340213570031,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,0.9583750000000001,574.1763539880856,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.25075000000000003,1.0,494.9106524646076,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.001,91.0183396310363,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.042625,228.03425698778125,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.08425,315.00433097146384,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.12587500000000001,448.55886042062,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.1675,407.8820831724769,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.209125,499.84003651729506,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.25075000000000003,403.9567095836553,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.292375,522.0710346159318,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.334,614.7525315900183,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.37562500000000004,740.7233474295776,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.41725,580.1074179016895,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.45887500000000003,572.2563243669764,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.5005000000000001,640.4790153109053,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.5421250000000001,603.1015584982295,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.58375,727.7443591659551,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.625375,428.67330720210646,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.667,611.1127732261061,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.7086250000000001,609.7915166852991,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.7502500000000001,579.678572841867,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.791875,694.6571656278371,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.8335,760.0237326795364,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.875125,472.08234517315213,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.9167500000000001,766.3889762942401,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.292375,0.9583750000000001,716.843317188333,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
