d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat,error
0.001,0.001,4642.654217173606,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.042625,1034.9605478659844,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.08425,941.3027064850213,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.12587500000000001,809.0773394581859,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.1675,742.2492747087629,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.209125,696.8543361372336,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.25075000000000003,666.5533935970471,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.292375,643.91530985808,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.334,631.9208590401037,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.37562500000000004,621.0995117816822,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.41725,610.6767722454032,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.45887500000000003,604.6152230316796,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.5005000000000001,565.0706341741774,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.5421250000000001,564.0577315056273,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.58375,526.2344845811598,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.625375,549.4387637044924,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.667,532.4833121913131,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.7086250000000001,452.2905767334092,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.7502500000000001,442.75172428959075,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.791875,453.1362641936475,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.8335,449.70950139770736,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.875125,465.3633856513503,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.9167500000000001,462.7248366187371,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,0.9583750000000001,454.5770189894725,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.001,1.0,436.283100765962,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.042625,0.001,1555.8036585116695,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.042625,0.042625,759.9735101336577,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.042625,0.08425,717.2637815933897,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
0.042625,0.12587500000000001,582.2331764942369,True,False,False,False,2025-10-01 17:08:34,otj_nonbehav,
